| Economy | BANGLADESH |
| --- | --- |
| Economy - overview: | Bangladesh's economy has grown roughly 6% per year since 1996 despite political instability, poor infrastructure, corruption, insufficient power supplies, slow implementation of economic reforms, and the 2008-09 global financial crisis and recession. Although more than half of GDP is generated through the service sector, almost half of Bangladeshis are employed in the agriculture sector with rice as the single-most-important product. Garment exports, the backbone of Bangladesh&rsquo;s industrial sector, accounted for more than 80% of total exports and surpassed $18 billion in 2014. The sector has remained resilient in recent years amidst a series of factory accidents that have killed over 1,000 workers and crippling strikes that shut down virtually all economic activity. Steady garment export growth combined with remittances from overseas Bangladeshis - which totaled $14 billion and 8% of GDP in 2014 - are the largest contributors to Bangladesh&rsquo;s current account surplus and rising foreign exchange holdings. |
| GDP (purchasing power parity): | $533.7 billion (2014 est.) |
| GDP (purchasing power parity): | $503 billion (2013 est.) |
| GDP (purchasing power parity): | $474.2 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $185.4 billion (2014 est.) |
| GDP - real growth rate: | 6.1% (2014 est.) |
| GDP - real growth rate: | 6.1% (2013 est.) |
| GDP - real growth rate: | 6.3% (2012 est.) |
| GDP - per capita (PPP): | $3,400 (2014 est.) |
| GDP - per capita (PPP): | $3,200 (2013 est.) |
| GDP - per capita (PPP): | $3,000 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 30% of GDP (2014 est.) |
| Gross national saving: | 30.4% of GDP (2013 est.) |
| Gross national saving: | 30.1% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 74.1% |
| GDP - composition, by end use: | government consumption: 5.5% |
| GDP - composition, by end use: | investment in fixed capital: 26.3% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 22.6% |
| GDP - composition, by end use: | imports of goods and services: -28.9% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 15.1% |
| GDP - composition, by sector of origin: | industry: 26.5% |
| GDP - composition, by sector of origin: | services: 58.3% (2014 est.) |
| Agriculture - products: | rice, jute, tea, wheat, sugarcane, potatoes, tobacco, pulses, oilseeds, spices, fruit; beef, milk, poultry |
| Industries: | jute, cotton, garments, paper, leather, fertilizer, iron and steel, cement, petroleum products, tobacco, pharmaceuticals, ceramics, tea, salt, sugar, edible oils, soap and detergent, fabricated metal products, electricity, natural gas |
| Industrial production growth rate: | 8.4% (2014 est.) |
| Labor force: | 80.27 million |
| Labor force: | note: extensive export of labor to Saudi Arabia, Kuwait, UAE, Oman, Qatar, and Malaysia; workers' remittances were $10.9 billion in FY09/10 (2014 est.) |
| Labor force - by occupation: | agriculture: 47% |
| Labor force - by occupation: | industry: 13% |
| Labor force - by occupation: | services: 40% (2010 est.) |
| Unemployment rate: | 5% (2014 est.) |
| Unemployment rate: | 5% (2013 est.) |
| Unemployment rate: | note: about 40% of the population is underemployed; many persons counted as employed work only a few hours a week and at low wages |
| Population below poverty line: | 31.5% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4% |
| Household income or consumption by percentage share: | highest 10%: 27% (2010 est.) |
| Distribution of family income - Gini index: | 32.1 (2010) |
| Distribution of family income - Gini index: | 33.6 (1996) |
| Budget: | revenues: $18.09 billion |
| Budget: | expenditures: $24.33 billion (2014 est.) |
| Taxes and other revenues: | 9.7% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -3.3% of GDP (2014 est.) |
| Public debt: | 28.6% of GDP (2014 est.) |
| Public debt: | 30.3% of GDP (2013 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 7% (2014 est.) |
| Inflation rate (consumer prices): | 7.5% (2013 est.) |
| Central bank discount rate: | 5% (31 December 2010) |
| Central bank discount rate: | 5% (31 December 2009) |
| Commercial bank prime lending rate: | 13% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 13% (31 December 2013 est.) |
| Stock of narrow money: | $19.69 billion (31 December 2014 est.) |
| Stock of narrow money: | $16.54 billion (31 December 2013 est.) |
| Stock of broad money: | $98.43 billion (31 December 2014 est.) |
| Stock of broad money: | $84.11 billion (31 December 2013 est.) |
