| Economy | BANGLADESH |
| --- | --- |
| Economy - overview: | Bangladesh's economy has grown roughly 6% per year since 1996 despite political instability, poor infrastructure, corruption, insufficient power supplies, slow implementation of economic reforms, and the 2008-09 global financial crisis and recession. Although more than half of GDP is generated through the services sector, almost half of Bangladeshis are employed in the agriculture sector, with rice as the single-most-important product. |
| Economy - overview: | Garment exports, the backbone of Bangladesh's industrial sector, accounted for more than 80% of total exports and surpassed $25 billion in 2015. The sector continues to grow, despite a series of factory accidents that have killed more than 1,000 workers, and crippling strikes, including a nationwide transportation blockade implemented by the political opposition during the first several months of 2015. Steady garment export growth combined with remittances from overseas Bangladeshis - which totaled about $15 billion and 8% of GDP in 2015 - are the largest contributors to Bangladesh's sustained economic growth and rising foreign exchange reserves. |
| GDP (purchasing power parity): | $577 billion (2015 est.) |
| GDP (purchasing power parity): | $536.5 billion (2014 est.) |
| GDP (purchasing power parity): | $496.6 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $202.3 billion (2015 est.) |
| GDP - real growth rate: | 6.4% (2015 est.) |
| GDP - real growth rate: | 6.3% (2014 est.) |
| GDP - real growth rate: | 6% (2013 est.) |
| GDP - per capita (PPP): | $3,600 (2015 est.) |
| GDP - per capita (PPP): | $3,400 (2014 est.) |
| GDP - per capita (PPP): | $3,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 26.7% of GDP (2015 est.) |
| Gross national saving: | 25.8% of GDP (2014 est.) |
| Gross national saving: | 26.2% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 72.4% |
| GDP - composition, by end use: | government consumption: 5.4% |
| GDP - composition, by end use: | investment in fixed capital: 28.9% |
| GDP - composition, by end use: | investment in inventories: 0.7% |
| GDP - composition, by end use: | exports of goods and services: 17.3% |
| GDP - composition, by end use: | imports of goods and services: -24.7% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 15.5% |
| GDP - composition, by sector of origin: | industry: 28.1% |
| GDP - composition, by sector of origin: | services: 56.3% (2015 est.) |
| Agriculture - products: | rice, jute, tea, wheat, sugarcane, potatoes, tobacco, pulses, oilseeds, spices, fruit; beef, milk, poultry |
