| Economy | BANGLADESH |
| --- | --- |
| Economy - overview: | Bangladesh's economy has grown roughly 6% per year since 1996 despite prolonged periods of political instability, poor infrastructure, endemic corruption, insufficient power supplies, and slow implementation of economic reforms. Although more than half of GDP is generated through the services sector, almost half of Bangladeshis are employed in the agriculture sector, with rice as the single-most-important product. |
| Economy - overview: | Garment exports, the backbone of Bangladesh's industrial sector, accounted for more than 80% of total exports and surpassed $25 billion in 2016. The sector continues to grow, despite a series of high-profile factory accidents that have killed more than 1,000 workers and crippling strikes, including a nationwide transportation blockade orchestrated by the political opposition during the first several months of 2015. Steady export growth in the garment sector combined with remittances from overseas Bangladeshis - which totaled about $15 billion and 8% of GDP in 2015 - are key contributors to Bangladesh's sustained economic growth and rising foreign exchange reserves. |
| GDP (purchasing power parity): | $629.7 billion (2016 est.) |
| GDP (purchasing power parity): | $580.1 billion (2015 est.) |
| GDP (purchasing power parity): | $537.3 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $228.4 billion (2016 est.) |
| GDP - real growth rate: | 7.2% (2016 est.) |
| GDP - real growth rate: | 6.8% (2015 est.) |
| GDP - real growth rate: | 6.3% (2014 est.) |
| GDP - per capita (PPP): | $3,900 (2016 est.) |
| GDP - per capita (PPP): | $3,700 (2015 est.) |
| GDP - per capita (PPP): | $3,500 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 30.9% of GDP (2016 est.) |
| Gross national saving: | 30.3% of GDP (2015 est.) |
| Gross national saving: | 29.1% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 69.1% |
| GDP - composition, by end use: | government consumption: 5.9% |
| GDP - composition, by end use: | investment in fixed capital: 29.7% |
| GDP - composition, by end use: | investment in inventories: 3% |
| GDP - composition, by end use: | exports of goods and services: 16.7% |
| GDP - composition, by end use: | imports of goods and services: -21.3% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 14.8% |
| GDP - composition, by sector of origin: | industry: 28.8% |
| GDP - composition, by sector of origin: | services: 56.5% (2016 est.) |
