| Economy | Tajikistan |
| --- | --- |
| Economy - overview: | Tajikistan has one of the lowest per capita GDPs among the 15 former Soviet republics. Because of a lack of employment opportunities in Tajikistan, more than one million Tajik citizens work abroad, almost all of them in Russia, supporting families in Tajikistan through remittances. Less than 7% of the land area is arable. Cotton is the most important crop, and its production is closely monitored, and in many cases controlled, by the government. In the wake of the National Bank of Tajikistan's admission in December 2007 that it had improperly lent money to investors in the cotton sector, the IMF canceled its program in Tajikistan. A reform agenda is underway, according to which over half a billion dollars in farmer debt has been forgiven, and IMF assistance has been reinstated. Mineral resources include silver, gold, uranium, and tungsten. Industry consists mainly of a large aluminum plant, hydropower facilities, and small obsolete factories mostly in light industry and food processing. The civil war (1992-97) severely damaged the already weak economic infrastructure and caused a sharp decline in industrial and agricultural production. Tajikistan's economic situation remains fragile due to uneven implementation of structural reforms, corruption, weak governance, seasonal power shortages, and the external debt burden. Electricity output expanded with the completion of the Sangtuda-1 hydropower dam - finished in 2009 with Russian investment. The smaller Sangtuda-2, built with Iranian investment, began operating in 2012. The government of Tajikistan is pinning major hopes on the massive Roghun dam which, if finished according to Tajik plans, will be the tallest dam in the world and significantly expand electricity output. The World Bank is funding two feasibility studies for the dam (technical-economic, and social-environmental), scheduled to be completed in mid-2013. In January 2010, the government began selling shares in the Roghun enterprise to its population, ultimately raising over $180 million but Tajikistan will still need significant investment to complete the dam. According to numerous reports, many Tajik individuals and businesses were forced to buy shares. The coerced share sales finally ended in mid-2010 under intense criticism from donors, particularly the IMF. Food and fuel prices in 2011 increased to the highest levels seen since 2002 due in part to an increase in rail transport tariffs through Uzbekistan. Tajikistan imports approximately 60% of its food and 90% of that comes by rail. Uzbekistan closed one of the rail lines into Tajikistan in late 2011, hampering the transit of goods to and from the southern part of the country. |
| GDP (purchasing power parity): | $17.56 billion (2012 est.) |
| GDP (purchasing power parity): | $16.33 billion (2011 est.) |
| GDP (purchasing power parity): | $15.21 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $7.489 billion (2012 est.) |
| GDP - real growth rate: | 7.5% (2012 est.) |
| GDP - real growth rate: | 7.4% (2011 est.) |
| GDP - real growth rate: | 6.5% (2010 est.) |
| GDP - per capita (PPP): | $2,200 (2012 est.) |
| GDP - per capita (PPP): | $2,100 (2011 est.) |
| GDP - per capita (PPP): | $2,000 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 17.8% of GDP (2012 est.) |
| Gross national saving: | 10% of GDP (2011 est.) |
| Gross national saving: | 6.9% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 106.6% |
| GDP - composition, by end use: | government consumption: 11.6% |
| GDP - composition, by end use: | investment in fixed capital: 19.1% |
| GDP - composition, by end use: | investment in inventories: 2% |
| GDP - composition, by end use: | exports of goods and services: 15.8% |
| GDP - composition, by end use: | imports of goods and services: -55% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 25.6% |
| GDP - composition, by sector of origin: | industry: 25% |
| GDP - composition, by sector of origin: | services: 49.3% (2012 est.) |
| Agriculture - products: | cotton, grain, fruits, grapes, vegetables; cattle, sheep, goats |
| Industries: | aluminum, cement, vegetable oil |
| Industrial production growth rate: | 5.2% (2012 est.) |
| Labor force: | 2.1 million (2012) |
| Labor force - by occupation: | agriculture: 47.9% |
| Labor force - by occupation: | industry: 10.9% |
| Labor force - by occupation: | services: 41.2% (2012 est.) |
| Unemployment rate: | 2.5% (2012 est.) |
| Unemployment rate: | 2.2% (2009 est.) |
| Unemployment rate: | note: official rates; actual unemployment is much higher |
| Population below poverty line: | 39.6% (December 2012 est) |
| Household income or consumption by percentage share: | lowest 10%: 3.5% |
| Household income or consumption by percentage share: | highest 10%: 24.3% (2009 est.) |
| Distribution of family income - Gini index: | 32.6 (2006) |
| Distribution of family income - Gini index: | 34.7 (1998) |
| Budget: | revenues: $2.111 billion |
| Budget: | expenditures: $2.005 billion (2012 est.) |
| Taxes and other revenues: | 28.2% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 1.4% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.8% (2012 est.) |
| Inflation rate (consumer prices): | 12.4% (2011 est.) |
| Central bank discount rate: | 6.5% (31 December 2012 est.) |
| Central bank discount rate: | 5% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 17.13% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 26.34% (31 December 2011 est.) |
| Stock of narrow money: | $1.191 billion (31 December 2012 est.) |
| Stock of narrow money: | $989.1 million (31 December 2011 est.) |
| Stock of broad money: | $2 billion (31 December 2012 est.) |
| Stock of broad money: | $1.979 billion (31 December 2011 est.) |
| Stock of domestic credit: | $1.196 billion (31 December 2012 est.) |
| Stock of domestic credit: | $1.009 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-246.2 million (2012 est.) |
| Current account balance: | $-786.9 million (2011 est.) |
| Exports: | $826.6 million (2012 est.) |
| Exports: | $592.9 million (2011 est.) |
| Exports - commodities: | aluminum, electricity, cotton, fruits, vegetable oil, textiles |
| Exports - partners: | Turkey 30.3%, China 9.5%, Iran 7.4%, Kazakhstan 6%, Afghanistan 5.9%, Bangladesh 5.2%, Russia 4.3% (2012) |
| Imports: | $4.382 billion (2012 est.) |
| Imports: | $4.165 billion (2011 est.) |
| Imports - commodities: | petroleum products, aluminum oxide, machinery and equipment, foodstuffs |
| Imports - partners: | China 41.2%, Russia 15.8%, Kazakhstan 12.6%, Turkey 5.5%, Iran 4.2% (2012) |
| Reserves of foreign exchange and gold: | $628.5 million (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $532.4 million (31 December 2011 est.) |
