| Economy | ICELAND |
| --- | --- |
| Economy - overview: | Iceland's economy combines a capitalist structure and free-market principles with an extensive welfare system. Except for a brief period during the 2008 crisis, Iceland has achieved high growth, low unemployment, and a remarkably even distribution of income. The economy depends heavily on the fishing industry, which provides 40% of merchandise export earnings, more than 12% of GDP, and employs nearly 5% of the work force. It remains sensitive to declining fish stocks, as well as to fluctuations in world prices for its main exports: fish and fish products, aluminum, and ferrosilicon. Since 2010, tourism has become the main pillar of Icelandic economic growth, with the number of tourists reaching 4.5 times the Icelandic population in 2016. |
| Economy - overview: | Iceland's economy has been diversifying into manufacturing and service industries in the last decade, particularly within the fields of tourism, software production, and biotechnology. In fall 2013, the Icelandic Government approved a joint application by Icelandic, Chinese, and Norwegian energy firms to conduct oil exploration off Iceland’s northeast coast, although no exploration has yet taken place. Abundant geothermal and hydropower sources have attracted substantial foreign investment in the aluminum sector, boosted economic growth, and sparked some interest from high-tech firms looking to establish data centers using cheap green energy, although the financial crisis has put several investment projects on hold. |
| Economy - overview: | Following the privatization of the banking sector in the early 2000s, domestic banks expanded aggressively in foreign markets, and consumers and businesses borrowed heavily in foreign currencies. Worsening global financial conditions throughout 2008 resulted in a sharp depreciation of the krona vis-a-vis other major currencies. The foreign exposure of Icelandic banks, whose loans and other assets totaled more than 10 times the country's GDP, became unsustainable. Iceland's three largest banks collapsed in late 2008. The country secured over $10 billion in loans from the IMF and other countries to stabilize its currency and financial sector, and to back government guarantees for foreign deposits in Icelandic banks. GDP fell 6.8% in 2009, and unemployment peaked at 9.4% in February 2009. Three new banks were established to take over the domestic assets of the collapsed banks. Two of them have majority ownership by the state, which intends to re-privatize them. |
| Economy - overview: | Since the collapse of Iceland's financial sector, government economic priorities have included stabilizing the krona, implementing capital controls, reducing Iceland's high budget deficit, containing inflation, addressing high household debt, restructuring the financial sector, and diversifying the economy. Capital controls were finally lifted in March 2017, but some financial protections (e.g., reserve requirements for specified investments connected to new inflows of foreign currency) remain in place. Iceland’s financial woes prompted an initial increase in public support to join the EU and the euro zone, with accession negotiations beginning in July 2010, but negotiations were suspended under the center-right government that took power in 2013. The current ruling coalition does not intend to restart accession talks, but has signaled that it would allow a vote on the question of EU membership, if a bill came before parliament near the end of the current parliamentary term. Most macroeconomic indicators and employment have rebounded to pre-crisis levels, driven primarily by the unprecedented growth in tourism – averaging over 20% annually – following the well-publicized volcanic eruption in 2010. |
| GDP (purchasing power parity): | $16.52 billion (2016 est.) |
| GDP (purchasing power parity): | $15.21 billion (2015 est.) |
| GDP (purchasing power parity): | $14.46 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $20.05 billion (2016 est.) |
| GDP - real growth rate: | 7.2% (2016 est.) |
| GDP - real growth rate: | 4.1% (2015 est.) |
| GDP - real growth rate: | 1.9% (2014 est.) |
| GDP - per capita (PPP): | $49,200 (2016 est.) |
| GDP - per capita (PPP): | $46,300 (2015 est.) |
| GDP - per capita (PPP): | $45,000 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 29.3% of GDP (2016 est.) |
| Gross national saving: | 24.5% of GDP (2015 est.) |
| Gross national saving: | 21.3% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 49% |
| GDP - composition, by end use: | government consumption: 23.1% |
| GDP - composition, by end use: | investment in fixed capital: 21.2% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 49.1% |
| GDP - composition, by end use: | imports of goods and services: -42.5% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.8% |
| GDP - composition, by sector of origin: | industry: 20.2% |
| GDP - composition, by sector of origin: | services: 74% (2016 est.) |
| Agriculture - products: | potatoes, carrots, green vegetables, tomatoes, cucumbers; mutton, chicken, pork, beef, dairy products; fish |
| Industries: | tourism, fish processing; aluminum smelting;; geothermal power, hydropower; medical/pharmaceutical products |
| Industrial production growth rate: | 2% (2016 est.) |
| Labor force: | 196,500 (2016 est.) |
| Labor force - by occupation: | agriculture: 4.8% |
| Labor force - by occupation: | industry: 22.2% |
| Labor force - by occupation: | services: 73% (2008) |
| Unemployment rate: | 3% (2016 est.) |
| Unemployment rate: | 4% (2015 est.) |
| Population below poverty line: | NA% |
| Population below poverty line: | note: 332,100 families (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 28 (2006) |
| Distribution of family income - Gini index: | 25 (2005) |
| Budget: | revenues: $11.71 billion |
| Budget: | expenditures: $8.264 billion (2016 est.) |
| Taxes and other revenues: | 58.4% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 17.2% of GDP (2016 est.) |
| Public debt: | 54.5% of GDP (2016 est.) |
| Public debt: | 68.1% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.7% (2016 est.) |
| Inflation rate (consumer prices): | 1.6% (2015 est.) |
| Central bank discount rate: | 5.4% (31 January 2012) |
| Central bank discount rate: | 5.75% (31 December 2010) |
| Commercial bank prime lending rate: | 8.24% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 7.61% (31 December 2015 est.) |
| Stock of narrow money: | $4.251 billion (31 December 2016 est.) |
| Stock of narrow money: | $3.314 billion (31 December 2015 est.) |
| Stock of broad money: | $8.693 billion (31 December 2015 est.) |
| Stock of broad money: | $7.471 billion (31 December 2015 est.) |
| Stock of domestic credit: | $21.18 billion (31 December 2016 est.) |
| Stock of domestic credit: | $18.43 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $2.825 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $2.021 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.996 billion (31 December 2010 est.) |
| Current account balance: | $1.589 billion (2016 est.) |
| Current account balance: | $918 million (2015 est.) |
| Exports: | $4.483 billion (2016 est.) |
| Exports: | $4.655 billion (2015 est.) |
| Exports - commodities: | fish and fish products (42%), aluminum (38%), agricultural products, medicinal and medical products, ferro-silicon (2015) |
| Exports - partners: | Netherlands 25.4%, UK 11.3%, Spain 10.5%, US 7.8%, Germany 7%, France 6.7%, Norway 4.2% (2016) |
| Imports: | $5.315 billion (2016 est.) |
| Imports: | $4.926 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, petroleum products, foodstuffs, textiles |
| Imports - partners: | Germany 10.1%, US 10%, Norway 9.1%, Netherlands 7.5%, China 7.4%, Denmark 6.1%, UK 5.8% (2016) |
| Reserves of foreign exchange and gold: | $7.226 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $5.041 billion (31 December 2015 est.) |
