| Economy | NETHERLANDS |
| --- | --- |
| Economy - overview: | The Netherlands, the sixth-largest economy in the European Union, plays an important role as a European transportation hub, with a persistently high trade surplus, stable industrial relations, and moderate unemployment. Industry focuses on food processing, chemicals, petroleum refining, and electrical machinery. A highly mechanized agricultural sector employs only 2% of the labor force but provides large surpluses for food-processing and underpins the country’s status as the world’s second largest agricultural exporter. |
| Economy - overview: | The Netherlands is part of the euro zone, and as such, its monetary policy is controlled by the European Central Bank. The Dutch financial sector is highly concentrated, with four commercial banks possessing over 90% of banking assets. The sector suffered as a result of the global financial crisis and required billions of dollars of government support, but the European Banking Authority completed stringent reviews in 2014 and deemed Dutch banks to be well-capitalized. To address the 2009 and 2010 economic downturns, the government sought to stimulate the domestic economy by accelerating infrastructure programs, offering corporate tax breaks for employers to retain workers, and expanding export credits. The stimulus programs and bank bailouts, however, resulted in a government budget deficit of 5.3% of GDP in 2010 that contrasted sharply with a surplus of 0.7% in 2008. |
| Economy - overview: | The government of Prime Minister Mark RUTTE has since implemented significant austerity measures to improve public finances and has instituted broad structural reforms in key policy areas, including the labor market, the housing sector, the energy market, and the pension system. As a result, the government budget deficit at the end of 2015 dropped to 2% of GDP. Following a protracted recession during which unemployment doubled to 7.4% and household consumption contracted for nearly three consecutive years, 2014 saw fragile GDP growth of 1% and a rise in most economic indicators. Growth picked up in 2015 as households boosted purchases through reduced saving. Drivers of growth included increased exports and business investments, as well as newly invigorated household consumption. |
| GDP (purchasing power parity): | $832.6 billion (2015 est.) |
| GDP (purchasing power parity): | $816.9 billion (2014 est.) |
| GDP (purchasing power parity): | $808.7 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $738.4 billion (2015 est.) |
| GDP - real growth rate: | 1.9% (2015 est.) |
| GDP - real growth rate: | 1% (2014 est.) |
| GDP - real growth rate: | -0.5% (2013 est.) |
| GDP - per capita (PPP): | $49,200 (2015 est.) |
| GDP - per capita (PPP): | $48,400 (2014 est.) |
| GDP - per capita (PPP): | $48,100 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 28.4% of GDP (2015 est.) |
| Gross national saving: | 28% of GDP (2014 est.) |
| Gross national saving: | 28.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 44.6% |
| GDP - composition, by end use: | government consumption: 25.3% |
| GDP - composition, by end use: | investment in fixed capital: 19.4% |
| GDP - composition, by end use: | investment in inventories: -0.1% |
| GDP - composition, by end use: | exports of goods and services: 82.5% |
| GDP - composition, by end use: | imports of goods and services: -71.7% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.6% |
| GDP - composition, by sector of origin: | industry: 18% |
| GDP - composition, by sector of origin: | services: 70.2% (2015 est.) |
| Agriculture - products: | grains, potatoes, sugar beets, fruits, vegetables; livestock |
| Industries: | agroindustries, metal and engineering products, electrical machinery and equipment, chemicals, petroleum, construction, microelectronics, fishing |
| Industrial production growth rate: | 0.5% (2015 est.) |
| Labor force: | 7.895 million (2015 est.) |
| Labor force - by occupation: | agriculture: 1.8% |
| Labor force - by occupation: | industry: 17% |
| Labor force - by occupation: | services: 81.2% (2013 est.) |
| Unemployment rate: | 6.9% (2015 est.) |
| Unemployment rate: | 7.4% (2014 est.) |
| Population below poverty line: | 9.1% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 24.5% (2012 est.) |
| Distribution of family income - Gini index: | 25.1 (2013 est.) |
| Distribution of family income - Gini index: | 32.6 (1994 est.) |
| Budget: | revenues: $324 billion |
| Budget: | expenditures: $337.8 billion (2015 est.) |
| Taxes and other revenues: | 43.9% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.9% of GDP (2015 est.) |
| Public debt: | 65.3% of GDP (2015 est.) |
| Public debt: | 68.2% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.2% (2015 est.) |
| Inflation rate (consumer prices): | 0.3% (2014 est.) |
| Central bank discount rate: | 0.05% (31 December 2013) |
| Central bank discount rate: | 0.3% (31 December 2010) |
