| Economy | NETHERLANDS |
| --- | --- |
| Economy - overview: | The Netherlands, the sixth-largest economy in the European Union, plays an important role as a European transportation hub, with a persistently high trade surplus, stable industrial relations, and low unemployment. Industry focuses on food processing, chemicals, petroleum refining, and electrical machinery. A highly mechanized agricultural sector employs only 2% of the labor force but provides large surpluses for food-processing and underpins the country’s status as the world’s second largest agricultural exporter. |
| Economy - overview: | The Netherlands is part of the euro zone, and as such, its monetary policy is controlled by the European Central Bank. The Dutch financial sector is highly concentrated, with four commercial banks possessing over 80% of banking assets, and is four times the size of Dutch GDP. |
| Economy - overview: | In 2008, during the financial crisis, the government budget deficit hit 5.3% of GDP. Following a protracted recession from 2009 to 2013, during which unemployment doubled to 7.4% and household consumption contracted for four consecutive years, economic growth began inching forward in 2014. Since 2010, Prime Minister Mark RUTTE’s government has implemented significant austerity measures to improve public finances and has instituted broad structural reforms in key policy areas, including the labor market, the housing sector, the energy market, and the pension system. In 2016, the government budget returned to a surplus of 0.3% of GDP, with economic growth of 2.1%, and GDP per capita finally surpassed pre-crisis levels. The Dutch government projects steady but modest economic growth of 2.1% in 2017 and unemployment decreasing to 4.9%. |
| GDP (purchasing power parity): | $872.8 billion (2016 est.) |
| GDP (purchasing power parity): | $843.1 billion (2015 est.) |
| GDP (purchasing power parity): | $815.7 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $777.5 billion (2016 est.) |
| GDP - real growth rate: | 2.2% (2016 est.) |
| GDP - real growth rate: | 2.3% (2015 est.) |
| GDP - real growth rate: | 1.4% (2014 est.) |
| GDP - per capita (PPP): | $51,200 (2016 est.) |
| GDP - per capita (PPP): | $50,400 (2015 est.) |
| GDP - per capita (PPP): | $49,500 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 28.5% of GDP (2016 est.) |
| Gross national saving: | 28.5% of GDP (2015 est.) |
| Gross national saving: | 27.4% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 44.2% |
| GDP - composition, by end use: | government consumption: 24.7% |
| GDP - composition, by end use: | investment in fixed capital: 19.9% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 82.4% |
| GDP - composition, by end use: | imports of goods and services: -71.4% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.6% |
| GDP - composition, by sector of origin: | industry: 17.9% |
| GDP - composition, by sector of origin: | services: 70.2% (2016 est.) |
| Agriculture - products: | vegetables, ornamentals, dairy, poultry and livestock products; propagation materials |
| Industries: | agroindustries, metal and engineering products, electrical machinery and equipment, chemicals, petroleum, construction, microelectronics, fishing |
| Industrial production growth rate: | 2.5% (2016 est.) |
| Labor force: | 7.936 million (2016 est.) |
| Labor force - by occupation: | agriculture: 1.2% |
| Labor force - by occupation: | industry: 17.2% |
| Labor force - by occupation: | services: 81.6% (2015 est.) |
| Unemployment rate: | 5.9% (2016 est.) |
| Unemployment rate: | 6.9% (2015 est.) |
| Population below poverty line: | 8.8% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 24.9% (2014 est.) |
| Distribution of family income - Gini index: | 30.3 (2015 est.) |
| Distribution of family income - Gini index: | 25.1 (2013 est.) |
| Budget: | revenues: $340.6 billion |
| Budget: | expenditures: $337.8 billion (2016 est.) |
| Taxes and other revenues: | 44.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 0.4% of GDP (2016 est.) |
| Public debt: | 61.8% of GDP (2016 est.) |
| Public debt: | 64.5% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.1% (2016 est.) |
| Inflation rate (consumer prices): | 0.2% (2015 est.) |
| Central bank discount rate: | 0% (31 December 2016) |
| Central bank discount rate: | 0.05% (31 December 2015) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 1.47% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 1.83% (31 December 2015 est.) |
| Stock of narrow money: | $411.9 billion (31 December 2016 est.) |
| Stock of narrow money: | $405.5 billion (31 December 2015 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $827.6 billion (31 December 2016 est.) |
| Stock of broad money: | $834.8 billion (31 December 2015 est.) |
| Stock of domestic credit: | $1.507 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $1.536 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $652.7 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $735.1 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $675 billion (31 December 2013 est.) |
| Current account balance: | $65.71 billion (2016 est.) |
| Current account balance: | $65.22 billion (2015 est.) |
| Exports: | $495.4 billion (2016 est.) |
| Exports: | $488.3 billion (2015 est.) |
| Exports - commodities: | machinery and transport equipment, chemicals, mineral fuels; food and livestock, manufactured goods |
| Exports - partners: | Germany 24.1%, Belgium 10.7%, UK 9.4%, France 8.8%, Italy 4.2% (2016) |
| Imports: | $402.9 billion (2016 est.) |
| Imports: | $401.3 billion (2015 est.) |
| Imports - commodities: | machinery and transport equipment, chemicals, fuels, foodstuffs, clothing |
| Imports - partners: | Germany 15.3%, China 14.1%, Belgium 8.4%, US 7.9%, UK 5.3%, Russia 4.1% (2016) |
