| Economy | New Zealand |
| --- | --- |
| Economy - overview: | Over the past 20 years the government has transformed New Zealand from an agrarian economy dependent on concessionary British market access to a more industrialized, free market economy that can compete globally. This dynamic growth has boosted real incomes - but left behind some at the bottom of the ladder - and broadened and deepened the technological capabilities of the industrial sector. Per capita income rose for ten consecutive years until 2007 in purchasing power parity terms, but fell in 2008-09. Debt-driven consumer spending drove robust growth in the first half of the decade, helping fuel a large balance of payments deficit that posed a challenge for economic managers. Inflationary pressures caused the central bank to raise its key rate steadily from January 2004 until it was among the highest in the OECD in 2007-08; international capital inflows attracted to the high rates further strengthened the currency and housing market, however, aggravating the current account deficit. The economy fell into recession before the start of the global financial crisis and contracted for five consecutive quarters in 2008-09. In line with global peers, the central bank cut interest rates aggressively and the government developed fiscal stimulus measures. The economy posted a 2% decline in 2009, but pulled out of recession late in the year, and achieved roughly 2% per year growth in 2010-12. Nevertheless, key trade sectors remain vulnerable to weak external demand. The government plans to raise productivity growth and develop infrastructure, while reining in government spending. |
| GDP (purchasing power parity): | $130.9 billion (2012 est.) |
| GDP (purchasing power parity): | $127.5 billion (2011 est.) |
| GDP (purchasing power parity): | $125.7 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $167.5 billion (2012 est.) |
| GDP - real growth rate: | 2.7% (2012 est.) |
| GDP - real growth rate: | 1.4% (2011 est.) |
| GDP - real growth rate: | 1.9% (2010 est.) |
| GDP - per capita (PPP): | $29,500 (2012 est.) |
| GDP - per capita (PPP): | $28,900 (2011 est.) |
| GDP - per capita (PPP): | $28,700 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 14.5% of GDP (2012 est.) |
| Gross national saving: | 14.5% of GDP (2011 est.) |
| Gross national saving: | 16% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 60.3% |
| GDP - composition, by end use: | government consumption: 20.1% |
| GDP - composition, by end use: | investment in fixed capital: 18.9% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 29.1% |
| GDP - composition, by end use: | imports of goods and services: -29% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 5% |
| GDP - composition, by sector of origin: | industry: 25.3% |
| GDP - composition, by sector of origin: | services: 69.7% (2012 est.) |
| Agriculture - products: | dairy products, lamb and mutton; wheat, barley, potatoes, pulses, fruits, vegetables; wool, beef; fish |
| Industries: | food processing, wood and paper products, textiles, machinery, transportation equipment, banking and insurance, tourism, mining |
| Industrial production growth rate: | 1.7% (2012 est.) |
| Labor force: | 2.381 million (2012 est.) |
| Labor force - by occupation: | agriculture: 7% |
| Labor force - by occupation: | industry: 19% |
| Labor force - by occupation: | services: 74% (2006 est.) |
| Unemployment rate: | 6.9% (2012 est.) |
| Unemployment rate: | 6.5% (2011 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 36.2 (1997) |
| Budget: | revenues: $69.92 billion |
| Budget: | expenditures: $76.37 billion (2012 est.) |
| Taxes and other revenues: | 41.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -3.8% of GDP (2012 est.) |
| Public debt: | 38.1% of GDP (2012 est.) |
| Public debt: | 35.4% of GDP (2011 est.) |
| Fiscal year: | 1 April - 31 March |
| Fiscal year: | note: this is the fiscal year for tax purposes |
| Inflation rate (consumer prices): | 1.1% (2012 est.) |
| Inflation rate (consumer prices): | 4% (2011 est.) |
| Central bank discount rate: | 2.5% (31 December 2009) |
| Central bank discount rate: | 5% (31 December 2008) |
| Commercial bank prime lending rate: | 5.82% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 6.11% (31 December 2011 est.) |
| Stock of narrow money: | $29.87 billion (31 December 2012 est.) |
| Stock of narrow money: | $26.26 billion (31 December 2011 est.) |
| Stock of broad money: | $154.6 billion (31 December 2011 est.) |
| Stock of broad money: | $145.3 billion (31 December 2010 est.) |
| Stock of domestic credit: | $265.6 billion (31 December 2012 est.) |
| Stock of domestic credit: | $241.6 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $71.66 billion (31 December 2011) |
| Market value of publicly traded shares: | $36.3 billion (31 December 2010) |
| Market value of publicly traded shares: | $67.06 billion (31 December 2009) |
| Current account balance: | $-8.508 billion (2012 est.) |
| Current account balance: | $-6.686 billion (2011 est.) |
| Exports: | $37.87 billion (2012 est.) |
| Exports: | $38.38 billion (2011 est.) |
| Exports - commodities: | dairy products, meat, wood and wood products, fish, machinery |
| Exports - partners: | Australia 21.1%, China 15%, US 9.2%, Japan 7% (2012) |
| Imports: | $37.04 billion (2012 est.) |
| Imports: | $35.61 billion (2011 est.) |
| Imports - commodities: | machinery and equipment, vehicles, aircraft, petroleum, electronics, textiles, plastics |
| Imports - partners: | China 16.4%, Australia 15.2%, US 9.3%, Japan 6.5%, Singapore 4.8%, Germany 4.4% (2012) |
| Reserves of foreign exchange and gold: | $17.58 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $17.01 billion (31 December 2011 est.) |
| Debt - external: | $85.18 billion (31 December 2012 est.) |
| Debt - external: | $84.04 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $81.36 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $73.64 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $59.08 billion (31 December 2009) |
| Exchange rates: | New Zealand dollars (NZD) per US dollar - |
| Exchange rates: | 1.23 (2012 est.) |
| Exchange rates: | 1.26 (2011 est.) |
| Exchange rates: | 1.39 (2010 est.) |
