| Economy | New Zealand |
| --- | --- |
| Economy - overview: | Over the past 40 years, the government has transformed New Zealand from an agrarian economy, dependent on concessionary British market access, to a more industrialized, free market economy that can compete globally. This dynamic growth has boosted real incomes, but left behind some at the bottom of the ladder and broadened and deepened the technological capabilities of the industrial sector. |
| Economy - overview: | Per capita income rose for 10 consecutive years until 2007 in purchasing power parity terms, but fell in 2008-09. Debt-driven consumer spending drove robust growth in the first half of the decade, fueling a large balance of payments deficit that posed a challenge for policymakers. Inflationary pressures caused the central bank to raise its key rate steadily from January 2004 until it was among the highest in the OECD in 2007 and 2008. The higher rate attracted international capital inflows, which strengthened the currency and housing market while aggravating the current account deficit. Rising house prices, especially in Auckland, have become a political issue in recent years, as well as a policy challenge in 2016 and 2017, as the ability to afford housing has declined for many. |
| Economy - overview: | Expanding New Zealandâ€™s network of free trade agreements remains a top foreign policy priority. New Zealand was an early promoter of the Trans-Pacific Partnership (TPP) and was the second country to ratify the agreement in May 2017. Following the United Statesâ€™ withdrawal from the TPP in January 2017, on 10 November 2017 the remaining 11 countries agreed on the core elements of a modified agreement, which they renamed the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP). In November 2016, New Zealand opened negotiations to upgrade its FTA with China; China is one of New Zealandâ€™s most important trading partners. |
| GDP (purchasing power parity): | $189 billion (2017 est.) |
| GDP (purchasing power parity): | $183.4 billion (2016 est.) |
| GDP (purchasing power parity): | $176.1 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $201.4 billion (2017 est.) |
| GDP - real growth rate: | 3% (2017 est.) |
| GDP - real growth rate: | 4.1% (2016 est.) |
| GDP - real growth rate: | 4.2% (2015 est.) |
| GDP - per capita (PPP): | $39,000 (2017 est.) |
| GDP - per capita (PPP): | $38,600 (2016 est.) |
| GDP - per capita (PPP): | $37,900 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 21% of GDP (2017 est.) |
| Gross national saving: | 21.5% of GDP (2016 est.) |
| Gross national saving: | 20.2% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 57.2% (2017 est.) |
| GDP - composition, by end use: | government consumption: 18.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 23.4% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.3% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 27% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -26.1% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 5.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 21.5% (2017 est.) |
| GDP - composition, by sector of origin: | services: 72.8% (2017 est.) |
| Agriculture - products: | dairy products, sheep, beef, poultry, fruit, vegetables, wine, seafood, wheat and barley |
| Industries: | agriculture, forestry, fishing, logs and wood articles, manufacturing, mining, construction, financial services, real estate services, tourism |
| Industrial production growth rate: | 1.8% (2017 est.) |
| Labor force: | 2.655 million (2017 est.) |
| Labor force - by occupation: | agriculture: 6.6% |
| Labor force - by occupation: | industry: 20.7% |
| Labor force - by occupation: | services: 72.7% (2017 est.) |
| Unemployment rate: | 4.7% (2017 est.) |
| Unemployment rate: | 5.1% (2016 est.) |
| Population below poverty line: | NA |
| Household income or consumption by percentage share: | lowest 10%: NA |
| Household income or consumption by percentage share: | highest 10%: NA |
| Distribution of family income - Gini index: | 36.2 (1997) |
| Budget: | revenues: 74.11 billion (2017 est.) |
| Budget: | expenditures: 70.97 billion (2017 est.) |
| Taxes and other revenues: | 36.8% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.6% (of GDP) (2017 est.) |
| Public debt: | 31.7% of GDP (2017 est.) |
| Public debt: | 33.5% of GDP (2016 est.) |
| Fiscal year: | 1 April - 31 March |
| Fiscal year: | note: this is the fiscal year for tax purposes |
| Inflation rate (consumer prices): | 1.9% (2017 est.) |
| Inflation rate (consumer prices): | 0.6% (2016 est.) |
| Central bank discount rate: | 1.75% (31 December 2017) |
| Central bank discount rate: | 1.75% (31 December 2016) |
| Commercial bank prime lending rate: | 5.1% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 5.02% (31 December 2016 est.) |
| Stock of narrow money: | $46.52 billion (31 December 2017 est.) |
| Stock of narrow money: | $42.01 billion (31 December 2016 est.) |
| Stock of broad money: | $46.52 billion (31 December 2017 est.) |
| Stock of broad money: | $42.01 billion (31 December 2016 est.) |
| Stock of domestic credit: | $304.2 billion (31 December 2017 est.) |
| Stock of domestic credit: | $284.7 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $80.05 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $74.35 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $74.42 billion (31 December 2014 est.) |
| Current account balance: | -$5.471 billion (2017 est.) |
| Current account balance: | -$4.171 billion (2016 est.) |
| Exports: | $37.35 billion (2017 est.) |
| Exports: | $33.61 billion (2016 est.) |
| Exports - partners: | China 22.4%, Australia 16.4%, US 9.9%, Japan 6.1% (2017) |
| Exports - commodities: | dairy products, meat and edible offal, logs and wood articles, fruit, crude oil, wine |
| Imports: | $39.74 billion (2017 est.) |
| Imports: | $35.53 billion (2016 est.) |
| Imports - commodities: | petroleum and products, mechanical machinery, vehicles and parts, electrical machinery, textiles |
| Imports - partners: | China 19%, Australia 12.1%, US 10.5%, Japan 7.3%, Germany 5.3%, Thailand 4.6% (2017) |
