| Economy | UNITED KINGDOM |
| --- | --- |
| Economy - overview: | The UK, a leading trading power and financial center, is the third largest economy in Europe after Germany and France. Agriculture is intensive, highly mechanized, and efficient by European standards, producing about 60% of food needs with less than 2% of the labor force. The UK has large coal, natural gas, and oil resources, but its oil and natural gas reserves are declining and the UK has been a net importer of energy since 2005. Services, particularly banking, insurance, and business services, are key drivers of British GDP growth. Manufacturing, meanwhile, has declined in importance but still accounts for about 10% of economic output. |
| Economy - overview: | In 2008, the global financial crisis hit the economy particularly hard, due to the importance of its financial sector. Falling home prices, high consumer debt, and the global economic slowdown compounded Britain's economic problems, pushing the economy into recession in the latter half of 2008 and prompting the then BROWN (Labour) government to implement a number of measures to stimulate the economy and stabilize the financial markets. Facing burgeoning public deficits and debt levels, in 2010 the CAMERON-led coalition government (between Conservatives and Liberal Democrats) initiated an austerity program, which aimed to lower London's budget deficit from about 11% of GDP in 2010 to nearly 1% by 2015. The CAMERON government raised the value added tax from 17.5% to 20% in 2011. It has pledged to reduce the corporation tax rate to 20% by 2015. However, the deficit still remains one of the highest in the G7, standing at 6.0% in 2014. |
| Economy - overview: | In 2012, weak consumer spending and subdued business investment weighed on the economy, however, in 2013 GDP grew 1.7% and in 2014, 2.6%, accelerating unexpectedly because of greater consumer spending and a recovering housing market. |
| Economy - overview: | The Bank of England (BoE) implemented an asset purchase program of 375 billion (approximately $586 billion) as of December 2014. During times of economic crisis, the BoE coordinates interest rate moves with the European Central Bank, but Britain remains outside the European Economic and Monetary Union (EMU). |
| GDP (purchasing power parity): | $2.549 trillion (2014 est.) |
| GDP (purchasing power parity): | $2.485 trillion (2013 est.) |
| GDP (purchasing power parity): | $2.445 trillion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $2.945 trillion (2014 est.) |
| GDP - real growth rate: | 2.6% (2014 est.) |
| GDP - real growth rate: | 1.7% (2013 est.) |
| GDP - real growth rate: | 1.7% (2012 est.) |
| GDP - per capita (PPP): | $39,500 (2014 est.) |
| GDP - per capita (PPP): | $38,500 (2013 est.) |
| GDP - per capita (PPP): | $37,900 (2012 est.) |
