| Economy | UNITED KINGDOM |
| --- | --- |
| Economy - overview: | The UK, a leading trading power and financial center, is the third largest economy in Europe after Germany and France. Agriculture is intensive, highly mechanized, and efficient by European standards, producing about 60% of food needs with less than 2% of the labor force. The UK has large coal, natural gas, and oil resources, but its oil and natural gas reserves are declining; the UK has been a net importer of energy since 2005. Services, particularly banking, insurance, and business services, are key drivers of British GDP growth. Manufacturing, meanwhile, has declined in importance but still accounts for about 10% of economic output. |
| Economy - overview: | In 2008, the global financial crisis hit the economy particularly hard, due to the importance of its financial sector. Falling home prices, high consumer debt, and the global economic slowdown compounded Britain's economic problems, pushing the economy into recession in the latter half of 2008 and prompting the then BROWN (Labour) government to implement a number of measures to stimulate the economy and stabilize the financial markets. Facing burgeoning public deficits and debt levels, in 2010 the then CAMERON-led coalition government (between Conservatives and Liberal Democrats) initiated an austerity program, which has continued under the new Conservative majority government. However, the deficit still remains one of the highest in the G7, standing at 4.1% of GDP as of mid-2016, and Britain has pledged to lower its corporation tax from 20% to 17% by 2020. Britain had a debt burden of 92.2% GDP at the end of 2016. |
| Economy - overview: | While the UK is one of the fastest growing economies in the G7, economists are concerned about the potential negative impact of the UK’s vote to leave the EU. The UK has an extensive trade relationship with other EU members through its single market membership and economic observers have warned the exit will jeopardize its position as the central location for European financial services. |
| GDP (purchasing power parity): | $2.785 trillion (2016 est.) |
| GDP (purchasing power parity): | $2.701 trillion (2015 est.) |
| GDP (purchasing power parity): | $2.615 trillion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $2.629 trillion (2016 est.) |
| GDP - real growth rate: | 1.8% (2016 est.) |
| GDP - real growth rate: | 2.2% (2015 est.) |
| GDP - real growth rate: | 3.1% (2014 est.) |
| GDP - per capita (PPP): | $42,400 (2016 est.) |
| GDP - per capita (PPP): | $42,000 (2015 est.) |
| GDP - per capita (PPP): | $41,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 12.6% of GDP (2016 est.) |
| Gross national saving: | 13% of GDP (2015 est.) |
| Gross national saving: | 12.7% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 65.1% |
| GDP - composition, by end use: | government consumption: 19% |
| GDP - composition, by end use: | investment in fixed capital: 16.7% |
| GDP - composition, by end use: | investment in inventories: 1.2% |
| GDP - composition, by end use: | exports of goods and services: 28.2% |
| GDP - composition, by end use: | imports of goods and services: -30.1% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.6% |
| GDP - composition, by sector of origin: | industry: 19.2% |
| GDP - composition, by sector of origin: | services: 80.2% |
| GDP - composition, by sector of origin: | (2016 est.) |
| Agriculture - products: | cereals, oilseed, potatoes, vegetables; cattle, sheep, poultry; fish |
| Industries: | machine tools, electric power equipment, automation equipment, railroad equipment, shipbuilding, aircraft, motor vehicles and parts, electronics and communications equipment, metals, chemicals, coal, petroleum, paper and paper products, food processing, textiles, clothing, other consumer goods |
| Industrial production growth rate: | 1.5% (2016 est.) |
| Labor force: | 33.36 million (2016 est.) |
| Labor force - by occupation: | agriculture: 1.3% |
| Labor force - by occupation: | industry: 15.2% |
| Labor force - by occupation: | services: 83.5% (2014 est.) |
| Unemployment rate: | 4.9% (2016 est.) |
| Unemployment rate: | 5.4% (2015 est.) |
| Population below poverty line: | 15% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 31.1% (2012) |
| Distribution of family income - Gini index: | 32.4 (2012) |
| Distribution of family income - Gini index: | 33.4 (2010) |
| Budget: | revenues: $1.029 trillion |
| Budget: | expenditures: $1.107 trillion (2016 est.) |
| Taxes and other revenues: | 39.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.9% of GDP (2016 est.) |
| Public debt: | 89.3% of GDP (2016 est.) |
| Public debt: | 89% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | 6 April - 5 April |
| Inflation rate (consumer prices): | 0.7% (2016 est.) |
| Inflation rate (consumer prices): | 0.4% (2015 est.) |
| Central bank discount rate: | 0.25% (31 December 2016) |
| Central bank discount rate: | 0.5% (31 December 2015) |
| Commercial bank prime lending rate: | 4.44% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 4.51% (31 December 2015 est.) |
| Stock of narrow money: | $96.15 billion (31 December 2016 est.) |
| Stock of narrow money: | $106.7 billion (31 December 2015 est.) |
| Stock of broad money: | $2.778 trillion (31 December 2016 est.) |
| Stock of broad money: | $3.125 trillion (31 December 2015 est.) |
| Stock of domestic credit: | $2.785 trillion (31 December 2016 est.) |
| Stock of domestic credit: | $3.195 trillion (31 December 2015 est.) |
| Market value of publicly traded shares: | $3.019 trillion (31 December 2012 est.) |
| Market value of publicly traded shares: | $2.903 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $3.107 trillion (31 December 2010 est.) |
| Current account balance: | $-114.5 billion (2016 est.) |
