| Economy | United Kingdom |
| --- | --- |
| Economy - overview: | The UK, a leading trading power and financial center, is the third largest economy in Europe after Germany and France. Agriculture is intensive, highly mechanized, and efficient by European standards, producing about 60% of food needs with less than 2% of the labor force. The UK has large coal, natural gas, and oil resources, but its oil and natural gas reserves are declining; the UK has been a net importer of energy since 2005. Services, particularly banking, insurance, and business services, are key drivers of British GDP growth. Manufacturing, meanwhile, has declined in importance but still accounts for about 10% of economic output. |
| Economy - overview: | In 2008, the global financial crisis hit the economy particularly hard, due to the importance of its financial sector. Falling home prices, high consumer debt, and the global economic slowdown compounded the UKâ€™s economic problems, pushing the economy into recession in the latter half of 2008 and prompting the then BROWN (Labour) government to implement a number of measures to stimulate the economy and stabilize the financial markets. Facing burgeoning public deficits and debt levels, in 2010 the then CAMERON-led coalition government (between Conservatives and Liberal Democrats) initiated an austerity program, which has continued under the Conservative government. However, the deficit still remains one of the highest in the G7, standing at 3.6% of GDP as of 2017, and the UK has pledged to lower its corporation tax from 20% to 17% by 2020. The UK had a debt burden of 90.4% GDP at the end of 2017. |
| Economy - overview: | The UK economy has begun to slow since the referendum vote to leave the EU in June 2016. A sustained depreciation of the British pound has increased consumer and producer prices, weighing on consumer spending without spurring a meaningful increase in exports. The UK has an extensive trade relationship with other EU members through its single market membership, and economic observers have warned the exit will jeopardize its position as the central location for European financial services. Prime Minister MAY is seeking a new "deep and special" trade relationship with the EU following the UKâ€™s exit. However, economists doubt that the UK will be able to preserve the benefits of EU membership without the obligations. The UK is expected to officially leave the EU by the end of March 2019. |
| GDP (purchasing power parity): | $2.925 trillion (2017 est.) |
| GDP (purchasing power parity): | $2.877 trillion (2016 est.) |
| GDP (purchasing power parity): | $2.827 trillion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $2.628 trillion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 1.7% (2017 est.) |
| GDP - real growth rate: | 1.8% (2016 est.) |
| GDP - real growth rate: | 2.3% (2015 est.) |
| GDP - per capita (PPP): | $44,300 (2017 est.) |
| GDP - per capita (PPP): | $43,800 (2016 est.) |
| GDP - per capita (PPP): | $43,400 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 13.6% of GDP (2017 est.) |
| Gross national saving: | 12% of GDP (2016 est.) |
| Gross national saving: | 12.3% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 65.8% (2017 est.) |
| GDP - composition, by end use: | government consumption: 18.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 17.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 30.2% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -31.5% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 20.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 79.2% (2017 est.) |
| Agriculture - products: | cereals, oilseed, potatoes, vegetables; cattle, sheep, poultry; fish; milk, eggs |
| Industries: | machine tools, electric power equipment, automation equipment, railroad equipment, shipbuilding, aircraft, motor vehicles and parts, electronics and communications equipment, metals, chemicals, coal, petroleum, paper and paper products, food processing, textiles, clothing, other consumer goods |
| Industrial production growth rate: | 3.4% (2017 est.) |
| Labor force: | 33.5 million (2017 est.) |
| Labor force - by occupation: | agriculture: 1.3% |
| Labor force - by occupation: | industry: 15.2% |
| Labor force - by occupation: | services: 83.5% (2014 est.) |
| Unemployment rate: | 4.4% (2017 est.) |
| Unemployment rate: | 4.9% (2016 est.) |
| Population below poverty line: | 15% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 31.1% (2012) |
| Household income or consumption by percentage share: | highest 10%: 31.1% (2012) |
| Distribution of family income - Gini index: | 32.4 (2012) |
| Distribution of family income - Gini index: | 33.4 (2010) |
| Budget: | revenues: 1.028 trillion (2017 est.) |
| Budget: | expenditures: 1.079 trillion (2017 est.) |
| Taxes and other revenues: | 39.1% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1.9% (of GDP) (2017 est.) |
| Public debt: | 87.5% of GDP (2017 est.) |
| Public debt: | 87.9% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | 6 April - 5 April |
| Inflation rate (consumer prices): | 2.7% (2017 est.) |
| Inflation rate (consumer prices): | 0.7% (2016 est.) |
| Central bank discount rate: | 0.25% (31 December 2016) |
| Central bank discount rate: | 0.5% (31 December 2015) |
| Commercial bank prime lending rate: | 4.38% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 4.44% (31 December 2016 est.) |
| Stock of narrow money: | $110.9 billion (31 December 2017 est.) |
| Stock of narrow money: | $96.15 billion (31 December 2016 est.) |
| Stock of broad money: | $110.9 billion (31 December 2017 est.) |
| Stock of broad money: | $96.15 billion (31 December 2016 est.) |
