| Economy | MOZAMBIQUE |
| --- | --- |
| Economy - overview: | At independence in 1975, Mozambique was one of the world's poorest countries. Socialist policies, economic mismanagement, and a brutal civil war from 1977 to 1992 further impoverished the country. In 1987, the government embarked on a series of macroeconomic reforms designed to stabilize the economy. These steps, combined with donor assistance and with political stability since the multi-party elections in 1994, propelled the country’s GDP from $4 billion in 1993, following the war, to about $34 billion in 2015. Fiscal reforms, including the introduction of a value-added tax and reform of the customs service, have improved the government's revenue collection abilities. |
| Economy - overview: | In spite of these gains, more than half the population remains below the poverty line. Subsistence agriculture continues to employ the vast majority of the country's work force. Citizens rioted in September 2010 after fuel, water, electricity, and bread price increases were announced. In an attempt to lessen the negative impact on the population, the government implemented subsidies, decreased taxes and tariffs, and instituted other fiscal measures. |
| Economy - overview: | A substantial trade imbalance persists, although aluminum production from the Mozal Aluminum Smelter has significantly boosted export earnings in recent years. In 2012, The Mozambican Government took over Portugal's last remaining share in the Cahora Bassa Hydroelectricity Company, a significant contributor to the Southern African Power Pool. The government has plans to expand the Cahora Bassa Dam and build additional dams to increase its electricity exports and fulfill the needs of its burgeoning domestic industries. |
| Economy - overview: | Mozambique's once substantial foreign debt was reduced through forgiveness and rescheduling under the IMF's Heavily Indebted Poor Countries (HIPC) and Enhanced HIPC initiatives. However, in 2013, the Mozambique Tuna Company (EMATUM) issued an $850 million bond fully guaranteed by the Mozambican government primarily for the purpose of purchasing tuna boats. The government is attempting to reschedule this debt, in the expectation that a pending deal with a consortium led by a US company will provide enough revenue to pay off this debt. The pending deal has the potential to transform Mozambique’s economy and dramatically increase GDP. |
| Economy - overview: | Mozambique grew at an average annual rate of 6%-8% in the decade up to 2015, one of Africa's strongest performances. Mozambique's ability to attract large investment projects in natural resources is expected to sustain high growth rates in coming years although weaker global demand for commodities is likely to weaken expected revenues from these vast resources, including natural gas, coal, titanium, and hydroelectric capacity. |
| GDP (purchasing power parity): | $33.19 billion (2015 est.) |
| GDP (purchasing power parity): | $31.22 billion (2014 est.) |
| GDP (purchasing power parity): | $29.06 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $14.97 billion (2015 est.) |
| GDP - real growth rate: | 6.3% (2015 est.) |
| GDP - real growth rate: | 7.4% (2014 est.) |
| GDP - real growth rate: | 7.1% (2013 est.) |
| GDP - per capita (PPP): | $1,200 (2015 est.) |
| GDP - per capita (PPP): | $1,100 (2014 est.) |
| GDP - per capita (PPP): | $1,100 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | -0.1% of GDP (2015 est.) |
| Gross national saving: | 12% of GDP (2014 est.) |
| Gross national saving: | 15.4% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 71.6% |
| GDP - composition, by end use: | government consumption: 25.8% |
| GDP - composition, by end use: | investment in fixed capital: 38.1% |
| GDP - composition, by end use: | investment in inventories: 3.7% |
| GDP - composition, by end use: | exports of goods and services: 26.2% |
| GDP - composition, by end use: | imports of goods and services: -65.4% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 25.5% |
| GDP - composition, by sector of origin: | industry: 20.1% |
| GDP - composition, by sector of origin: | services: 54.4% (2015 est.) |
| Agriculture - products: | cotton, cashew nuts, sugarcane, tea, cassava (manioc, tapioca), corn, coconuts, sisal, citrus and tropical fruits, potatoes, sunflowers; beef, poultry |
| Industries: | aluminum, petroleum products, chemicals (fertilizer, soap, paints), textiles, cement, glass, asbestos, tobacco, food, beverages |
| Industrial production growth rate: | 8.6% (2015 est.) |
| Labor force: | 12.92 million (2015 est.) |
| Labor force - by occupation: | agriculture: 81% |
| Labor force - by occupation: | industry: 6% |
| Labor force - by occupation: | services: 13% (1997 est.) |
| Unemployment rate: | 17% (2007 est.) |
| Unemployment rate: | 21% (1997 est.) |
| Population below poverty line: | 52% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.9% |
| Household income or consumption by percentage share: | highest 10%: 36.7% (2008) |
| Distribution of family income - Gini index: | 45.6 (2008) |
| Distribution of family income - Gini index: | 47.3 (2002) |
| Budget: | revenues: $4.382 billion |
| Budget: | expenditures: $5.285 billion (2015 est.) |
| Taxes and other revenues: | 29.3% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -6% of GDP (2015 est.) |
| Public debt: | 75.8% of GDP (2015 est.) |
| Public debt: | 64.2% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.6% (2015 est.) |
| Inflation rate (consumer prices): | 2.6% (2014 est.) |
| Central bank discount rate: | 9.5% (17 January 2013) |
| Central bank discount rate: | 3.25% (31 December 2010) |
| Commercial bank prime lending rate: | 14.87% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 14.8% (31 December 2014 est.) |
| Stock of narrow money: | $4.758 billion (31 December 2015 est.) |
| Stock of narrow money: | $5.405 billion (31 December 2014 est.) |
| Stock of broad money: | $7.48 billion (31 December 2015 est.) |
| Stock of broad money: | $7.871 billion (31 December 2014 est.) |
| Stock of domestic credit: | $5.565 billion (31 December 2015 est.) |
| Stock of domestic credit: | $5.529 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$6.185 billion (2015 est.) |
| Current account balance: | -$5.797 billion (2014 est.) |
| Exports: | $3.413 billion (2015 est.) |
| Exports: | $3.916 billion (2014 est.) |
| Exports - commodities: | aluminum, prawns, cashews, cotton, sugar, citrus, timber; bulk electricity |
| Exports - partners: | South Africa 24.9%, China 10.2%, Italy 8.9%, India 8.9%, Belgium 7.9%, Spain 4.4% (2015) |
| Imports: | $7.577 billion (2015 est.) |
| Imports: | $7.952 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, vehicles, fuel, chemicals, metal products, foodstuffs, textiles |
