| Economy | Mozambique |
| --- | --- |
| Economy - overview: | At independence in 1975, Mozambique was one of the world's poorest countries. Socialist policies, economic mismanagement, and a brutal civil war from 1977 to 1992 further impoverished the country. In 1987, the government embarked on a series of macroeconomic reforms designed to stabilize the economy. These steps, combined with donor assistance and with political stability since the multi-party elections in 1994, propelled the countryâ€™s GDP, in purchasing power parity terms, from $4 billion in 1993 to about $37 billion in 2017. Fiscal reforms, including the introduction of a value-added tax and reform of the customs service, have improved the government's revenue collection abilities. In spite of these gains, about half the population remains below the poverty line and subsistence agriculture continues to employ the vast majority of the country's work force. |
| Economy - overview: | Mozambique's once substantial foreign debt was reduced through forgiveness and rescheduling under the IMF's Heavily Indebted Poor Countries (HIPC) and Enhanced HIPC initiatives. However, in 2016, information surfaced revealing that the Mozambican Government was responsible for over $2 billion in government-backed loans secured between 2012-14 by state-owned defense and security companies without parliamentary approval or national budget inclusion; this prompted the IMF and international donors to halt direct budget support to the Government of Mozambique. An international audit was performed on Mozambiqueâ€™s debt in 2016-17, but debt restructuring and resumption of donor support have yet to occur. |
| Economy - overview: | Mozambique grew at an average annual rate of 6%-8% in the decade leading up to 2015, one of Africa's strongest performances, but the sizable external debt burden, donor withdrawal, elevated inflation, and currency depreciation contributed to slower growth in 2016-17. |
| Economy - overview: | Two major International consortiums, led by American companies ExxonMobil and Anadarko, are seeking approval to develop massive natural gas deposits off the coast of Cabo Delgado province, in what has the potential to become the largest infrastructure project in Africa. . The government predicts sales of liquefied natural gas from these projects could generate several billion dollars in revenues annually sometime after 2022. |
| GDP (purchasing power parity): | $37.09 billion (2017 est.) |
| GDP (purchasing power parity): | $35.76 billion (2016 est.) |
| GDP (purchasing power parity): | $34.46 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $12.59 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 3.7% (2017 est.) |
| GDP - real growth rate: | 3.8% (2016 est.) |
| GDP - real growth rate: | 6.6% (2015 est.) |
| GDP - per capita (PPP): | $1,300 (2017 est.) |
| GDP - per capita (PPP): | $1,200 (2016 est.) |
| GDP - per capita (PPP): | $1,200 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 16.8% of GDP (2017 est.) |
| Gross national saving: | -1.2% of GDP (2016 est.) |
| Gross national saving: | 5% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 69.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 27.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 21.7% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 13.9% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 38.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -70.6% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 23.9% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 19.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 56.8% (2017 est.) |
| Agriculture - products: | cotton, cashew nuts, sugarcane, tea, cassava (manioc, tapioca), corn, coconuts, sisal, citrus and tropical fruits, potatoes, sunflowers; beef, poultry |
| Industries: | aluminum, petroleum products, chemicals (fertilizer, soap, paints), textiles, cement, glass, asbestos, tobacco, food, beverages |
| Industrial production growth rate: | 4.9% (2017 est.) |
| Labor force: | 12.9 million (2017 est.) |
| Labor force - by occupation: | agriculture: 74.4% |
| Labor force - by occupation: | industry: 3.9% |
| Labor force - by occupation: | services: 21.7% (2015 est.) |
| Unemployment rate: | 24.5% (2017 est.) |
| Unemployment rate: | 25% (2016 est.) |
| Population below poverty line: | 46.1% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 36.7% (2008) |
| Household income or consumption by percentage share: | highest 10%: 36.7% (2008) |
| Distribution of family income - Gini index: | 45.6 (2008) |
| Distribution of family income - Gini index: | 47.3 (2002) |
| Budget: | revenues: 3.356 billion (2017 est.) |
| Budget: | expenditures: 4.054 billion (2017 est.) |
| Taxes and other revenues: | 26.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -5.6% (of GDP) (2017 est.) |
| Public debt: | 102.1% of GDP (2017 est.) |
| Public debt: | 121.6% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 15.3% (2017 est.) |
| Inflation rate (consumer prices): | 19.2% (2016 est.) |
| Central bank discount rate: | 19% (4 November 2017) |
| Central bank discount rate: | 23.25% (31 December 2016) |
| Commercial bank prime lending rate: | 27.86% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 21.18% (31 December 2016 est.) |
| Stock of narrow money: | $3.817 billion (31 December 2017 est.) |
| Stock of narrow money: | $3.411 billion (31 December 2016 est.) |
| Stock of broad money: | $3.817 billion (31 December 2017 est.) |
| Stock of broad money: | $3.411 billion (31 December 2016 est.) |
| Stock of domestic credit: | $4.337 billion (31 December 2017 est.) |
| Stock of domestic credit: | $4.242 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$2.824 billion (2017 est.) |
| Current account balance: | -$4.28 billion (2016 est.) |
| Exports: | $4.725 billion (2017 est.) |
| Exports: | $3.328 billion (2016 est.) |
| Exports - partners: | India 28.1%, Netherlands 24.4%, South Africa 16.7% (2017) |
| Exports - commodities: | aluminum, prawns, cashews, cotton, sugar, citrus, timber; bulk electricity |
| Imports: | $5.223 billion (2017 est.) |
| Imports: | $4.733 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, vehicles, fuel, chemicals, metal products, foodstuffs, textiles |
| Imports - partners: | South Africa 36.8%, China 7%, UAE 6.8%, India 6.2%, Portugal 4.4% (2017) |
| Reserves of foreign exchange and gold: | $3.361 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.081 billion (31 December 2016 est.) |
| Debt - external: | $10.91 billion (31 December 2017 est.) |
| Debt - external: | $10.48 billion (31 December 2016 est.) |
| Exchange rates: | meticais (MZM) per US dollar - |
| Exchange rates: | 64.4 (2017 est.) |
| Exchange rates: | 63.067 (2016 est.) |
| Exchange rates: | 63.067 (2015 est.) |
| Exchange rates: | 39.983 (2014 est.) |
