| Economy | FINLAND |
| --- | --- |
| Economy - overview: | Finland has a highly industrialized, largely free-market economy with per capita GDP almost as high as that of Austria and the Netherlands and slightly above that of Germany and Belgium. Trade is important, with exports accounting for over one-third of GDP in recent years. The government is open to, and actively takes steps to attract, foreign direct investment. |
| Economy - overview: | Finland is historically competitive in manufacturing - principally the wood, metals, engineering, telecommunications, and electronics industries. Finland excels in export of technology as well as promotion of startups in the information and communications technology, gaming, cleantech, and biotechnology sectors. Except for timber and several minerals, Finland depends on imports of raw materials, energy, and some components for manufactured goods. Because of the cold climate, agricultural development is limited to maintaining self-sufficiency in basic products. Forestry, an important export industry, provides a secondary occupation for the rural population. |
| Economy - overview: | Finland had been one of the best performing economies within the EU before 2009 and its banks and financial markets avoided the worst of global financial crisis. However, the world slowdown hit exports and domestic demand hard in that year, causing Finland’s economy to contract from 2012 to 2014. The recession affected general government finances and the debt ratio. The economy returned to growth in 2015, posting a 0.3% GDP increase before growing 1.4% in 2016. |
| Economy - overview: | Finland's main challenges will be reducing high labor costs and boosting demand for its exports. In June 2016, the government enacted a Competitiveness Pact aimed at reducing labor costs, increasing hours worked, and introducing more flexibility into the wage bargaining system. The Government was also seeking to reform the health care system and social services. In the long term, Finland must address a rapidly aging population and decreasing productivity in traditional industries that threaten competitiveness, fiscal sustainability, and economic growth. |
| GDP (purchasing power parity): | $231.9 billion (2016 est.) |
| GDP (purchasing power parity): | $224.6 billion (2015 est.) |
| GDP (purchasing power parity): | $222.3 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $238.6 billion (2016 est.) |
| GDP - real growth rate: | 1.9% (2016 est.) |
| GDP - real growth rate: | 0% (2015 est.) |
| GDP - real growth rate: | -0.6% (2014 est.) |
| GDP - per capita (PPP): | $42,300 (2016 est.) |
| GDP - per capita (PPP): | $41,600 (2015 est.) |
| GDP - per capita (PPP): | $41,700 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 20.8% of GDP (2016 est.) |
| Gross national saving: | 20.3% of GDP (2015 est.) |
| Gross national saving: | 19.7% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 55.2% |
| GDP - composition, by end use: | government consumption: 24% |
| GDP - composition, by end use: | investment in fixed capital: 21.5% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 35.2% |
| GDP - composition, by end use: | imports of goods and services: -36.5% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.7% |
| GDP - composition, by sector of origin: | industry: 27.1% |
| GDP - composition, by sector of origin: | services: 70.2% (2016 est.) |
| Agriculture - products: | barley, wheat, sugar beets, potatoes; dairy cattle; fish |
| Industries: | metals and metal products, electronics, machinery and scientific instruments, shipbuilding, pulp and paper, foodstuffs, chemicals, textiles, clothing |
