| Economy | SENEGAL |
| --- | --- |
| Economy - overview: | Senegal’s economy is driven by mining, construction, tourism, fisheries and agriculture, which are the primary sources of employment in rural areas. The country's key export industries include phosphate mining, fertilizer production, agricultural products and commercial fishing and it is also working on oil exploration projects. Senegal relies heavily on donor assistance, remittances and foreign direct investment. For the first time in the past 12 years, Senegal reached a growth rate of 6.5% in 2015 and surpassed 6.6% in 2016, due in part to a buoyant performance in agriculture because of higher rainfall and productivity in the sector. |
| Economy - overview: | President Macky SALL, who was elected in March 2012 under a reformist policy agenda, inherited an economy with high energy costs, a challenging business environment, and a culture of overspending. President SALL unveiled an ambitious economic plan, the Emerging Senegal Plan (ESP), which aims to implement priority economic reforms and investment projects to increase economic growth while preserving macroeconomic stability and debt sustainability. Bureaucratic bottlenecks and a challenging business climate are among the perennial challenges that may slow the implementation of this plan. |
| Economy - overview: | Senegal is receiving technical support from the IMF during 2015-17 under a Policy Support Instrument (PSI) to assist with implementation of the ESP. The PSI implementation continues to be satisfactory as concluded by the IMF’s second review mission in March 2016. Investors have signaled confidence in the country through Senegal’s successful Eurobond issuances in recent years, including in 2014. |
| Economy - overview: | The government will focus on 19 projects under the ESP for the 2016 budget to continue the structural transformation of the economy. These 19 projects include the Thies-Touba Highway, including the new airport- Mbour-Thies Highway. Senegal will increase the national family allowances program and the community development emergency program in 2016. Electricity supply is a chief constraint for Senegal’s development. Electricity prices in Senegal are among the highest in the world. Power Africa, a program led by USAID and OPIC, plans to increase the current 500 MW of generating capacity to over 1,000 mW in the next three to five years. Recent gas discoveries on the Senegal-Mauritanian border, as well as just south of Dakar, will help alleviate some of the energy shortages. |
| GDP (purchasing power parity): | $39.64 billion (2016 est.) |
| GDP (purchasing power parity): | $36.67 billion (2015 est.) |
| GDP (purchasing power parity): | $34.07 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $14.72 billion (2016 est.) |
| GDP - real growth rate: | 6.7% (2016 est.) |
| GDP - real growth rate: | 6.5% (2015 est.) |
| GDP - real growth rate: | 4.1% (2014 est.) |
| GDP - per capita (PPP): | $2,500 (2016 est.) |
| GDP - per capita (PPP): | $2,500 (2015 est.) |
| GDP - per capita (PPP): | $2,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 21.5% of GDP (2016 est.) |
| Gross national saving: | 17.7% of GDP (2015 est.) |
| Gross national saving: | 15.5% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 76.7% |
| GDP - composition, by end use: | government consumption: 16.2% |
