| Economy | FINLAND |
| --- | --- |
| Economy - overview: | Finland has a highly industrialized, largely free-market economy with per capita GDP almost as high as that of Austria, Belgium, the Netherlands, or Sweden. Trade is important, with exports accounting for over one-third of GDP in recent years. |
| Economy - overview: | Finland is historically competitive in manufacturing - principally the wood, metals, engineering, telecommunications, and electronics industries. Finland excels in export of technology for mobile phones as well as promotion of startups in the information and communications technology, gaming, cleantech, and biotechnology sectors. Except for timber and several minerals, Finland depends on imports of raw materials, energy, and some components for manufactured goods. Because of the cold climate, agricultural development is limited to maintaining self-sufficiency in basic products. Forestry, an important export industry, provides a secondary occupation for the rural population. |
| Economy - overview: | Finland had been one of the best performing economies within the EU before 2009 and its banks and financial markets avoided the worst of global financial crisis. However, the world slowdown hit exports and domestic demand hard in that year, causing Finland’s economy to contract from 2012-14. The recession affected general government finances and the debt ratio. |
| Economy - overview: | Finland's main challenges will be reducing high labor costs and boosting demand for its exports. In the long term, Finland must address a rapidly aging population and decreasing productivity in traditional industries that threaten competitiveness, fiscal sustainability, and economic growth. The depreciating ruble and Russia’s general economic slowdown will dampen exports to Russia. |
| GDP (purchasing power parity): | $225 billion (2015 est.) |
| GDP (purchasing power parity): | $224 billion (2014 est.) |
| GDP (purchasing power parity): | $225.6 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $229.7 billion (2015 est.) |
| GDP - real growth rate: | 0.4% (2015 est.) |
| GDP - real growth rate: | -0.7% (2014 est.) |
| GDP - real growth rate: | -0.8% (2013 est.) |
| GDP - per capita (PPP): | $41,100 (2015 est.) |
| GDP - per capita (PPP): | $41,100 (2014 est.) |
| GDP - per capita (PPP): | $41,600 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 21.2% of GDP (2015 est.) |
| Gross national saving: | 19.9% of GDP (2014 est.) |
| Gross national saving: | 19.8% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 55.3% |
| GDP - composition, by end use: | government consumption: 24.4% |
| GDP - composition, by end use: | investment in fixed capital: 20.4% |
| GDP - composition, by end use: | investment in inventories: 0.3% |
| GDP - composition, by end use: | exports of goods and services: 36.6% |
| GDP - composition, by end use: | imports of goods and services: -37.1% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.5% |
| GDP - composition, by sector of origin: | industry: 26.8% |
| GDP - composition, by sector of origin: | services: 70.6% (2015 est.) |
| Agriculture - products: | barley, wheat, sugar beets, potatoes; dairy cattle; fish |
| Industries: | metals and metal products, electronics, machinery and scientific instruments, shipbuilding, pulp and paper, foodstuffs, chemicals, textiles, clothing |
| Industrial production growth rate: | -1.8% (2015 est.) |
| Labor force: | 2.689 million (2015 est.) |
| Labor force - by occupation: | agriculture and forestry: 4.4% |
| Labor force - by occupation: | industry: 15.5% |
| Labor force - by occupation: | construction: 7.1% |
| Labor force - by occupation: | commerce: 21.3% |
| Labor force - by occupation: | finance, insurance, and business services: 13.3% |
| Labor force - by occupation: | transport and communications: 9.9% |
| Labor force - by occupation: | public services: 28.5% (2011) |
| Unemployment rate: | 9.3% (2015 est.) |
| Unemployment rate: | 8.7% (2014 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 3.6% |
| Household income or consumption by percentage share: | highest 10%: 24.7% (2007) |
| Distribution of family income - Gini index: | 26.8 (2008) |
| Distribution of family income - Gini index: | 25.6 (1991) |
| Budget: | revenues: $127.6 billion |
| Budget: | expenditures: $134 billion |
| Budget: | note: Central Government Budget (2015 est.) |
| Taxes and other revenues: | 55.6% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.8% of GDP (2015 est.) |
| Public debt: | 62.5% of GDP (2015 est.) |
| Public debt: | 59.3% of GDP (2014 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.2% (2015 est.) |
| Inflation rate (consumer prices): | 1.2% (2014 est.) |
| Central bank discount rate: | 0.05% (31 December 2013) |
| Central bank discount rate: | 0.3% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 2% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 2.2% (31 December 2014 est.) |
| Stock of narrow money: | $121.4 billion (31 December 2015 est.) |
| Stock of narrow money: | $118.8 billion (31 December 2014 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $179.8 billion (31 December 2014 est.) |
| Stock of broad money: | $195.3 billion (31 December 2013 est.) |
| Stock of domestic credit: | $357.9 billion (31 December 2015 est.) |
| Stock of domestic credit: | $410.1 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $158.7 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $143.1 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $118.2 billion (31 December 2010 est.) |
| Current account balance: | $272 million (2015 est.) |
| Current account balance: | -$2.566 billion (2014 est.) |
| Exports: | $61.29 billion (2015 est.) |
| Exports: | $75.6 billion (2014 est.) |
| Exports - commodities: | electrical and optical equipment, machinery, transport equipment, paper and pulp, chemicals, basic metals; timber |
| Exports - partners: | Germany 13.9%, Sweden 10.1%, US 7%, Netherlands 6.6%, Russia 5.9%, UK 5.2%, China 4.7% (2015) |
| Imports: | $58.5 billion (2015 est.) |
| Imports: | $74.43 billion (2014 est.) |
| Imports - commodities: | foodstuffs, petroleum and petroleum products, chemicals, transport equipment, iron and steel, machinery, computers, electronic industry products, textile yarn and fabrics, grains |
| Imports - partners: | Germany 17%, Sweden 16%, Russia 11%, Netherlands 9.1%, Denmark 4.1% (2015) |
