| Economy | Finland |
| --- | --- |
| Economy - overview: | Finland has a highly industrialized, largely free-market economy with per capita output almost as high as that of Austria, Belgium, the Netherlands, and Sweden. Trade is important with exports accounting for over one third of GDP in recent years. Finland is strongly competitive in manufacturing - principally the wood, metals, engineering, telecommunications, and electronics industries. Finland excels in high-tech exports such as mobile phones. Except for timber and several minerals, Finland depends on imports of raw materials, energy, and some components for manufactured goods. Because of the climate, agricultural development is limited to maintaining self-sufficiency in basic products. Forestry, an important export earner, provides a secondary occupation for the rural population. Finland had been one of the best performing economies within the EU in recent years and its banks and financial markets avoided the worst of global financial crisis. However, the world slowdown hit exports and domestic demand hard in 2009, with Finland experiencing one of the deepest contractions in the euro zone. A recovery of exports, domestic trade, and household consumption stimulated economic growth in 2010-11. The recession affected general government finances and the debt ratio, turning previously strong budget surpluses into deficits, but Finland has taken action to ensure it will meet EU deficit targets by 2013 and retains its triple-A credit rating. Finland's main challenge in 2013 will be to stimulate growth in the face of weak demand in EU export markets and government austerity measures meant to reduce its budget deficit. Longer-term, Finland must address a rapidly aging population and decreasing productivity that threaten competitiveness, fiscal sustainability, and economic growth. |
| GDP (purchasing power parity): | $194.1 billion (2012 est.) |
| GDP (purchasing power parity): | $195.7 billion (2011 est.) |
| GDP (purchasing power parity): | $190.5 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $244.3 billion (2012 est.) |
| GDP - real growth rate: | -0.8% (2012 est.) |
| GDP - real growth rate: | 2.7% (2011 est.) |
| GDP - real growth rate: | 3.4% (2010 est.) |
| GDP - per capita (PPP): | $35,800 (2012 est.) |
| GDP - per capita (PPP): | $36,200 (2011 est.) |
| GDP - per capita (PPP): | $35,400 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 19.6% of GDP (2012 est.) |
| Gross national saving: | 21.2% of GDP (2011 est.) |
| Gross national saving: | 22% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 56.4% |
| GDP - composition, by end use: | government consumption: 25.1% |
