| Economy | BHUTAN |
| --- | --- |
| Economy - overview: | Bhutan's small economy is based largely on hydropower, agriculture, and forestry, which provide the main livelihood for more than half of the population. Because rugged mountains dominate the terrain and make the building of roads and other infrastructure difficult and expensive, industrial production is primarily of the cottage industry type. The economy is closely aligned with India's through strong trade and monetary links and is dependent on India for financial assistance and migrant laborers for development projects, especially for road construction. Bhutan inked a pact in December 2014 to expand duty-free trade with Bangladesh. |
| Economy - overview: | Multilateral development organizations administer most educational, social, and environment programs, and take into account the government's desire to protect the country's environment and cultural traditions. For example, the government, in its cautious expansion of the tourist sector, encourages visits by upscale, environmentally conscientious tourists. Complicated controls and uncertain policies in areas such as industrial licensing, trade, labor, and finance continue to hamper foreign investment. |
| Economy - overview: | Bhutan’s largest export - hydropower to India - could spur sustainable growth in the coming years if Bhutan resolves chronic delays in construction. Bhutan’s hydropower exports comprise 40% of total exports and 25% of GDP. Bhutan currently taps only 6.5% of its 24,000-megawatt hydropower potential and is behind schedule in building 12 new hydropower dams with a combined capacity of 10,000 megawatts by 2020 in accordance with a deal signed in 2008 with India. The high volume of imported materials to build hydropower plants has expanded Bhutan's trade and current account deficits. Bhutan also is exploring energy exports to Bangladesh. |
| GDP (purchasing power parity): | $6.508 billion (2016 est.) |
| GDP (purchasing power parity): | $6.049 billion (2015 est.) |
| GDP (purchasing power parity): | $5.638 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $2.121 billion (2016 est.) |
| GDP - real growth rate: | 6.2% (2016 est.) |
| GDP - real growth rate: | 6.1% (2015 est.) |
| GDP - real growth rate: | 4% (2014 est.) |
| GDP - per capita (PPP): | $8,200 (2016 est.) |
| GDP - per capita (PPP): | $7,900 (2015 est.) |
| GDP - per capita (PPP): | $7,500 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 33.4% of GDP (2016 est.) |
| Gross national saving: | 32% of GDP (2015 est.) |
| Gross national saving: | 35% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 54.7% |
| GDP - composition, by end use: | government consumption: 17.9% |
| GDP - composition, by end use: | investment in fixed capital: 50.1% |
| GDP - composition, by end use: | investment in inventories: -0.1% |
| GDP - composition, by end use: | exports of goods and services: 29.4% |
| GDP - composition, by end use: | imports of goods and services: -52.1% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 16.4% |
| GDP - composition, by sector of origin: | industry: 42.2% |
| GDP - composition, by sector of origin: | services: 41.4% (2016 est.) |
| Agriculture - products: | rice, corn, root crops, citrus; dairy products, eggs |
| Industries: | cement, wood products, processed fruits, alcoholic beverages, calcium carbide, tourism |
