| Economy | Bhutan |
| --- | --- |
| Economy - overview: | Bhutan's small economy is based largely on hydropower, agriculture, and forestry, which provide the main livelihood for more than half the population. Because rugged mountains dominate the terrain and make the building of roads and other infrastructure difficult and expensive, industrial production is primarily of the cottage industry type. The economy is closely aligned with India's through strong trade and monetary links and is dependent on India for financial assistance and migrant laborers for development projects, especially for road construction. Bhutan signed a pact in December 2014 to expand duty-free trade with Bangladesh. |
| Economy - overview: | Multilateral development organizations administer most educational, social, and environment programs, and take into account the government's desire to protect the country's environment and cultural traditions. For example, the government is cautious in its expansion of the tourist sector, restricing visits to environmentally conscientious tourists. Complicated controls and uncertain policies in areas such as industrial licensing, trade, labor, and finance continue to hamper foreign investment. |
| Economy - overview: | Bhutanâ€™s largest export - hydropower to India - could spur sustainable growth in the coming years if Bhutan resolves chronic delays in construction. Bhutanâ€™s hydropower exports comprise 40% of total exports and 25% of the governmentâ€™s total revenue. Bhutan currently taps only 6.5% of its 24,000-megawatt hydropower potential and is behind schedule in building 12 new hydropower dams with a combined capacity of 10,000 megawatts by 2020 in accordance with a deal signed in 2008 with India. The high volume of imported materials to build hydropower plants has expanded Bhutan's trade and current account deficits. Bhutan also signed a memorandum of understanding with Bangladesh and India in July 2017 to jointly construct a new hydropower plant for exporting electricity to Bangladesh. |
| GDP (purchasing power parity): | $7.205 billion (2017 est.) |
| GDP (purchasing power parity): | $6.71 billion (2016 est.) |
| GDP (purchasing power parity): | $6.252 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $2.405 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 7.4% (2017 est.) |
| GDP - real growth rate: | 7.3% (2016 est.) |
| GDP - real growth rate: | 6.2% (2015 est.) |
| GDP - per capita (PPP): | $9,000 (2017 est.) |
| GDP - per capita (PPP): | $8,500 (2016 est.) |
| GDP - per capita (PPP): | $8,000 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 40.4% of GDP (2017 est.) |
| Gross national saving: | 33.3% of GDP (2016 est.) |
| Gross national saving: | 32% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 58% (2017 est.) |
| GDP - composition, by end use: | government consumption: 16.8% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 47.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 26% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -48% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 16.2% (2017 est.) |
