| Economy | SLOVENIA |
| --- | --- |
| Economy - overview: | With excellent infrastructure, a well-educated work force, and a strategic location between the Balkans and Western Europe, Slovenia has one of the highest per capita GDPs in Central Europe, despite having suffered a protracted recession in 2008-2009 in the wake of the global financial crisis. Slovenia became the first 2004 EU entrant to adopt the euro (on 1 January 2007) and has experienced one of the most stable political transitions in Central and Southeastern Europe. |
| Economy - overview: | In March 2004, Slovenia became the first transition country to graduate from borrower status to donor partner at the World Bank. In 2007, Slovenia was invited to begin the process for joining the OECD; it became a member in 2012. However, long-delayed privatizations, particularly within Slovenia’s largely state-owned and increasingly indebted banking sector, have fueled investor concerns since 2012 that the country would need EU-IMF financial assistance. In 2013, the European Commission granted Slovenia permission to begin recapitalizing ailing lenders and transferring their nonperforming assets into a “bad bank” established to restore bank balance sheets. Export-led growth fueled by demand in larger European markets pushed GDP growth to 3.0% in 2014, while stubbornly-high unemployment fell slightly to 12%. |
| Economy - overview: | Prime Minister CERAR’s government took office in September 2014, pledging to press ahead with commitments to privatize a select group of state-run companies, rationalize public spending, and further stabilize the banking sector. |
| GDP (purchasing power parity): | $63.96 billion (2015 est.) |
| GDP (purchasing power parity): | $62.17 billion (2014 est.) |
| GDP (purchasing power parity): | $60.33 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $42.77 billion (2015 est.) |
| GDP - real growth rate: | 2.9% (2015 est.) |
| GDP - real growth rate: | 3% (2014 est.) |
| GDP - real growth rate: | -1.1% (2013 est.) |
| GDP - per capita (PPP): | $31,000 (2015 est.) |
| GDP - per capita (PPP): | $30,200 (2014 est.) |
| GDP - per capita (PPP): | $29,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 25.6% of GDP (2015 est.) |
| Gross national saving: | 26% of GDP (2014 est.) |
| Gross national saving: | 24% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 52.2% |
| GDP - composition, by end use: | government consumption: 18.7% |
| GDP - composition, by end use: | investment in fixed capital: 19.5% |
| GDP - composition, by end use: | investment in inventories: 1% |
| GDP - composition, by end use: | exports of goods and services: 77.6% |
| GDP - composition, by end use: | imports of goods and services: -68.8% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.3% |
| GDP - composition, by sector of origin: | industry: 33.5% |
| GDP - composition, by sector of origin: | services: 64.2% (2015 est.) |
| Agriculture - products: | hops, wheat, coffee, corn, apples, pears; cattle, sheep, poultry |
| Industries: | ferrous metallurgy and aluminum products, lead and zinc smelting; electronics (including military electronics), trucks, automobiles, electric power equipment, wood products, textiles, chemicals, machine tools |
| Industrial production growth rate: | 3.3% (2015 est.) |
| Labor force: | 917,400 (2015 est.) |
| Labor force - by occupation: | agriculture: 8.3% |
| Labor force - by occupation: | industry: 30.8% |
| Labor force - by occupation: | services: 60.9% (2012 est.) |
| Unemployment rate: | 12.3% (2015 est.) |
| Unemployment rate: | 13.1% (2014 est.) |
| Population below poverty line: | 13.5% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.7% |
| Household income or consumption by percentage share: | highest 10%: 21.1% (2012) |
| Distribution of family income - Gini index: | 23.7 (2012) |
| Distribution of family income - Gini index: | 23.8 (2005) |
| Budget: | revenues: $19.29 billion |
| Budget: | expenditures: $20.55 billion (2015 est.) |
| Taxes and other revenues: | 45.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.9% of GDP (2015 est.) |
| Public debt: | 83.7% of GDP (2015 est.) |
| Public debt: | 81% of GDP (2014 est.) |
