| Economy | Slovenia |
| --- | --- |
| Economy - overview: | With excellent infrastructure, a well-educated work force, and a strategic location between the Balkans and Western Europe, Slovenia has one of the highest per capita GDPs in Central Europe, despite having suffered a protracted recession in the 2008-09 period in the wake of the global financial crisis. Slovenia became the first 2004 EU entrant to adopt the euro (on 1 January 2007) and has experienced a stable political and economic transition. |
| Economy - overview: | In March 2004, Slovenia became the first transition country to graduate from borrower status to donor partner at the World Bank. In 2007, Slovenia was invited to begin the process for joining the OECD; it became a member in 2012. From 2014 to 2016, export-led growth, fueled by demand in larger European markets, pushed annual GDP growth above 2.3%. Growth reached 5.0% in 2017 and is projected to near or reach 5% in 2018. What used to be stubbornly high unemployment fell below 5.5% in early 2018, driven by strong exports and increasing consumption that boosted labor demand. Continued fiscal consolidation through increased tax collection and social security contributions will likely result in a balanced government budget in 2019. |
| Economy - overview: | Prime Minister Cerarâ€™s government took office in September 2014, pledging to press ahead with commitments to privatize a select group of state-run companies, rationalize public spending, and further stabilize the banking sector. Efforts to privatize Sloveniaâ€™s largely state-owned banking sector have largely stalled, however, amid concerns about an ongoing dispute over Yugoslav-era foreign currency deposits. |
| GDP (purchasing power parity): | $71.23 billion (2017 est.) |
| GDP (purchasing power parity): | $67.84 billion (2016 est.) |
| GDP (purchasing power parity): | $65.77 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $48.87 billion (2017 est.) |
| GDP - real growth rate: | 5% (2017 est.) |
| GDP - real growth rate: | 3.1% (2016 est.) |
| GDP - real growth rate: | 2.3% (2015 est.) |
| GDP - per capita (PPP): | $34,500 (2017 est.) |
| GDP - per capita (PPP): | $32,900 (2016 est.) |
| GDP - per capita (PPP): | $31,900 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 26.4% of GDP (2017 est.) |
| Gross national saving: | 24.2% of GDP (2016 est.) |
| Gross national saving: | 23.9% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 52.6% (2017 est.) |
| GDP - composition, by end use: | government consumption: 18.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 18.4% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 82.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -72.6% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 32.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 65.9% (2017 est.) |
| Agriculture - products: | hops, wheat, coffee, corn, apples, pears; cattle, sheep, poultry |
| Industries: | ferrous metallurgy and aluminum products, lead and zinc smelting; electronics (including military electronics), trucks, automobiles, electric power equipment, wood products, textiles, chemicals, machine tools |
| Industrial production growth rate: | 8.6% (2017 est.) |
| Labor force: | 959,000 (2017 est.) |
| Labor force - by occupation: | agriculture: 5.5% |
| Labor force - by occupation: | industry: 31.2% |
| Labor force - by occupation: | services: 63.3% (2017 est.) |
| Unemployment rate: | 6.6% (2017 est.) |
| Unemployment rate: | 8% (2016 est.) |
| Population below poverty line: | 13.9% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.8% |
| Household income or consumption by percentage share: | highest 10%: 20.1% (2016) |
| Distribution of family income - Gini index: | 24.4 (2016) |
| Distribution of family income - Gini index: | 24.5 (2015) |
| Budget: | revenues: 21.07 billion (2017 est.) |
