| Economy | Slovenia |
| --- | --- |
| Economy - overview: | Slovenia became the first 2004 European Union entrant to adopt the euro (on 1 January 2007) and has experienced one of the most stable political and economic transitions in Central and Southeastern Europe. With the highest per capita GDP in Central Europe, Slovenia has excellent infrastructure, a well-educated work force, and a strategic location between the Balkans and Western Europe. Privatization has lagged since 2002, and the economy has one of highest levels of state control in the EU. Structural reforms to improve the business environment have allowed for somewhat greater foreign participation in Slovenia's economy and helped to lower unemployment. In March 2004, Slovenia became the first transition country to graduate from borrower status to donor partner at the World Bank. In 2007, Slovenia was invited to begin the process for joining the OECD; it became a member in 2012. Despite its economic success, foreign direct investment (FDI) in Slovenia has lagged behind the region average, and taxes remain relatively high. Furthermore, the labor market is often seen as inflexible, and legacy industries are losing sales to more competitive firms in China, India, and elsewhere. In 2009, the global recession caused the economy to contract - through falling exports and industrial production - by 8%, and unemployment to rise. Although growth resumed in 2010, it dipped into negative territory in 2012 and the unemployment rate continued to rise, exceeding 12% in 2012. |
| GDP (purchasing power parity): | $57.93 billion (2012 est.) |
| GDP (purchasing power parity): | $59.25 billion (2011 est.) |
| GDP (purchasing power parity): | $58.89 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $45.42 billion (2012 est.) |
| GDP - real growth rate: | -2.2% (2012 est.) |
| GDP - real growth rate: | 0.6% (2011 est.) |
| GDP - real growth rate: | 1.2% (2010 est.) |
| GDP - per capita (PPP): | $28,600 (2012 est.) |
| GDP - per capita (PPP): | $29,300 (2011 est.) |
| GDP - per capita (PPP): | $29,200 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 2.7% |
| GDP - composition by sector: | industry: 27.6% |
| GDP - composition by sector: | services: 69.7% (2012 est.) |
| Labor force: | 932,300 (2012 est.) |
| Labor force - by occupation: | agriculture: 2.2% |
| Labor force - by occupation: | industry: 35% |
| Labor force - by occupation: | services: 62.8% (2009) |
| Unemployment rate: | 12.3% (2012 est.) |
| Unemployment rate: | 11.8% (2011 est.) |
| Population below poverty line: | 12.3% (2008) |
| Household income or consumption by percentage share: | lowest 10%: 3.4% |
| Household income or consumption by percentage share: | highest 10%: 24.6% (2004) |
| Distribution of family income - Gini index: | 28.4 (2008) |
| Distribution of family income - Gini index: | 23.8 (2004) |
| Investment (gross fixed): | 16.7% of GDP (2012 est.) |
| Budget: | revenues: $20.5 billion |
| Budget: | expenditures: $22.59 billion (2012 est.) |
| Taxes and other revenues: | 45.1% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -4.6% of GDP (2012 est.) |
| Public debt: | 53.2% of GDP (2012 est.) |
| Public debt: | 46.9% of GDP (2011 est.) |
