| Economy | Slovenia |
| --- | --- |
| Economy - overview: | Slovenia became the first 2004 European Union entrant to adopt the euro (on 1 January 2007) and has experienced one of the most stable political and economic transitions in Central and Southeastern Europe. With the highest per capita GDP in Central Europe, Slovenia has excellent infrastructure, a well-educated work force, and a strategic location between the Balkans and Western Europe. Privatization has lagged since 2002, and the economy has one of the highest levels of state control in the EU. Structural reforms to improve the business environment have allowed for somewhat greater foreign participation in Slovenia's economy and helped to lower unemployment. In March 2004, Slovenia became the first transition country to graduate from borrower status to donor partner at the World Bank. In 2007, Slovenia was invited to begin the process for joining the OECD; it became a member in 2012. Despite its economic success, foreign direct investment (FDI) in Slovenia has lagged behind the region average, and taxes remain relatively high. Furthermore, the labor market is often seen as inflexible, and legacy industries are losing sales to more competitive firms in China, India, and elsewhere. In 2009, the global recession caused the economy to contract - through falling exports and industrial production - by 8%, and unemployment to rise. Although growth resumed in 2010, it dipped into negative territory in 2012 and the unemployment rate continued to rise, approaching 12% in 2012. |
| GDP (purchasing power parity): | $57.22 billion (2012 est.) |
| GDP (purchasing power parity): | $58.71 billion (2011 est.) |
| GDP (purchasing power parity): | $58.3 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $44.81 billion (2012 est.) |
| GDP - real growth rate: | -2.5% (2012 est.) |
| GDP - real growth rate: | 0.7% (2011 est.) |
| GDP - real growth rate: | 1.3% (2010 est.) |
| GDP - per capita (PPP): | $27,800 (2012 est.) |
| GDP - per capita (PPP): | $28,600 (2011 est.) |
| GDP - per capita (PPP): | $28,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 19.8% of GDP (2012 est.) |
| Gross national saving: | 20.1% of GDP (2011 est.) |
| Gross national saving: | 20.1% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 56.9% |
| GDP - composition, by end use: | government consumption: 20.8% |
| GDP - composition, by end use: | investment in fixed capital: 17.8% |
| GDP - composition, by end use: | investment in inventories: -0.3% |
| GDP - composition, by end use: | exports of goods and services: 76.1% |
| GDP - composition, by end use: | imports of goods and services: -71.3% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.7% |
| GDP - composition, by sector of origin: | industry: 27.7% |
| GDP - composition, by sector of origin: | services: 69.6% (2012 est.) |
| Agriculture - products: | potatoes, hops, wheat, sugar beets, corn, grapes; cattle, sheep, poultry |
| Industries: | ferrous metallurgy and aluminum products, lead and zinc smelting; electronics (including military electronics), trucks, automobiles, electric power equipment, wood products, textiles, chemicals, machine tools |
| Industrial production growth rate: | 0.2% (2012 est.) |
| Labor force: | 920,200 (2012 est.) |
| Labor force - by occupation: | agriculture: 2.2% |
| Labor force - by occupation: | industry: 35% |
| Labor force - by occupation: | services: 62.8% (2009) |
| Unemployment rate: | 12% (2012 est.) |
| Unemployment rate: | 11.8% (2011 est.) |
| Population below poverty line: | 13.6% (2011) |
| Household income or consumption by percentage share: | lowest 10%: 3.9% |
| Household income or consumption by percentage share: | highest 10%: 19.8% (2011) |
| Distribution of family income - Gini index: | 23.8 (2011) |
| Distribution of family income - Gini index: | 23.8 (2004) |
| Budget: | revenues: $19.28 billion |
| Budget: | expenditures: $20.73 billion (2012 est.) |
| Taxes and other revenues: | 43% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -3.2% of GDP (2012 est.) |
| Public debt: | 47.6% of GDP (2012 est.) |
