| Economy | KYRGYZSTAN |
| --- | --- |
| Economy - overview: | Kyrgyzstan is a poor, mountainous country with an economy dominated by agriculture and minerals extraction. Cotton, tobacco, wool, and meat are the main agricultural products, although only tobacco and cotton are exported in any quantity. Other exports include gold, mercury, uranium, natural gas, and&mdash;in some years&mdash;electricity. Bishkek remains embroiled in a legal battle with Canadian investors in the Kumtor gold mine, the nation&rsquo;s largest. Kyrgyzstan has sought foreign investment to develop hydroelectric potential as a source of export revenue. The economy also depends heavily on remittances from Kyrgyzstani migrant workers, primarily in Russia. Following independence, Kyrgyzstan rapidly carried out market reforms, such as improving the regulatory system and instituting land reform. Kyrgyzstan was the first Commonwealth of Independent States (CIS) country to be accepted into the World Trade Organization. The government has sold much of its ownership shares in enterprises. Drops in production had been severe after the breakup of the Soviet Union in December 1991, but by mid-1995, production began to recover and exports began to increase. The overthrow of President BAKIEV in April 2010 and subsequent ethnic clashes left hundreds dead and damaged infrastructure. Under President ATAMBAEV, Kyrgyzstan has developed a plan for economic development in coordination with international donors. In December 2014 Kyrgyzstan agreed to join the Eurasian Economic Union in early 2015. The keys to future growth include progress in fighting corruption, improving administrative transparency, restructuring domestic industry, and attracting foreign aid and investment. |
| GDP (purchasing power parity): | $19.16 billion (2014 est.) |
| GDP (purchasing power parity): | $18.49 billion (2013 est.) |
| GDP (purchasing power parity): | $16.73 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $7.402 billion (2014 est.) |
| GDP - real growth rate: | 3.6% (2014 est.) |
| GDP - real growth rate: | 10.5% (2013 est.) |
| GDP - real growth rate: | -0.9% (2012 est.) |
| GDP - per capita (PPP): | $3,400 (2014 est.) |
| GDP - per capita (PPP): | $3,200 (2013 est.) |
| GDP - per capita (PPP): | $2,900 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 13.3% of GDP (2014 est.) |
| Gross national saving: | 11.1% of GDP (2013 est.) |
| Gross national saving: | 10.5% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 103.2% |
| GDP - composition, by end use: | government consumption: 16.6% |
| GDP - composition, by end use: | investment in fixed capital: 29.1% |
| GDP - composition, by end use: | investment in inventories: 1.8% |
| GDP - composition, by end use: | exports of goods and services: 48.1% |
| GDP - composition, by end use: | imports of goods and services: -98.8% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 19.3% |
| GDP - composition, by sector of origin: | industry: 31.1% |
| GDP - composition, by sector of origin: | services: 49.6% (2014 est.) |
| Agriculture - products: | tobacco, cotton, potatoes, vegetables, grapes, fruits and berries; sheep, goats, cattle, wool |
| Industries: | small machinery, textiles, food processing, cement, shoes, sawn logs, refrigerators, furniture, electric motors, gold, rare earth metals |
| Industrial production growth rate: | 6.5% (2014 est.) |
| Labor force: | 2.615 million (2014 est.) |
| Labor force - by occupation: | agriculture: 48% |
| Labor force - by occupation: | industry: 12.5% |
| Labor force - by occupation: | services: 39.5% (2005 est.) |
| Unemployment rate: | 7.6% (2014 est.) |
| Unemployment rate: | 18% (2004 est.) |
| Population below poverty line: | 33.7% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 27.8% (2009 est.) |
| Distribution of family income - Gini index: | 33.4 (2007) |
| Distribution of family income - Gini index: | 29 (2001) |
| Budget: | revenues: $2.036 billion |
| Budget: | expenditures: $2.214 billion (2014 est.) |
| Taxes and other revenues: | 26.6% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2.3% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 7.5% (2014 est.) |
| Inflation rate (consumer prices): | 6.6% (2013 est.) |
| Central bank discount rate: | 13.73% (22 December 2011) |
| Central bank discount rate: | 2.5% (31 December 2010) |
| Commercial bank prime lending rate: | 24% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 20.93% (31 December 2013 est.) |
| Stock of narrow money: | $1.563 billion (31 December 2014 est.) |
| Stock of narrow money: | $1.474 billion (31 December 2013 est.) |
| Stock of broad money: | $2.02 billion (31 December 2014 est.) |
| Stock of broad money: | $1.847 billion (31 December 2013 est.) |
| Stock of domestic credit: | $1.152 billion (31 December 2014 est.) |
| Stock of domestic credit: | $1.052 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $165 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $165 million (31 December 2011) |
| Market value of publicly traded shares: | $79 million (31 December 2010 est.) |
| Current account balance: | -$1.013 billion (2014 est.) |
| Current account balance: | -$1.771 billion (2013 est.) |
| Exports: | $2.009 billion (2014 est.) |
| Exports: | $2.048 billion (2013 est.) |
| Exports - commodities: | gold, cotton, wool, garments, meat, tobacco; mercury, uranium, electricity; machinery; shoes |
| Exports - partners: | Uzbekistan 29.3%, Kazakhstan 28.5%, UAE 6.6%, Russia 5.9%, Afghanistan 5.8%, Turkey 5.3% (2014) |
| Imports: | $5.537 billion (2014 est.) |
| Imports: | $5.614 billion (2013 est.) |
