| Economy | KAZAKHSTAN |
| --- | --- |
| Economy - overview: | Kazakhstan, geographically the largest of the former Soviet republics, excluding Russia, possesses substantial fossil fuel reserves and other minerals and metals, such as uranium, copper, and zinc. It also has a large agricultural sector featuring livestock and grain. The government realizes that its economy suffers from an overreliance on oil and extractive industries and has embarked on an ambitious diversification program, aimed at developing targeted sectors like transport, pharmaceuticals, telecommunications, petrochemicals and food processing. |
| Economy - overview: | Kazakhstan's vast hydrocarbon and mineral reserves form the backbone of its economy. Kazakhstan is landlocked and depends on Russia to export its oil to Europe. In 2010, Kazakhstan joined Russia and Belarus to establish a Customs Union in an effort to boost foreign investment and improve trade. The Customs Union evolved into a Single Economic Space in 2012 and the Eurasian Economic Union (EEU) in January 2015. |
| Economy - overview: | The economic downturn of its EEU partner, Russia, and the decline in global commodity prices have contributed to an economic slowdown in Kazakhstan, which is experiencing its slowest economic growth since the financial crises of 2008-09. Kazakhstan devalued its currency, the tenge, by 19% in February 2014, and in November 2014, the government announced a stimulus package to cope with its economic challenges. In spring 2015, Kazakhstan embarked on an ambitious reform agenda to modernize its economy and improve its institutions. In the face of further decline in the ruble, oil prices, and the regional economic slowdown, Kazakhstan announced in August 2015 that it would cancel its currency band in favor of a floating exchange rate that sparked further devaluation of the tenge. In 2015, Kazakhstan's president signed into law a new Entrepreneurial Code and a new Labor Code, both aimed at improving the business environment. Despite some positive institutional and legislative changes, investors remain concerned about corruption, bureaucracy, and arbitrary law enforcement, especially at the regional and municipal levels. |
| GDP (purchasing power parity): | $429.1 billion (2015 est.) |
| GDP (purchasing power parity): | $424.2 billion (2014 est.) |
| GDP (purchasing power parity): | $406.7 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $173.2 billion (2015 est.) |
| GDP - real growth rate: | 1.2% (2015 est.) |
| GDP - real growth rate: | 4.3% (2014 est.) |
| GDP - real growth rate: | 6% (2013 est.) |
| GDP - per capita (PPP): | $24,300 (2015 est.) |
| GDP - per capita (PPP): | $24,300 (2014 est.) |
| GDP - per capita (PPP): | $23,700 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 26% of GDP (2015 est.) |
| Gross national saving: | 29.1% of GDP (2014 est.) |
| Gross national saving: | 26% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 54.3% |
| GDP - composition, by end use: | government consumption: 12.3% |
| GDP - composition, by end use: | investment in fixed capital: 24% |
| GDP - composition, by end use: | investment in inventories: 5.3% |
| GDP - composition, by end use: | exports of goods and services: 30.1% |
| GDP - composition, by end use: | imports of goods and services: -26.2% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 5% |
| GDP - composition, by sector of origin: | industry: 32.5% |
| GDP - composition, by sector of origin: | services: 62.5% (2015 est.) |
| Agriculture - products: | grain (mostly spring wheat and barley), potatoes, vegetables, melons; livestock |
| Industries: | oil, coal, iron ore, manganese, chromite, lead, zinc, copper, titanium, bauxite, gold, silver, phosphates, sulfur, uranium, iron and steel; tractors and other agricultural machinery, electric motors, construction materials |
