| Economy | KAZAKHSTAN |
| --- | --- |
| Economy - overview: | Kazakhstan, geographically the largest of the former Soviet republics, excluding Russia, possesses substantial fossil fuel reserves and other minerals and metals, such as uranium, copper, and zinc. It also has a large agricultural sector featuring livestock and grain. The government realizes that its economy suffers from an overreliance on oil and extractive industries and has made initial attempts to diversify its economy by targeting sectors like transport, pharmaceuticals, telecommunications, petrochemicals and food processing for greater development and investment. |
| Economy - overview: | Kazakhstan's vast hydrocarbon and mineral reserves form the backbone of its economy. Chevron-led Tengizchevroil announced a $36.8 billion expansion of Kazakhstan’s premiere Tengiz oil field in July 2016. Meanwhile, the super-giant Kashagan field finally launched production in October 2016 after years of delay and an estimated $55 billion in development costs. |
| Economy - overview: | Kazakhstan is landlocked and depends on Russia to export its oil to Europe. It also exports oil directly to China. In 2010, Kazakhstan joined Russia and Belarus to establish a Customs Union in an effort to boost foreign investment and improve trade. The Customs Union evolved into a Single Economic Space in 2012 and the Eurasian Economic Union (EAEU) in January 2015. In part due to weak commodity prices, Kazakhstan’s exports to EAEU countries declined 23.5% in 2016. Imports from EAEU countries to Kazakhstan declined 13.7%. |
| Economy - overview: | The economic downturn of its EAEU partner, Russia, and the decline in global commodity prices from 2014 to 2015 contributed to an economic slowdown in Kazakhstan, which continues to experience its slowest economic growth since the financial crises of 2008-09. In 2014, Kazakhstan devalued its currency, the tenge, and announced a stimulus package to cope with its economic challenges. In the face of further decline in the ruble, oil prices, and the regional economy, Kazakhstan announced in 2015 it would replace its currency band with a floating exchange rate, leading to a sharp fall in the value of the tenge. Since reaching a low of 391 to the dollar in January 2016, the tenge has modestly appreciated, helped by somewhat higher oil prices. |
| Economy - overview: | Despite some positive institutional and legislative changes in the last several years, investors remain concerned about corruption, bureaucracy, and arbitrary law enforcement, especially at the regional and municipal levels. An additional concern is the condition of the country’s banking sector, which suffers from low liquidity, poor asset quality, and a lack of transparency. Investors also question the potentially negative effects on the economy of a contested presidential succession as Kazakhstan’s first president, Nursultan NAZARBAYEV, who turns 77 in 2017, has not announced whether he will seek reelection in 2019. |
| GDP (purchasing power parity): | $451.2 billion (2016 est.) |
| GDP (purchasing power parity): | $440.7 billion (2015 est.) |
| GDP (purchasing power parity): | $430.8 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $133.7 billion (2016 est.) |
| GDP - real growth rate: | 1.1% (2016 est.) |
| GDP - real growth rate: | 1.2% (2015 est.) |
| GDP - real growth rate: | 4.3% (2014 est.) |
| GDP - per capita (PPP): | $25,200 (2016 est.) |
| GDP - per capita (PPP): | $25,300 (2015 est.) |
| GDP - per capita (PPP): | $25,300 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 22.3% of GDP (2016 est.) |
| Gross national saving: | 26.6% of GDP (2015 est.) |
| Gross national saving: | 28.6% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 55.8% |
| GDP - composition, by end use: | government consumption: 12.2% |
| GDP - composition, by end use: | investment in fixed capital: 23% |
| GDP - composition, by end use: | investment in inventories: 5.3% |
| GDP - composition, by end use: | exports of goods and services: 33.3% |
| GDP - composition, by end use: | imports of goods and services: -29.6% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.8% |
| GDP - composition, by sector of origin: | industry: 33.9% |
| GDP - composition, by sector of origin: | services: 61.3% (2016 est.) |
| Agriculture - products: | grain (mostly spring wheat and barley), potatoes, vegetables, melons; livestock |
| Industries: | oil, coal, iron ore, manganese, chromite, lead, zinc, copper, titanium, bauxite, gold, silver, phosphates, sulfur, uranium, iron and steel; tractors and other agricultural machinery, electric motors, construction materials |
| Industrial production growth rate: | 1.3% (2016 est.) |
| Labor force: | 8.999 million (2016 est.) |
| Labor force - by occupation: | agriculture: 18.1% |
| Labor force - by occupation: | industry: 20.4% |
| Labor force - by occupation: | services: 61.6% (2017 est.) |
| Unemployment rate: | 5% (2016 est.) |
| Unemployment rate: | 5% (2015 est.) |
| Population below poverty line: | 2.7% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4.3% |
| Household income or consumption by percentage share: | highest 10%: 22% (2013 est.) |
| Distribution of family income - Gini index: | 26.3 (2013) |
| Distribution of family income - Gini index: | 31.5 (2003) |
| Budget: | revenues: $27.21 billion |
| Budget: | expenditures: $27.57 billion (2016 est.) |
| Taxes and other revenues: | 20.3% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -0.3% of GDP (2016 est.) |
| Public debt: | 26.2% of GDP (2016 est.) |
| Public debt: | 23.4% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 14.6% (2016 est.) |
| Inflation rate (consumer prices): | 6.7% (2015 est.) |
| Central bank discount rate: | 11% (10 April 2017) |
| Central bank discount rate: | 12% (9 January 2017) |
| Commercial bank prime lending rate: | 15.33% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 13.18% (31 December 2015 est.) |
| Stock of narrow money: | $13.81 billion (31 December 2016 est.) |
| Stock of narrow money: | $8.934 billion (31 December 2015 est.) |
| Stock of broad money: | $37.78 billion (31 December 2016 est.) |
| Stock of broad money: | $25.34 billion (31 December 2015 est.) |
| Stock of domestic credit: | $55.53 billion (31 December 2016 est.) |
| Stock of domestic credit: | $51.85 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $744 million (31 December 2016 est.) |
| Market value of publicly traded shares: | $4.737 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $26.23 billion (31 December 2013 est.) |
| Current account balance: | $-8.518 billion (2016 est.) |
