| Economy | Venezuela |
| --- | --- |
| Economy - overview: | Venezuela remains highly dependent on oil revenues, which account for roughly 96% of export earnings, about 45% of budget revenues, and around 12% of GDP. Fueled by high oil prices, pre-election government spending helped spur GDP growth in 2012 to 5.6%. Government spending, minimum wage hikes, and improved access to domestic credit created an increase in consumption which combined with supply problems to cause higher inflation - roughly 20% in 2012 and rising to more than 56% in 2013. Former President Hugo CHAVEZ's efforts to increase the government's control of the economy by nationalizing firms in the agribusiness, financial, construction, oil, and steel sectors hurt the private investment environment, reduced productive capacity, and slowed non-petroleum exports. In 2013, Venezuela continued to wrestle with housing and electricity crises, and rolling food and goods shortages, resulting from the government's unorthodox economic policies. The budget deficit for the public sector reached 17% of GDP in 2012 and was trimmed to under 10% of GDP in 2013. The Venezuelan government has maintained a regime of strict currency exchange controls since 2003. Venezuelan law now sanctions a three-tiered exchange rate system, with rates based on the government's import priorities. |
| GDP (purchasing power parity): | $407.4 billion (2013 est.) |
| GDP (purchasing power parity): | $403.3 billion (2012 est.) |
| GDP (purchasing power parity): | $381.9 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $367.5 billion (2013 est.) |
| GDP - real growth rate: | 1.6% (2013 est.) |
| GDP - real growth rate: | 5.6% (2012 est.) |
| GDP - real growth rate: | 4.2% (2011 est.) |
| GDP - per capita (PPP): | $13,600 (2013 est.) |
| GDP - per capita (PPP): | $13,700 (2012 est.) |
| GDP - per capita (PPP): | $13,100 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 23.8% of GDP (2013 est.) |
| Gross national saving: | 28.9% of GDP (2012 est.) |
| Gross national saving: | 30.8% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 62.3% |
| GDP - composition, by end use: | government consumption: 13.2% |
| GDP - composition, by end use: | investment in fixed capital: 17.3% |
| GDP - composition, by end use: | investment in inventories: 5.7% |
| GDP - composition, by end use: | exports of goods and services: 25% |
| GDP - composition, by end use: | imports of goods and services: -23.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.7% |
| GDP - composition, by sector of origin: | industry: 35.5% |
| GDP - composition, by sector of origin: | services: 60.8% (2013 est.) |
