| Economy | VENEZUELA |
| --- | --- |
| Economy - overview: | Venezuela remains highly dependent on oil revenues, which account for almost all export earnings and nearly half of the government’s revenue. The country ended 2015 with an estimated 10% contraction in its GDP, 275% inflation, widespread shortages of consumer goods, and declining central bank international reserves. The IMF forecasts that the GDP will shrink another 8% in 2016 and inflation may reach 720%. |
| Economy - overview: | Falling oil prices since 2014 have aggravated Venezuela’s economic crisis. Insufficient access to dollars, price controls, and rigid labor regulations have led some US and multinational firms to reduce or shut down their Venezuelan operations. Market uncertainty and state oil company PDVSA’s poor cash flow have slowed investment in the petroleum sector, resulting in a decline in oil production. |
| Economy - overview: | Under President Nicolas MADURO, the Venezuelan Government’s response to the economic crisis has been to increase state control over the economy and blame the private sector for the shortages. The Venezuelan government has maintained strict currency controls since 2003. On 17 February 2016, the Venezuelan government announced a change from three official currency exchange mechanisms to only two official rates for the sale of dollars to private sector firms and individuals, with rates based on the government's import priorities. The official exchange rate used for food and medicine imports was devalued to 10 bolivars per dollar from 6.3 bolivars per dollar. The second rate moved to a managed float. These currency controls present significant obstacles to trade with Venezuela because importers cannot obtain sufficient dollars to purchase goods needed to maintain their operations. MADURO has used decree powers to enact legislation to deepen the state’s role as the primary buyer and distributor of imports, further tighten currency controls, cap business profits, and extend price controls. |
| GDP (purchasing power parity): | $515.7 billion (2015 est.) |
| GDP (purchasing power parity): | $546.9 billion (2014 est.) |
| GDP (purchasing power parity): | $569.1 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $239.6 billion (2015 est.) |
| GDP - real growth rate: | -5.7% (2015 est.) |
| GDP - real growth rate: | -3.9% (2014 est.) |
| GDP - real growth rate: | 1.3% (2013 est.) |
| GDP - per capita (PPP): | $16,700 (2015 est.) |
| GDP - per capita (PPP): | $18,000 (2014 est.) |
| GDP - per capita (PPP): | $19,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 16% of GDP (2015 est.) |
| Gross national saving: | 25.7% of GDP (2014 est.) |
| Gross national saving: | 28.5% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 77.3% |
| GDP - composition, by end use: | government consumption: 14.7% |
| GDP - composition, by end use: | investment in fixed capital: 17.9% |
| GDP - composition, by end use: | investment in inventories: 2.4% |
| GDP - composition, by end use: | exports of goods and services: 8.8% |
| GDP - composition, by end use: | imports of goods and services: -21.1% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.6% |
| GDP - composition, by sector of origin: | industry: 33.3% |
| GDP - composition, by sector of origin: | services: 63.1% (2015 est.) |
| Agriculture - products: | corn, sorghum, sugarcane, rice, bananas, vegetables, coffee; beef, pork, milk, eggs; fish |
| Industries: | agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, pharmaceuticals, chemicals, iron and steel products, crude oil and petroleum products |
| Industrial production growth rate: | -8% (2015 est.) |
| Labor force: | 14.17 million (2015 est.) |
| Labor force - by occupation: | agriculture: 7.3% |
| Labor force - by occupation: | industry: 21.8% |
| Labor force - by occupation: | services: 70.9% (4th quarter, 2011) |
| Unemployment rate: | 6.8% (2015 est.) |
| Unemployment rate: | 7% (2014 est.) |
| Population below poverty line: | 32.1% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 32.7% (2006) |
| Distribution of family income - Gini index: | 39 (2011) |
| Distribution of family income - Gini index: | 49.5 (1998) |
| Budget: | revenues: $103.7 billion |
| Budget: | expenditures: $202.2 billion (2015 est.) |
| Taxes and other revenues: | 43.3% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -41.1% of GDP (2015 est.) |
| Public debt: | 49.9% of GDP (2015 est.) |
| Public debt: | 57.4% of GDP (2014 est.) |
| Public debt: | note: data cover central government debt, as well as the debt of state-owned oil company PDVSA; the data include treasury debt held by foreign entities; the data include some debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; some debt instruments for the social funds are sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 121.7% (2015 est.) |
| Inflation rate (consumer prices): | 62.2% (2014 est.) |
| Central bank discount rate: | 29.5% (2015) |
| Commercial bank prime lending rate: | 19.4% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 17.21% (31 December 2014 est.) |
| Stock of narrow money: | $273.8 billion (31 December 2015 est.) |
| Stock of narrow money: | $259.8 billion (31 December 2014 est.) |
| Stock of broad money: | $360 billion (31 December 2014 est.) |
| Stock of broad money: | $196 billion (31 December 2013 est.) |
| Stock of domestic credit: | $331.3 billion (31 December 2015 est.) |
| Stock of domestic credit: | $313.5 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $25.3 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $5.143 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $3.991 billion (31 December 2011 est.) |
| Current account balance: | -$18.15 billion (2015 est.) |
| Current account balance: | $3.598 billion (2014 est.) |
| Exports: | $38.45 billion (2015 est.) |
| Exports: | $74.71 billion (2014 est.) |
| Exports - commodities: | petroleum and petroleum products, bauxite and aluminum, minerals, chemicals, agricultural products |
