| Economy | Algeria |
| --- | --- |
| Economy - overview: | Algeria's economy remains dominated by the state, a legacy of the country's socialist post-independence development model. In recent years the Algerian Government has halted the privatization of state-owned industries and imposed restrictions on imports and foreign involvement in its economy, pursuing an explicit import substitution policy. |
| Economy - overview: | Hydrocarbons have long been the backbone of the economy, accounting for roughly 30% of GDP, 60% of budget revenues, and nearly 95% of export earnings. Algeria has the 10th-largest reserves of natural gas in the world - including the 3rd-largest reserves of shale gas - and is the 6th-largest gas exporter. It ranks 16th in proven oil reserves. Hydrocarbon exports enabled Algeria to maintain macroeconomic stability, amass large foreign currency reserves, and maintain low external debt while global oil prices were high. With lower oil prices since 2014, Algeriaâ€™s foreign exchange reserves have declined by more than half and its oil stabilization fund has decreased from about $20 billion at the end of 2013 to about $7 billion in 2017, which is the statutory minimum. |
| Economy - overview: | Declining oil prices have also reduced the governmentâ€™s ability to use state-driven growth to distribute rents and fund generous public subsidies, and the government has been under pressure to reduce spending. Over the past three years, the government has enacted incremental increases in some taxes, resulting in modest increases in prices for gasoline, cigarettes, alcohol, and certain imported goods, but it has refrained from reducing subsidies, particularly for education, healthcare, and housing programs. |
| Economy - overview: | Algiers has increased protectionist measures since 2015 to limit its import bill and encourage domestic production of non-oil and gas industries. Since 2015, the government has imposed additional restrictions on access to foreign exchange for imports, and import quotas for specific products, such as cars. In January 2018 the government imposed an indefinite suspension on the importation of roughly 850 products, subject to periodic review. |
| Economy - overview: | President BOUTEFLIKA announced in fall 2017 that Algeria intends to develop its non-conventional energy resources. Algeria has struggled to develop non-hydrocarbon industries because of heavy regulation and an emphasis on state-driven growth. Algeria has not increased non-hydrocarbon exports, and hydrocarbon exports have declined because of field depletion and increased domestic demand. |
| GDP (purchasing power parity): | $630 billion (2017 est.) |
| GDP (purchasing power parity): | $621.3 billion (2016 est.) |
| GDP (purchasing power parity): | $602 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $167.6 billion (2017 est.) |
| GDP - real growth rate: | 1.4% (2017 est.) |
| GDP - real growth rate: | 3.2% (2016 est.) |
| GDP - real growth rate: | 3.7% (2015 est.) |
| GDP - per capita (PPP): | $15,200 (2017 est.) |
| GDP - per capita (PPP): | $15,200 (2016 est.) |
| GDP - per capita (PPP): | $15,100 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 37.8% of GDP (2017 est.) |
| Gross national saving: | 37.4% of GDP (2016 est.) |
| Gross national saving: | 36.4% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 42.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 20.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 38.1% (2017 est.) |
