| Economy | Netherlands |
| --- | --- |
| Economy - overview: | Netherlands is the sixth-largest economy in the euro-zone and is noted for its stable industrial relations, moderate unemployment and inflation, sizable trade surplus, and important role as a European transportation hub. Industrial activity is predominantly in food processing, chemicals, petroleum refining, and electrical machinery. A highly mechanized agricultural sector employs only 2% of the labor force but provides large surpluses for the food-processing industry and for exports. Netherlands, along with 11 of its EU partners, began circulating the euro currency on 1 January 2002. The Dutch financial sector suffered as a result of the global financial crisis, due in part to the high exposure of some Dutch banks to US mortgage-backed securities. In 2008, the government nationalized two banks and injected billions of dollars of capital into other financial institutions, to prevent further deterioration of a crucial sector. After 26 years of uninterrupted economic growth, the Dutch economy - highly dependent on an international financial sector and international trade - contracted by 3.5% in 2009. To recover, the government sought to boost the domestic economy by accelerating infrastructure programs, offering corporate tax breaks for employers to retain workers, and expanding export credit facilities. The stimulus programs and bank bailouts, however, resulted in a government budget deficit of 5.3% of GDP in 2010 that contrasted sharply with a surplus of 0.7% in 2008. The government of Prime Minister Mark RUTTE began implementing austerity measures in early 2011, mainly reducting expenditures, which resulted in an improved budget deficit in 2011. However, in 2012 tax revenues dropped, GDP contracted, and the budget deficit deteriorated. In 2013, the government budget deficit decreased to 3.3% of GDP due to increased government revenue from higher taxes. However, spending on social benefits also increased, due to a rise in unemployment benefits and payments for pensions. The high unemployment rate and tax increases have contributed to continued decreases in household disposable income, causing the Dutch economy to contract. |
| GDP (purchasing power parity): | $699.7 billion (2013 est.) |
| GDP (purchasing power parity): | $705.3 billion (2012 est.) |
| GDP (purchasing power parity): | $714.2 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $722.3 billion (2013 est.) |
| GDP - real growth rate: | -0.8% (2013 est.) |
| GDP - real growth rate: | -1.2% (2012 est.) |
| GDP - real growth rate: | 0.9% (2011 est.) |
| GDP - per capita (PPP): | $43,300 (2012 est.) |
| GDP - per capita (PPP): | $43,200 (2011 est.) |
| GDP - per capita (PPP): | $41,600 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 26.2% of GDP (2013 est.) |
| Gross national saving: | 27.5% of GDP (2012 est.) |
| Gross national saving: | 28.3% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 45.3% |
| GDP - composition, by end use: | government consumption: 27.7% |
| GDP - composition, by end use: | investment in fixed capital: 15.7% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 86% |
| GDP - composition, by end use: | imports of goods and services: -75.2% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.6% |
| GDP - composition, by sector of origin: | industry: 25.4% |
| GDP - composition, by sector of origin: | services: 72.1% (2013 est.) |
| Agriculture - products: | grains, potatoes, sugar beets, fruits, vegetables; livestock |
| Industries: | agroindustries, metal and engineering products, electrical machinery and equipment, chemicals, petroleum, construction, microelectronics, fishing |
