| Economy | NETHERLANDS |
| --- | --- |
| Economy - overview: | The Netherlands, the sixth-largest economy in the European Union, plays an important role as a European transportation hub, with a persistently high trade surplus, stable industrial relations, and moderate unemployment. Industry focuses on food processing, chemicals, petroleum refining, and electrical machinery. A highly mechanized agricultural sector employs only 2% of the labor force but provides large surpluses for food-processing and underpins the country&rsquo;s status as the world&rsquo;s second largest agricultural exporter. The Netherlands is part of the Eurozone, and as such, its monetary policy is controlled by the European Central Bank.  The Dutch financial sector is highly concentrated, with four commercial banks possessing over 90% of banking assets. The sector suffered as a result of the global financial crisis and required billions of dollars of government support, but the European Banking Authority completed stringent reviews in 2014 and deemed Dutch banks to be well-capitalized.  To address the 2009 and 2010 economic downturns, the government sought to stimulate the domestic economy by accelerating infrastructure programs, offering corporate tax breaks for employers to retain workers, and expanding export credits. The stimulus programs and bank bailouts, however, resulted in a government budget deficit of 5.3% of GDP in 2010 that contrasted sharply with a surplus of 0.7% in 2008. The government of Prime Minister Mark RUTTE has since implemented significant austerity measures to improve public finances and has instituted broad structural reforms in key policy areas, including the labor market, the housing sector, the energy market, and the pension system.  As a result, the government budget deficit at the end of 2014 dropped to 1.8% of GDP. Following a protracted recession during which unemployment doubled to 7.4% and household consumption contracted for nearly three consecutive years, the year 2014 saw fragile GDP growth of 0.8 percent and a rise in most economic indicators.  Drivers of growth included increased exports and business investments, as well as newly invigorated household consumption. |
| GDP (purchasing power parity): | $798.6 billion (2014 est.) |
| GDP (purchasing power parity): | $791.7 billion (2013 est.) |
| GDP (purchasing power parity): | $797.4 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $866.4 billion (2014 est.) |
| GDP - real growth rate: | 0.8% (2014 est.) |
| GDP - real growth rate: | -0.7% (2013 est.) |
| GDP - real growth rate: | -1.6% (2012 est.) |
| GDP - per capita (PPP): | $47,400 (2014 est.) |
| GDP - per capita (PPP): | $46,900 (2013 est.) |
| GDP - per capita (PPP): | $47,300 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 29% of GDP (2014 est.) |
| Gross national saving: | 28.5% of GDP (2013 est.) |
| Gross national saving: | 28.3% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 44.7% |
| GDP - composition, by end use: | government consumption: 26.2% |
| GDP - composition, by end use: | investment in fixed capital: 18.8% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 83.6% |
| GDP - composition, by end use: | imports of goods and services: -73.4% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.8% |
| GDP - composition, by sector of origin: | industry: 22.3% |
| GDP - composition, by sector of origin: | services: 74.8% (2014 est.) |
| Agriculture - products: | grains, potatoes, sugar beets, fruits, vegetables; livestock |
| Industries: | agroindustries, metal and engineering products, electrical machinery and equipment, chemicals, petroleum, construction, microelectronics, fishing |
| Industrial production growth rate: | -1.5% (2014 est.) |
| Labor force: | 8.214 million (2014 est.) |
| Labor force - by occupation: | agriculture: 1.8% |
| Labor force - by occupation: | industry: 17% |
| Labor force - by occupation: | services: 81.2% (2013 est.) |
| Unemployment rate: | 7.4% (2014 est.) |
| Unemployment rate: | 7.3% (2013 est.) |
| Population below poverty line: | 9.1% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 24.5% (2012 est.) |
| Distribution of family income - Gini index: | 25.1 (2013 est.) |
| Distribution of family income - Gini index: | 32.6 (1994 est.) |
| Budget: | revenues: $413.8 billion |
| Budget: | expenditures: $437.3 billion (2014 est.) |
| Taxes and other revenues: | 47% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2.7% of GDP (2014 est.) |
| Public debt: | 69% of GDP (2014 est.) |
| Public debt: | 68.8% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.3% (2014 est.) |
| Inflation rate (consumer prices): | 2.6% (2013 est.) |
