| Economy | Netherlands |
| --- | --- |
| Economy - overview: | The Netherlands, the sixth-largest economy in the European Union, plays an important role as a European transportation hub, with a consistently high trade surplus, stable industrial relations, and low unemployment. Industry focuses on food processing, chemicals, petroleum refining, and electrical machinery. A highly mechanized agricultural sector employs only 2% of the labor force but provides large surpluses for food-processing and underpins the countryâ€™s status as the worldâ€™s second largest agricultural exporter. |
| Economy - overview: | The Netherlands is part of the euro zone, and as such, its monetary policy is controlled by the European Central Bank. The Dutch financial sector is highly concentrated, with four commercial banks possessing over 80% of banking assets, and is four times the size of Dutch GDP. |
| Economy - overview: | In 2008, during the financial crisis, the government budget deficit hit 5.3% of GDP. Following a protracted recession from 2009 to 2013, during which unemployment doubled to 7.4% and household consumption contracted for four consecutive years, economic growth began inching forward in 2014. Since 2010, Prime Minister Mark RUTTEâ€™s government has implemented significant austerity measures to improve public finances and has instituted broad structural reforms in key policy areas, including the labor market, the housing sector, the energy market, and the pension system. In 2017, the government budget returned to a surplus of 0.7% of GDP, with economic growth of 3.2%, and GDP per capita finally surpassed pre-crisis levels. The fiscal policy announced by the new government in the 2018-2021 coalition plans for increases in government consumption and public investment, fueling domestic demand and household consumption and investment. The new governmentâ€™s policy also plans to increase demand for workers in the public and private sector, forecasting a further decline in the unemployment rate, which hit 4.8% in 2017. |
| GDP (purchasing power parity): | $924.4 billion (2017 est.) |
| GDP (purchasing power parity): | $898.6 billion (2016 est.) |
| GDP (purchasing power parity): | $879.4 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $832.2 billion (2017 est.) |
| GDP - real growth rate: | 2.9% (2017 est.) |
| GDP - real growth rate: | 2.2% (2016 est.) |
| GDP - real growth rate: | 2% (2015 est.) |
| GDP - per capita (PPP): | $53,900 (2017 est.) |
| GDP - per capita (PPP): | $52,800 (2016 est.) |
| GDP - per capita (PPP): | $51,900 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 31.2% of GDP (2017 est.) |
| Gross national saving: | 28.5% of GDP (2016 est.) |
| Gross national saving: | 28.8% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 44.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 24.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 20.5% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 83% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -72.3% (2017 est.) |
