| Economy | ISRAEL |
| GDP - real growth rate: | 3.5% (2014 est.) |
| GDP - per capita (PPP): | $35,200 (2016 est.) |
| GDP - per capita (PPP): | $34,600 (2015 est.) |
| GDP - per capita (PPP): | $34,300 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 24.1% of GDP (2016 est.) |
| Gross national saving: | 24.6% of GDP (2015 est.) |
| Gross national saving: | 24.2% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 55.1% |
| GDP - composition, by end use: | government consumption: 22.3% |
| GDP - composition, by end use: | investment in fixed capital: 20.3% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 30.3% |
| GDP - composition, by end use: | imports of goods and services: -28.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.3% |
| GDP - composition, by sector of origin: | industry: 26.4% |
| GDP - composition, by sector of origin: | services: 69.6% (2016 est.) |
| Agriculture - products: | citrus, vegetables, cotton; beef, poultry, dairy products |
| Industries: | high-technology products (including aviation, communications, computer-aided design and manufactures, medical electronics, fiber optics), wood and paper products, potash and phosphates, food, beverages, and tobacco, caustic soda, cement, pharmaceuticals, construction, metal products, chemical products, plastics, cut diamonds, textiles, footwear |
| Industrial production growth rate: | 2.5% (2016 est.) |
| Labor force: | 3.925 million (2016 est.) |
| Labor force - by occupation: | agriculture: 1.1% |
| Labor force - by occupation: | industry: 17.3% |
| Labor force - by occupation: | services: 81.6% (2015 est.) |
| Unemployment rate: | 4.8% (2016 est.) |
| Unemployment rate: | 5.3% (2015 est.) |
| Population below poverty line: | 22% |
| Population below poverty line: | note: Israel's poverty line is $7.30 per person per day (2014 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.7% |
| Household income or consumption by percentage share: | highest 10%: 31.3% (2010) |
| Distribution of family income - Gini index: | 42.8 (2013) |
| Distribution of family income - Gini index: | 39.2 (2008) |
| Budget: | revenues: $83.66 billion |
| Budget: | expenditures: $90.53 billion (2016 est.) |
| Taxes and other revenues: | 26.3% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.2% of GDP (2016 est.) |
| Public debt: | 60.7% of GDP (2016 est.) |
| Public debt: | 62.6% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.5% (2016 est.) |
| Inflation rate (consumer prices): | -0.6% (2015 est.) |
| Central bank discount rate: | 0.1% (15 December 2015) |
| Central bank discount rate: | 0.25% (31 December 2014) |
| Commercial bank prime lending rate: | 3.42% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 3.46% (31 December 2015 est.) |
| Stock of narrow money: | $79.58 billion (31 December 2016 est.) |
| Stock of narrow money: | $63.41 billion (31 December 2015 est.) |
| Stock of broad money: | $189 billion (31 December 2016 est.) |
| Stock of broad money: | $168.9 billion (31 December 2015 est.) |
| Stock of domestic credit: | $257.5 billion (31 December 2016 est.) |
| Stock of domestic credit: | $245.3 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $243.9 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $200.5 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $203.3 billion (31 December 2013 est.) |
| Current account balance: | $11.57 billion (2016 est.) |
| Current account balance: | $15.19 billion (2015 est.) |
| Exports: | $56.17 billion (2016 est.) |
| Exports: | $56.68 billion (2015 est.) |
| Exports - commodities: | machinery and equipment, software, cut diamonds, agricultural products, chemicals, textiles and apparel |
| Exports - partners: | US 29.3%, Hong Kong 7.4%, UK 6.5%, China 5.5%, Belgium 4.2% (2016) |
| Imports: | $63.54 billion (2016 est.) |
| Imports: | $59.99 billion (2015 est.) |
| Imports - commodities: | raw materials, military equipment, investment goods, rough diamonds, fuels, grain, consumer goods |
| Imports - partners: | US 12.2%, China 8.9%, Switzerland 6.4%, Germany 6.1%, Belgium 5.9%, UK 5.5%, Netherlands 4.1%, Italy 4% (2016) |
| Reserves of foreign exchange and gold: | $95.45 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $90.58 billion (31 December 2015 est.) |
| Debt - external: | $87.96 billion (31 December 2016 est.) |
| Debt - external: | $86.11 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $107.3 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $99.31 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $98.11 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $84.7 billion (31 December 2015 est.) |
| Exchange rates: | new Israeli shekels (ILS) per US dollar - |
| Exchange rates: | 3.8406 (2016 est.) |
| Exchange rates: | 3.8406 (2015 est.) |
| Exchange rates: | 3.8869 (2014 est.) |
| Exchange rates: | 3.5779 (2013 est.) |
| Exchange rates: | 3.86 (2012 est.) |
