| Economy | Israel |
| --- | --- |
| Economy - overview: | Israel has a technologically advanced market economy. Its major imports include crude oil, grains, raw materials, and military equipment. Cut diamonds, high-technology equipment, and pharmaceuticals are among the leading exports. Israel usually posts sizable trade deficits, which are covered by tourism and other service exports, as well as significant foreign investment inflows. The global financial crisis of 2008-09 spurred a brief recession in Israel, but the country entered the crisis with solid fundamentals - following years of prudent fiscal policy and a resilient banking sector. The economy has recovered better than most advanced, comparably sized economies. In 2010, Israel formally acceded to the OECD. Israel's economy also has weathered the Arab Spring because strong trade ties outside the Middle East have insulated the economy from spillover effects. Natural gasfields discovered off Israel's coast during the past two years have brightened Israel''s energy security outlook. The Leviathan field was one of the world''s largest offshore natural gas finds this past decade, and production from the Tama field is expected to meet all of Israel''s natural gas demand beginning mid-2013. In mid-2011, public protests arose around income inequality and rising housing and commodity prices. The government formed committees to address some of the grievances but has maintained that it will not engage in deficit spending to satisfy populist demands. |
| GDP (purchasing power parity): | $260.9 billion (2012 est.) |
| GDP (purchasing power parity): | $252.4 billion (2011 est.) |
| GDP (purchasing power parity): | $241.4 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $254 billion (2012 est.) |
| GDP - real growth rate: | 3.4% (2012 est.) |
| GDP - real growth rate: | 4.6% (2011 est.) |
| GDP - real growth rate: | 5.7% (2010 est.) |
| GDP - per capita (PPP): | $33,900 (2012 est.) |
| GDP - per capita (PPP): | $33,500 (2011 est.) |
| GDP - per capita (PPP): | $32,700 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 21% of GDP (2012 est.) |
| Gross national saving: | 21.4% of GDP (2011 est.) |
| Gross national saving: | 21.2% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 56.2% |
| GDP - composition, by end use: | government consumption: 22.9% |
| GDP - composition, by end use: | investment in fixed capital: 20.4% |
| GDP - composition, by end use: | investment in inventories: 0.3% |
| GDP - composition, by end use: | exports of goods and services: 36.2% |
| GDP - composition, by end use: | imports of goods and services: -36% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.4% |
| GDP - composition, by sector of origin: | industry: 32% |
| GDP - composition, by sector of origin: | services: 65.6% (2012 est.) |
| Agriculture - products: | citrus, vegetables, cotton; beef, poultry, dairy products |
