| Economy | Libya |
| --- | --- |
| Economy - overview: | Libya's economy is structured primarily around the nation's energy sector, which generates about 95% of export earnings, 80% of GDP, and 99% of government income. Substantial revenue from the energy sector coupled with a small population give Libya one of the highest per capita GDPs in Africa, but Tripoli largely has not used its significant financial resources to develop national infrastructure or the economy, leaving many citizens poor. In the final five years of QADHAFI's rule, Libya made some progress on economic reform as part of a broader campaign to reintegrate the country into the international fold. This effort picked up steam after UN sanctions were lifted in September 2003 and after Libya announced in December 2003 that it would abandon programs to build weapons of mass destruction. The process of lifting US unilateral sanctions began in the spring of 2004; all sanctions were removed by June 2006, helping Libya attract greater foreign direct investment, especially in the energy and banking sectors. Libyan oil and gas licensing rounds drew high international interest, but new rounds are unlikely to be successful until Libya establishes a more permanent government and is able to offer more attractive financial terms on contracts and increase security. Libya faces a long road ahead in liberalizing its primarily socialist economy, but the revolution has unleashed previously restrained entrepreneurial activity and increased the potential for the evolution of a more market-based economy. The service and construction sectors expanded over the past five years and could become a larger share of GDP if Tripoli prioritizes capital spending on development projects once political and security uncertainty subside. Climatic conditions and poor soils severely limit agricultural output, and Libya imports about 80% of its food. Libya's primary agricultural water source is the Great Manmade River Project. |
| GDP (purchasing power parity): | $73.6 billion (2013 est.) |
| GDP (purchasing power parity): | $77.57 billion (2012 est.) |
| GDP (purchasing power parity): | $37.94 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $70.92 billion (2013 est.) |
| GDP - real growth rate: | -5.1% (2013 est.) |
| GDP - real growth rate: | 104.5% (2012 est.) |
| GDP - real growth rate: | -62.1% (2011 est.) |
| GDP - per capita (PPP): | $11,300 (2013 est.) |
| GDP - per capita (PPP): | $12,100 (2012 est.) |
| GDP - per capita (PPP): | $6,000 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 14% of GDP (2013 est.) |
| Gross national saving: | 44.4% of GDP (2012 est.) |
| Gross national saving: | -3.5% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 58% |
| GDP - composition, by end use: | government consumption: 20.2% |
| GDP - composition, by end use: | investment in fixed capital: 8.6% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 54.5% |
| GDP - composition, by end use: | imports of goods and services: -41.9% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 2% |
| GDP - composition, by sector of origin: | industry: 58.3% |
| GDP - composition, by sector of origin: | services: 39.7% (2013 est.) |
| Agriculture - products: | wheat, barley, olives, dates, citrus, vegetables, peanuts, soybeans; cattle |
| Industries: | petroleum, petrochemicals, aluminum, iron and steel, food processing, textiles, handicrafts, cement |
| Industrial production growth rate: | 9.6% (2013 est.) |
| Labor force: | 1.644 million (2013 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 23% |
| Labor force - by occupation: | services: 59% (2004 est.) |
| Unemployment rate: | 30% (2004 est.) |
| Population below poverty line: | NA% |
| Population below poverty line: | note: about one-third of Libyans live at or below the national poverty line |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $41.54 billion |
| Budget: | expenditures: $41.87 billion (2013 est.) |
| Taxes and other revenues: | 58.6% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -0.5% of GDP (2013 est.) |
| Public debt: | 4.8% of GDP (2013 est.) |
| Public debt: | 4.1% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.2% (2013 est.) |
| Inflation rate (consumer prices): | 6.1% (2012 est.) |
| Central bank discount rate: | 9.52% (31 December 2010 est.) |
| Central bank discount rate: | 3% (31 December 2009 est.) |
