| Economy | Bolivia |
| --- | --- |
| Economy - overview: | Bolivia is a resource rich country with strong growth attributed to captive markets for natural gas exports â€“ to Brazil and Argentina. However, the country remains one of the least developed countries in Latin America because of state-oriented policies that deter investment. |
| Economy - overview: | Following an economic crisis during the early 1980s, reforms in the 1990s spurred private investment, stimulated economic growth, and cut poverty rates. The period 2003-05 was characterized by political instability, racial tensions, and violent protests against plans - subsequently abandoned - to export Bolivia's newly discovered natural gas reserves to large Northern Hemisphere markets. In 2005-06, the government passed hydrocarbon laws that imposed significantly higher royalties and required foreign firms then operating under risk-sharing contracts to surrender all production to the state energy company in exchange for a predetermined service fee; the laws engendered much public debate. High commodity prices between 2010 and 2014 sustained rapid growth and large trade surpluses with GDP growing 6.8% in 2013 and 5.4% in 2014. The global decline in oil prices that began in late 2014 exerted downward pressure on the price Bolivia receives for exported gas and resulted in lower GDP growth rates - 4.9% in 2015 and 4.3% in 2016 - and losses in government revenue as well as fiscal and trade deficits. |
| Economy - overview: | A lack of foreign investment in the key sectors of mining and hydrocarbons, along with conflict among social groups, pose challenges for the Bolivian economy. In 2015, President Evo MORALES expanded efforts to court international investment and boost Boliviaâ€™s energy production capacity. MORALES passed an investment law and promised not to nationalize additional industries in an effort to improve the investment climate. In early 2016, the Government of Bolivia approved the 2016-2020 National Economic and Social Development Plan aimed at maintaining growth of 5% and reducing poverty. |
| GDP (purchasing power parity): | $83.72 billion (2017 est.) |
| GDP (purchasing power parity): | $80.35 billion (2016 est.) |
| GDP (purchasing power parity): | $77.07 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $37.78 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 4.2% (2017 est.) |
| GDP - real growth rate: | 4.3% (2016 est.) |
| GDP - real growth rate: | 4.9% (2015 est.) |
| GDP - per capita (PPP): | $7,600 (2017 est.) |
| GDP - per capita (PPP): | $7,400 (2016 est.) |
| GDP - per capita (PPP): | $7,200 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 15.7% of GDP (2017 est.) |
| Gross national saving: | 15.3% of GDP (2016 est.) |
| Gross national saving: | 14.2% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 67.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 17% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 21.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 3.8% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 21.7% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -31.3% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 13.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 37.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 48.2% (2017 est.) |
| Agriculture - products: | soybeans, quinoa, Brazil nuts, sugarcane, coffee, corn, rice, potatoes, chia, coca |
| Industries: | mining, smelting, electricity, petroleum, food and beverages, handicrafts, clothing, jewelry |
| Industrial production growth rate: | 2.2% (2017 est.) |
| Labor force: | 5.719 million (2016 est.) |
| Labor force - by occupation: | agriculture: 29.4% |
| Labor force - by occupation: | industry: 22% |
| Labor force - by occupation: | services: 48.6% (2015 est.) |
| Unemployment rate: | 4% (2017 est.) |
| Unemployment rate: | 4% (2016 est.) |
| Unemployment rate: | note: data are for urban areas; widespread underemployment |
| Population below poverty line: | 38.6% (2015 est.) |
| Population below poverty line: | note: based on percent of population living on less than the international standard of $2/day |
| Household income or consumption by percentage share: | lowest 10%: 36.1% (2014 est.) |
| Household income or consumption by percentage share: | highest 10%: 36.1% (2014 est.) |
| Distribution of family income - Gini index: | 47 (2016 est.) |
| Distribution of family income - Gini index: | 57.9 (1999) |
| Budget: | revenues: 15.09 billion (2017 est.) |
| Budget: | expenditures: 18.02 billion (2017 est.) |
| Taxes and other revenues: | 39.9% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -7.8% (of GDP) (2017 est.) |
| Public debt: | 49% of GDP (2017 est.) |
| Public debt: | 44.9% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and includes debt instruments issued by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.8% (2017 est.) |
| Inflation rate (consumer prices): | 3.6% (2016 est.) |
| Central bank discount rate: | 2.5% (31 December 2017 est.) |
| Central bank discount rate: | 2.5% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 8.11% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 7.95% (31 December 2016 est.) |
| Stock of narrow money: | $9.616 billion (31 December 2017 est.) |
| Stock of narrow money: | $9.09 billion (31 December 2016 est.) |
| Stock of broad money: | $9.616 billion (31 December 2017 est.) |
| Stock of broad money: | $9.09 billion (31 December 2016 est.) |
| Stock of domestic credit: | $25.61 billion (31 December 2017 est.) |
