| Economy | Bolivia |
| --- | --- |
| Economy - overview: | Bolivia is a resource rich country with strong growth attributed to captive markets for natural gas exports. However, the country remains one of the least developed countries in Latin America because of state-oriented policies that deter investment and growth. Following a disastrous economic crisis during the early 1980s, reforms spurred private investment, stimulated economic growth, and cut poverty rates in the 1990s. The period 2003-05 was characterized by political instability, racial tensions, and violent protests against plans - subsequently abandoned - to export Bolivia's newly discovered natural gas reserves to large Northern Hemisphere markets. In 2005, the government passed a controversial hydrocarbons law that imposed significantly higher royalties and required foreign firms then operating under risk-sharing contracts to surrender all production to the state energy company in exchange for a predetermined service fee. The global recession slowed growth, but Bolivia recorded the highest growth rate in South America during 2009. High commodity prices since 2010 sustained rapid growth and large trade surpluses. However, a lack of foreign investment in the key sectors of mining and hydrocarbons, along with conflict among social groups pose challenges for the Bolivian economy. |
| GDP (purchasing power parity): | $59.11 billion (2013 est.) |
| GDP (purchasing power parity): | $55.35 billion (2012 est.) |
| GDP (purchasing power parity): | $52.63 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $30.79 billion (2013 est.) |
| GDP - real growth rate: | 6.8% (2013 est.) |
| GDP - real growth rate: | 5.2% (2012 est.) |
| GDP - real growth rate: | 5.2% (2011 est.) |
| GDP - per capita (PPP): | $5,500 (2013 est.) |
| GDP - per capita (PPP): | $5,200 (2012 est.) |
| GDP - per capita (PPP): | $4,900 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 25.7% of GDP (2013 est.) |
| Gross national saving: | 26% of GDP (2012 est.) |
| Gross national saving: | 24.9% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 58.9% |
| GDP - composition, by end use: | government consumption: 13.4% |
| GDP - composition, by end use: | investment in fixed capital: 18% |
| GDP - composition, by end use: | investment in inventories: 0.3% |
| GDP - composition, by end use: | exports of goods and services: 47.8% |
| GDP - composition, by end use: | imports of goods and services: -38.4% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.2% |
| GDP - composition, by sector of origin: | industry: 38.5% |
| GDP - composition, by sector of origin: | services: 52.3% (2013 est.) |
| Agriculture - products: | quinoa, soybeans, coffee, coca, cotton, corn, sugarcane, rice, potatoes; Brazil nuts; timber |
| Industries: | mining, smelting, petroleum, food and beverages, tobacco, handicrafts, clothing, jewelry |
| Industrial production growth rate: | 5.6% (2013 est.) |
| Labor force: | 4.922 million (2012 est.) |
| Labor force - by occupation: | agriculture: 32% |
| Labor force - by occupation: | industry: 27.4% |
| Labor force - by occupation: | services: 40.6% (2009 est.) |
| Unemployment rate: | 7.4% (2013 est.) |
| Unemployment rate: | 7.5% (2012 est.) |
| Unemployment rate: | note: data are for urban areas; widespread underemployment |
| Population below poverty line: | 45% |
| Population below poverty line: | note: based on percent of population living on less than the international standard of $2/day (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 46% (2012 est.) |
| Distribution of family income - Gini index: | 47 (2011) |
| Distribution of family income - Gini index: | 57.9 (1999) |
| Budget: | revenues: $15.16 billion |
| Budget: | expenditures: $15.13 billion (2013 est.) |
| Taxes and other revenues: | 48.8% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | 0.1% of GDP (2013 est.) |
| Public debt: | 36% of GDP (2013 est.) |
| Public debt: | 32.6% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.5% (2013 est.) |
| Inflation rate (consumer prices): | 4.5% (2012 est.) |
| Central bank discount rate: | 4.5% (31 December 2013 est.) |
| Central bank discount rate: | 4% (31 december 2012 est.) |
| Commercial bank prime lending rate: | 11.41% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 10.6% (31 December 2012 est.) |
| Stock of narrow money: | $8.429 billion (31 December 2013 est.) |
| Stock of narrow money: | $7.434 billion (31 December 2012 est.) |
| Stock of broad money: | $20.19 billion (31 December 2013 est.) |
| Stock of broad money: | $17.4 billion (31 December 2012 est.) |
| Stock of domestic credit: | $12.45 billion (31 December 2013 est.) |
| Stock of domestic credit: | $10.49 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $9.684 billion (31 December 2013) |
| Market value of publicly traded shares: | $7.689 billion (31 December 2012) |
| Market value of publicly traded shares: | $6.089 billion (31 December 2011) |
| Current account balance: | $1.012 billion (2013 est.) |
| Current account balance: | $2.259 billion (2012 est.) |
| Exports: | $12.16 billion (2013 est.) |
| Exports: | $11.77 billion (2012 est.) |
| Exports - commodities: | natural gas, soybeans and soy products, crude petroleum, zinc ore, tin |
| Exports - partners: | Brazil 41.8%, US 18.4%, Argentina 7.3%, Peru 4.9% (2012) |
| Imports: | $9.282 billion (2013 est.) |
| Imports: | $8.18 billion (2012 est.) |
| Imports - commodities: | petroleum products, plastics, paper, aircraft and aircraft parts, prepared foods, automobiles, insecticides |
| Imports - partners: | Chile 21.3%, Brazil 20.3%, Argentina 10.9%, US 10.1%, Peru 6.5%, Venezuela 6.2%, China 4.9% (2012) |
| Reserves of foreign exchange and gold: | $14.43 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $13.93 billion (31 December 2012 est.) |
| Debt - external: | $5.265 billion (31 December 2013 est.) |
| Debt - external: | $4.196 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $10.56 billion (31 December 2013) |
| Stock of direct foreign investment - at home: | $8.809 billion (31 December 2012) |
| Stock of direct foreign investment - abroad: | $0 (31 december 2013) |
