| Economy | Sudan |
| --- | --- |
| Economy - overview: | Sudan has experienced protracted social conflict, civil war, and, in July 2011, the loss of three-quarters of its oil production due to the secession of South Sudan. The oil sector had driven much of Sudan's GDP growth since 1999. For nearly a decade, the economy boomed on the back of rising oil production, high oil prices, and significant inflows of foreign direct investment. Since the economic shock of South Sudan's secession, Sudan has struggled to stabilize its economy and make up for the loss of foreign exchange earnings. The interruption of oil production in South Sudan in 2012 for over a year and the consequent loss of oil transit fees further exacerbated the fragile state of Sudanâ€™s economy. Ongoing conflicts in Southern Kordofan, Darfur, and the Blue Nile states, lack of basic infrastructure in large areas, and reliance by much of the population on subsistence agriculture, keep close to half of the population at or below the poverty line. |
| Economy - overview: | Sudan was subject to comprehensive US sanctions, which were lifted in October 2017. Sudan is attempting to develop non-oil sources of revenues, such as gold mining and agriculture, while carrying out an austerity program to reduce expenditures. The worldâ€™s largest exporter of gum Arabic, Sudan produces 75-80% of the worldâ€™s total output. Agriculture continues to employ 80% of the work force. |
| Economy - overview: | Sudan introduced a new currency, still called the Sudanese pound, following South Sudan's secession, but the value of the currency has fallen since its introduction. Khartoum formally devalued the currency in June 2012, when it passed austerity measures that included gradually repealing fuel subsidies. Sudan also faces high inflation, which reached 47% on an annual basis in November 2012 but fell to about 35% per year in 2017. |
| GDP (purchasing power parity): | $177.4 billion (2017 est.) |
| GDP (purchasing power parity): | $174.9 billion (2016 est.) |
| GDP (purchasing power parity): | $169.8 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $45.82 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 1.4% (2017 est.) |
| GDP - real growth rate: | 3% (2016 est.) |
| GDP - real growth rate: | 1.3% (2015 est.) |
| GDP - per capita (PPP): | $4,300 (2017 est.) |
| GDP - per capita (PPP): | $4,400 (2016 est.) |
| GDP - per capita (PPP): | $4,400 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 12.1% of GDP (2017 est.) |
| Gross national saving: | 13.1% of GDP (2016 est.) |
| Gross national saving: | 12.2% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 77.3% (2017 est.) |
| GDP - composition, by end use: | government consumption: 5.8% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 18.4% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0.6% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 9.7% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -11.8% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 39.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 2.6% (2017 est.) |
| GDP - composition, by sector of origin: | services: 57.8% (2017 est.) |
| Agriculture - products: | cotton, groundnuts (peanuts), sorghum, millet, wheat, gum Arabic, sugarcane, cassava (manioc, tapioca), mangoes, papaya, bananas, sweet potatoes, sesame seeds; animal feed, sheep and other livestock |
| Industries: | oil, cotton ginning, textiles, cement, edible oils, sugar, soap distilling, shoes, petroleum refining, pharmaceuticals, armaments, automobile/light truck assembly, milling |
| Industrial production growth rate: | 4.5% (2017 est.) |
| Labor force: | 11.92 million (2007 est.) |
| Labor force - by occupation: | agriculture: 80% |
| Labor force - by occupation: | industry: 7% |
| Labor force - by occupation: | services: 13% (1998 est.) |
| Unemployment rate: | 19.6% (2017 est.) |
| Unemployment rate: | 20.6% (2016 est.) |
| Population below poverty line: | 46.5% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 26.7% (2009 est.) |
