| Economy | SUDAN |
| --- | --- |
| Economy - overview: | Sudan has experienced protracted social conflict, civil war, and, in July 2011, the loss of three-quarters of its oil production due to the secession of South Sudan. The oil sector had driven much of Sudan's GDP growth since 1999. For nearly a decade, the economy boomed on the back of rising oil production, high oil prices, and significant inflows of foreign direct investment. Since the economic shock of South Sudan's secession, Sudan has struggled to stabilize its economy and make up for the loss of foreign exchange earnings. The interruption of oil production in South Sudan in 2012 for over a year and the consequent loss of oil transit fees further exacerbated the fragile state of Sudan’s economy. Ongoing conflicts in Southern Kordofan, Darfur, and the Blue Nile states, lack of basic infrastructure in large areas, and reliance by much of the population on subsistence agriculture, keep close to half of the population at or below the poverty line. |
| Economy - overview: | Sudan is also subject to comprehensive US sanctions. Sudan is attempting to develop non-oil sources of revenues, such as gold mining, while carrying out an austerity program to reduce expenditures. The world’s largest exporter of gum Arabic, Sudan produces 75-80% of the world’s total output. Agriculture continues to employ 80% of the work force. |
| Economy - overview: | Sudan introduced a new currency, still called the Sudanese pound, following South Sudan's secession, but the value of the currency has fallen since its introduction. Khartoum formally devalued the currency in June 2012, when it passed austerity measures that included gradually repealing fuel subsidies. Sudan also faces high inflation, which reached 47% on an annual basis in November 2012 but subsided to 18% in 2015. |
| GDP (purchasing power parity): | $167 billion (2015 est.) |
| GDP (purchasing power parity): | $161.3 billion (2014 est.) |
| GDP (purchasing power parity): | $156.2 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $83.61 billion (2015 est.) |
| GDP - real growth rate: | 3.5% (2015 est.) |
| GDP - real growth rate: | 3.3% (2014 est.) |
| GDP - real growth rate: | 3.9% (2013 est.) |
| GDP - per capita (PPP): | $4,300 (2015 est.) |
| GDP - per capita (PPP): | $4,300 (2014 est.) |
| GDP - per capita (PPP): | $4,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 14.9% of GDP (2015 est.) |
| Gross national saving: | 14.9% of GDP (2014 est.) |
| Gross national saving: | 4.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 79% |
| GDP - composition, by end use: | government consumption: 7% |
| GDP - composition, by end use: | investment in fixed capital: 13.7% |
| GDP - composition, by end use: | investment in inventories: 5.4% |
| GDP - composition, by end use: | exports of goods and services: 6.9% |
| GDP - composition, by end use: | imports of goods and services: -12.1% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 28.6% |
| GDP - composition, by sector of origin: | industry: 20.5% |
| GDP - composition, by sector of origin: | services: 50.9% (2015 est.) |
| Agriculture - products: | cotton, groundnuts (peanuts), sorghum, millet, wheat, gum Arabic, sugarcane, cassava (manioc, tapioca), mangoes, papaya, bananas, sweet potatoes, sesame seeds; animal feed, sheep and other livestock |
