| Economy | SUDAN |
| --- | --- |
| Economy - overview: | Sudan has experienced protracted social conflict, civil war, and, in July 2011, the loss of three-quarters of its oil production due to the secession of South Sudan. The oil sector had driven much of Sudan's GDP growth since 1999. For nearly a decade, the economy boomed on the back of rising oil production, high oil prices, and significant inflows of foreign direct investment. Since the economic shock of South Sudan's secession, Sudan has struggled to stabilize its economy and make up for the loss of foreign exchange earnings. The interruption of oil production in South Sudan in 2012 for over a year and the consequent loss of oil transit fees further exacerbated the fragile state of Sudan’s economy. Ongoing conflicts in Southern Kordofan, Darfur, and the Blue Nile states, lack of basic infrastructure in large areas, and reliance by much of the population on subsistence agriculture, keep close to half of the population at or below the poverty line. |
| Economy - overview: | Sudan is also subject to comprehensive US sanctions. Sudan is attempting to develop non-oil sources of revenues, such as gold mining, while carrying out an austerity program to reduce expenditures. The world’s largest exporter of gum Arabic, Sudan produces 75-80% of the world’s total output. Agriculture continues to employ 80% of the work force. |
| Economy - overview: | Sudan introduced a new currency, still called the Sudanese pound, following South Sudan's secession, but the value of the currency has fallen since its introduction. Khartoum formally devalued the currency in June 2012, when it passed austerity measures that included gradually repealing fuel subsidies. Sudan also faces high inflation, which reached 47% on an annual basis in November 2012 but subsided to about 20% in 2016-17. |
| GDP (purchasing power parity): | $177 billion (2016 est.) |
| GDP (purchasing power parity): | $169.6 billion (2015 est.) |
| GDP (purchasing power parity): | $160 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $91.24 billion (2016 est.) |
| GDP - real growth rate: | 3.1% (2016 est.) |
| GDP - real growth rate: | 4.9% (2015 est.) |
| GDP - real growth rate: | 1.6% (2014 est.) |
| GDP - per capita (PPP): | $4,500 (2016 est.) |
| GDP - per capita (PPP): | $4,500 (2015 est.) |
| GDP - per capita (PPP): | $4,400 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 11.5% of GDP (2016 est.) |
| Gross national saving: | 9.1% of GDP (2015 est.) |
| Gross national saving: | 9.9% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 77.1% |
| GDP - composition, by end use: | government consumption: 5.9% |
| GDP - composition, by end use: | investment in fixed capital: 18.7% |
| GDP - composition, by end use: | investment in inventories: 0.9% |
| GDP - composition, by end use: | exports of goods and services: 9.8% |
| GDP - composition, by end use: | imports of goods and services: -12.5% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 39.5% |
| GDP - composition, by sector of origin: | industry: 2.6% |
| GDP - composition, by sector of origin: | services: 57.9% (2016 est.) |
| Agriculture - products: | cotton, groundnuts (peanuts), sorghum, millet, wheat, gum Arabic, sugarcane, cassava (manioc, tapioca), mangoes, papaya, bananas, sweet potatoes, sesame seeds; animal feed, sheep and other livestock |
