| Economy | POLAND |
| --- | --- |
| Economy - overview: | Poland has pursued a policy of economic liberalization since 1990 and Poland's economy was the only EU country to avoid a recession through the 2008-09 economic downturn. Although EU membership and access to EU structural funds have provided a major boost to the economy since 2004, GDP per capita remains significantly below the EU average and the unemployment rate is now below the EU average. |
| Economy - overview: | The government of Prime Minister Donald TUSK steered the Polish economy through the economic downturn by skillfully managing public finances and adopting controversial pension and tax reforms to further shore up public finances. While the Polish economy has performed well over the past five years, growth slowed in 2013 and picked back up in 2014-15. Poland’s new center-right Law and Justice government plans to introduce expansionary economic policies to spur long-term growth, but social spending programs are expected to lead to increased deficit spending over the medium term. |
| Economy - overview: | Poland faces several challenges, which include addressing some of the remaining deficiencies in its road and rail infrastructure, business environment, rigid labor code, commercial court system, government red tape, and burdensome tax system, especially for entrepreneurs. Additional long-term challenges include diversifying Poland’s energy mix and sources of supply, strengthening investments in innovation, research, and development, and as well as stemming the outflow of educated young Poles to other EU member states, especially in light of a coming demographic contraction due to emigration, persistently low fertility rates, and the aging of the Solidarity-era baby boom generation. |
| GDP (purchasing power parity): | $1.005 trillion (2015 est.) |
| GDP (purchasing power parity): | $970.2 billion (2014 est.) |
| GDP (purchasing power parity): | $938.9 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $474.9 billion (2015 est.) |
| GDP - real growth rate: | 3.6% (2015 est.) |
| GDP - real growth rate: | 3.3% (2014 est.) |
| GDP - real growth rate: | 1.3% (2013 est.) |
| GDP - per capita (PPP): | $26,500 (2015 est.) |
| GDP - per capita (PPP): | $25,500 (2014 est.) |
| GDP - per capita (PPP): | $24,700 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 20.3% of GDP (2015 est.) |
| Gross national saving: | 18.3% of GDP (2014 est.) |
| Gross national saving: | 17.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 58.7% |
| GDP - composition, by end use: | government consumption: 18% |
| GDP - composition, by end use: | investment in fixed capital: 20.1% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 49.4% |
| GDP - composition, by end use: | imports of goods and services: -46.6% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.3% |
| GDP - composition, by sector of origin: | industry: 41.1% |
| GDP - composition, by sector of origin: | services: 55.6% (2015 est.) |
| Agriculture - products: | potatoes, fruits, vegetables, wheat; poultry, eggs, pork, dairy |
| Industries: | machine building, iron and steel, coal mining, chemicals, shipbuilding, food processing, glass, beverages, textiles |
| Industrial production growth rate: | 5.4% (2015 est.) |
| Labor force: | 17.76 million (2015 est.) |
| Labor force - by occupation: | agriculture: 12.6% |
| Labor force - by occupation: | industry: 30.4% |
| Labor force - by occupation: | services: 57% (2012) |
| Unemployment rate: | 10.5% (2015 est.) |
| Unemployment rate: | 12.3% (2014 est.) |
| Population below poverty line: | 17.3% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.3% |
| Household income or consumption by percentage share: | highest 10%: 25.6% (2012 est.) |
| Distribution of family income - Gini index: | 32.4 (2012) |
| Distribution of family income - Gini index: | 33.7 (2008) |
| Budget: | revenues: $76.65 billion |
