| Economy | Poland |
| --- | --- |
| Economy - overview: | Poland has pursued a policy of economic liberalization since 1990 and Poland's economy was the only one in the European Union to avoid a recession through the 2008-09 economic downturn. Although EU membership and access to EU structural funds have provided a major boost to the economy since 2004, GDP per capita remains significantly below the EU average while unemployment continues to exceed the EU average. The government of Prime Minister Donald TUSK steered the Polish economy through the economic downturn by skillfully managing public finances without stifling economic growth and adopted controversial pension and tax reforms to further shore up public finances. While the Polish economy has performed well over the past five years, growth slowed in 2012, in part due to the ongoing economic difficulties in the euro zone. The key policy challenge is to provide support to the economy through monetary easing, while maintaining the pace of structural fiscal consolidation. Poland's economic performance could improve over the longer term if the country addresses some of the remaining deficiencies in its road and rail infrastructure and its business environment. An inefficient commercial court system, a rigid labor code, red tape, and a burdensome tax system keep the private sector from realizing its full potential. |
| GDP (purchasing power parity): | $792.4 billion (2012 est.) |
| GDP (purchasing power parity): | $777.9 billion (2011 est.) |
| GDP (purchasing power parity): | $744.3 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $483.2 billion (2012 est.) |
| GDP - real growth rate: | 1.9% (2012 est.) |
| GDP - real growth rate: | 4.5% (2011 est.) |
| GDP - real growth rate: | 3.9% (2010 est.) |
| GDP - per capita (PPP): | $20,600 (2012 est.) |
| GDP - per capita (PPP): | $20,200 (2011 est.) |
| GDP - per capita (PPP): | $19,500 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 17.2% of GDP (2012 est.) |
| Gross national saving: | 16.7% of GDP (2011 est.) |
| Gross national saving: | 15.7% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 61.2% |
| GDP - composition, by end use: | government consumption: 17.8% |
| GDP - composition, by end use: | investment in fixed capital: 19.3% |
| GDP - composition, by end use: | investment in inventories: 1.6% |
| GDP - composition, by end use: | exports of goods and services: 46% |
| GDP - composition, by end use: | imports of goods and services: -45.6% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 4% |
| GDP - composition, by sector of origin: | industry: 32.2% |
| GDP - composition, by sector of origin: | services: 63.8% (2012 est.) |
| Agriculture - products: | potatoes, fruits, vegetables, wheat; poultry, eggs, pork, dairy |
| Industries: | machine building, iron and steel, coal mining, chemicals, shipbuilding, food processing, glass, beverages, textiles |
| Industrial production growth rate: | 1.3% (2012 est.) |
| Labor force: | 18.17 million (2012 est.) |
| Labor force - by occupation: | agriculture: 12.9% |
| Labor force - by occupation: | industry: 30.2% |
| Labor force - by occupation: | services: 57% (2010) |
| Unemployment rate: | 12.8% (2012 est.) |
| Unemployment rate: | 12.4% (2011 est.) |
