| Economy | Liberia |
| --- | --- |
| Economy - overview: | Liberia is a low-income country that relies heavily on foreign assistance and remittances from the diaspora. It is richly endowed with water, mineral resources, forests, and a climate favorable to agriculture. Its principal exports are iron ore, rubber, diamonds, and gold. Palm oil and cocoa are emerging as new export products. The government has attempted to revive raw timber extraction and is encouraging oil exploration. |
| Economy - overview: | In the 1990s and early 2000s, civil war and government mismanagement destroyed much of Liberia's economy, especially infrastructure in and around the capital. Much of the conflict was fueled by control over Liberiaâ€™s natural resources. With the conclusion of fighting and the installation of a democratically elected government in 2006, businesses that had fled the country began to return. The country achieved high growth during the period 2010-13 due to favorable world prices for its commodities. However, during the 2014-2015 Ebola crisis, the economy declined and many foreign-owned businesses departed with their capital and expertise. The epidemic forced the government to divert scarce resources to combat the spread of the virus, reducing funds available for needed public investment. The cost of addressing the Ebola epidemic coincided with decreased economic activity reducing government revenue, although higher donor support significantly offset this loss. During the same period, global commodities prices for key exports fell and have yet to recover to pre-Ebola levels. |
| Economy - overview: | In 2017, gold was a key driver of growth, as a new mining project began its first full year of production; iron ore exports are also increased as Arcelor Mittal opened new mines at Mount Gangra. The completion of the rehabilitation of the Mount Coffee Hydroelectric Dam increased electricity production to support ongoing and future economic activity, although electricity tariffs remain high relative to other countries in the region and transmission infrastructure is limited. Presidential and legislative elections in October 2017 generated election-related spending pressures. |
| Economy - overview: | Revitalizing the economy in the future will depend on economic diversification, increasing investment and trade, higher global commodity prices, sustained foreign aid and remittances, development of infrastructure and institutions, combating corruption, and maintaining political stability and security. |
| GDP (purchasing power parity): | $6.112 billion (2017 est.) |
| GDP (purchasing power parity): | $5.965 billion (2016 est.) |
| GDP (purchasing power parity): | $6.064 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $3.285 billion (2017 est.) |
| GDP - real growth rate: | 2.5% (2017 est.) |
| GDP - real growth rate: | -1.6% (2016 est.) |
| GDP - real growth rate: | 0% (2015 est.) |
| GDP - per capita (PPP): | $1,300 (2017 est.) |
| GDP - per capita (PPP): | $1,300 (2016 est.) |
| GDP - per capita (PPP): | $1,300 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | NA% (2017) |
| Gross national saving: | -21.9% of GDP (2016 est.) |
| Gross national saving: | 1.9% of GDP (2016 est.) |
| GDP - composition, by end use: | household consumption: 128.8% (2016 est.) |
| GDP - composition, by end use: | government consumption: 16.7% (2016 est.) |
| GDP - composition, by end use: | investment in fixed capital: 19.5% (2016 est.) |
| GDP - composition, by end use: | investment in inventories: 6.7% (2016 est.) |
| GDP - composition, by end use: | exports of goods and services: 17.5% (2016 est.) |
| GDP - composition, by end use: | imports of goods and services: -89.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 34% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 13.8% (2017 est.) |
| GDP - composition, by sector of origin: | services: 52.2% (2017 est.) |
| Agriculture - products: | rubber, coffee, cocoa, rice, cassava (manioc, tapioca), palm oil, sugarcane, bananas; sheep, goats; timber |
| Industries: | mining (iron ore and gold), rubber processing, palm oil processing, diamonds |
| Industrial production growth rate: | 9% (2017 est.) |
| Labor force: | 1.677 million (2017 est.) |
