| Economy | Mali |
| --- | --- |
| Economy - overview: | Among the 25 poorest countries in the world, landlocked Mali depends on gold mining and agricultural exports for revenue. The country's fiscal status fluctuates with gold and agricultural commodity prices and the harvest; cotton and gold exports make up around 80% of export earnings. Mali remains dependent on foreign aid. |
| Economy - overview: | Economic activity is largely confined to the riverine area irrigated by the Niger River; about 65% of Maliâ€™s land area is desert or semidesert. About 10% of the population is nomadic and about 80% of the labor force is engaged in farming and fishing. Industrial activity is concentrated on processing farm commodities. The government subsidizes the production of cereals to decrease the countryâ€™s dependence on imported foodstuffs and to reduce its vulnerability to food price shocks. |
| Economy - overview: | Mali is developing its iron ore extraction industry to diversify foreign exchange earnings away from gold, but the pace will depend on global price trends. Although the political coup in 2012 slowed Maliâ€™s growth, the economy has since bounced back, with GDP growth above 5% in 2014-17, although physical insecurity, high population growth, corruption, weak infrastructure, and low levels of human capital continue to constrain economic development. Higher rainfall helped to boost cotton output in 2017, and the countryâ€™s 2017 budget increased spending more than 10%, much of which was devoted to infrastructure and agriculture. Corruption and political turmoil are strong downside risks in 2018 and beyond. |
| GDP (purchasing power parity): | $41.22 billion (2017 est.) |
| GDP (purchasing power parity): | $39.1 billion (2016 est.) |
| GDP (purchasing power parity): | $36.97 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $15.37 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 5.4% (2017 est.) |
| GDP - real growth rate: | 5.8% (2016 est.) |
| GDP - real growth rate: | 6.2% (2015 est.) |
| GDP - per capita (PPP): | $2,200 (2017 est.) |
| GDP - per capita (PPP): | $2,100 (2016 est.) |
| GDP - per capita (PPP): | $2,100 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 16.5% of GDP (2017 est.) |
| Gross national saving: | 15.5% of GDP (2016 est.) |
| Gross national saving: | 15.4% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 82.9% (2017 est.) |
| GDP - composition, by end use: | government consumption: 17.4% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 19.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 22.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -41.1% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 41.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 18.1% (2017 est.) |
| GDP - composition, by sector of origin: | services: 40.5% (2017 est.) |
| Agriculture - products: | cotton, millet, rice, corn, vegetables, peanuts; cattle, sheep, goats |
