| Economy | CHILE |
| --- | --- |
| Economy - overview: | Chile has a market-oriented economy characterized by a high level of foreign trade and a reputation for strong financial institutions and sound policy that have given it the strongest sovereign bond rating in South America. Exports of goods and services account for approximately one-third of GDP, with commodities making up some 60% of total exports. Copper alone provides 20% of government revenue. |
| Economy - overview: | From 2003 through 2013, real growth averaged almost 5% per year, despite the slight contraction in 2009 that resulted from the global financial crisis. Growth slowed to an estimated 2.3% in 2015. A continued drop in copper prices prompted Chile to experience its second consecutive year of slow growth, elevated inflation, and a depreciating currency. |
| Economy - overview: | Chile deepened its longstanding commitment to trade liberalization with the signing of a free trade agreement with the US, which took effect on 1 January 2004. Chile has 22 trade agreements covering 60 countries including agreements with the EU, Mercosur, China, India, South Korea, and Mexico. In May 2010, Chile signed the OECD Convention, becoming the first South American country to join the OECD. In October 2015, Chile joined the US and 10 other countries and concluded negotiations on the Trans-Pacific Partnership trade agreement. The agreement will need to be ratified by the Chilean legislature. |
| Economy - overview: | The Chilean Government has generally followed a countercyclical fiscal policy, accumulating surpluses in sovereign wealth funds during periods of high copper prices and economic growth, and generally allowing deficit spending only during periods of low copper prices and growth. As of 31 October 2015, those sovereign wealth funds - kept mostly outside the country and separate from Central Bank reserves - amounted to more than $22.4 billion. Chile used these funds to finance fiscal stimulus packages during the 2009 economic downturn. |
| Economy - overview: | In 2014, President Michelle BACHELET introduced tax reforms aimed at delivering her campaign promise to fight inequality and to provide access to education and health care. The reforms are expected to generate additional tax revenues equal to 3% of Chile’s GDP, mostly by increasing corporate tax rates to OECD averages. |
| GDP (purchasing power parity): | $422.4 billion (2015 est.) |
| GDP (purchasing power parity): | $413.9 billion (2014 est.) |
| GDP (purchasing power parity): | $406.4 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $240.2 billion (2015 est.) |
| GDP - real growth rate: | 2.1% (2015 est.) |
| GDP - real growth rate: | 1.8% (2014 est.) |
| GDP - real growth rate: | 4% (2013 est.) |
| GDP - per capita (PPP): | $23,500 (2015 est.) |
| GDP - per capita (PPP): | $23,200 (2014 est.) |
| GDP - per capita (PPP): | $23,000 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 20.5% of GDP (2015 est.) |
| Gross national saving: | 20.9% of GDP (2014 est.) |
| Gross national saving: | 20.8% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 64.3% |
| GDP - composition, by end use: | government consumption: 13.4% |
| GDP - composition, by end use: | investment in fixed capital: 22.7% |
| GDP - composition, by end use: | investment in inventories: -0.3% |
| GDP - composition, by end use: | exports of goods and services: 30.1% |
| GDP - composition, by end use: | imports of goods and services: -30.3% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.9% |
| GDP - composition, by sector of origin: | industry: 32.9% |
| GDP - composition, by sector of origin: | services: 63.2% (2015 est.) |
| Agriculture - products: | grapes, apples, pears, onions, wheat, corn, oats, peaches, garlic, asparagus, beans; beef, poultry, wool; fish; timber |
| Industries: | copper, lithium, other minerals, foodstuffs, fish processing, iron and steel, wood and wood products, transport equipment, cement, textiles |
| Industrial production growth rate: | 1.2% (2015 est.) |
| Labor force: | 8.635 million (2015 est.) |
| Labor force - by occupation: | agriculture: 13.2% |
| Labor force - by occupation: | industry: 23% |
| Labor force - by occupation: | services: 63.9% (2005) |
| Unemployment rate: | 6.3% (2015 est.) |
| Unemployment rate: | 6.3% (2014 est.) |
| Population below poverty line: | 14.4% (2013) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 42.8% (2009 est.) |
| Distribution of family income - Gini index: | 52.1 (2009) |
| Distribution of family income - Gini index: | 57.1 (2000) |
| Budget: | revenues: $50.71 billion |
| Budget: | expenditures: $55.89 billion (2015 est.) |
| Taxes and other revenues: | 21.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.2% of GDP (2015 est.) |
| Public debt: | 16.7% of GDP (2015 est.) |
| Public debt: | 15.1% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.3% (2015 est.) |
| Inflation rate (consumer prices): | 4.4% (2014 est.) |
| Central bank discount rate: | 3.12% (31 December 2010) |
| Central bank discount rate: | 0.5% (31 December 2009) |
| Commercial bank prime lending rate: | 5.52% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 8.1% (31 December 2014 est.) |
| Stock of narrow money: | $39.88 billion (31 December 2015 est.) |
| Stock of narrow money: | $41.97 billion (31 December 2014 est.) |
| Stock of broad money: | $154.4 billion (31 December 2014 est.) |
| Stock of broad money: | $158 billion (31 December 2013 est.) |
| Stock of domestic credit: | $188.4 billion (31 December 2015 est.) |
| Stock of domestic credit: | $197.1 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $313.3 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $270.3 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $341.6 billion (31 December 2013 est.) |
| Current account balance: | -$4.765 billion (2015 est.) |
| Current account balance: | -$3.317 billion (2014 est.) |
| Exports: | $62.23 billion (2015 est.) |
| Exports: | $74.92 billion (2014 est.) |
| Exports - commodities: | copper, fruit, fish products, paper and pulp, chemicals, wine |
