| Economy | CHILE |
| --- | --- |
| Economy - overview: | Chile has a market-oriented economy characterized by a high level of foreign trade and a reputation for strong financial institutions and sound policy that have given it the strongest sovereign bond rating in South America. Exports of goods and services account for approximately one-third of GDP, with commodities making up some three-quarters of total exports. Copper alone provides 19% of government revenue. From 2003 through 2013, real growth averaged almost 5% per year, despite the slight contraction in 2009 that resulted from the global financial crisis. Growth slowed to 4.2% in 2014. Chile deepened its longstanding commitment to trade liberalization with the signing of a free trade agreement with the US, which took effect on 1 January 2004. Chile has 22 trade agreements covering 60 countries including agreements with the European Union, Mercosur, China, India, South Korea, and Mexico. Chile has joined the United States and 10 other countries in negotiating the Trans-Pacific Partnership trade agreement. The Chilean Government has generally followed a countercyclical fiscal policy, accumulating surpluses in sovereign wealth funds during periods of high copper prices and economic growth, and generally allowing deficit spending only during periods of low copper prices and growth. As of 31 December 2012, those sovereign wealth funds - kept mostly outside the country and separate from Central Bank reserves - amounted to more than $20.9 billion. Chile used these funds to finance fiscal stimulus packages during the 2009 economic downturn. In May 2010 Chile signed the OECD Convention, becoming the first South American country to join the OECD. In 2014, President Michelle BACHELET introduced tax reforms aimed at delivering her campaign promise to fight inequality and to provide access to education and health care. The reforms are expected to generate additional tax revenues equal to 3% of Chile&rsquo;s GDP, mostly by increasing corporate tax rates to OECD averages. |
| GDP (purchasing power parity): | $409.3 billion (2014 est.) |
| GDP (purchasing power parity): | $401.9 billion (2013 est.) |
| GDP (purchasing power parity): | $385.3 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $258 billion (2014 est.) |
| GDP - real growth rate: | 1.8% (2014 est.) |
| GDP - real growth rate: | 4.3% (2013 est.) |
| GDP - real growth rate: | 5.5% (2012 est.) |
| GDP - per capita (PPP): | $23,000 (2014 est.) |
| GDP - per capita (PPP): | $22,600 (2013 est.) |
| GDP - per capita (PPP): | $21,600 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 20.3% of GDP (2014 est.) |
| Gross national saving: | 20.7% of GDP (2013 est.) |
| Gross national saving: | 21.8% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 65.4% |
| GDP - composition, by end use: | government consumption: 13.1% |
| GDP - composition, by end use: | investment in fixed capital: 22.1% |
| GDP - composition, by end use: | investment in inventories: 0.2% |
| GDP - composition, by end use: | exports of goods and services: 34.1% |
| GDP - composition, by end use: | imports of goods and services: -35% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.5% |
| GDP - composition, by sector of origin: | industry: 35.5% |
| GDP - composition, by sector of origin: | services: 61.1% (2014 est.) |
| Agriculture - products: | grapes, apples, pears, onions, wheat, corn, oats, peaches, garlic, asparagus, beans; beef, poultry, wool; fish; timber |
| Industries: | copper, lithium, other minerals, foodstuffs, fish processing, iron and steel, wood and wood products, transport equipment, cement, textiles |
| Industrial production growth rate: | 2.5% (2014 est.) |
| Labor force: | 8.514 million (2014 est.) |
| Labor force - by occupation: | agriculture: 13.2% |
| Labor force - by occupation: | industry: 23% |
| Labor force - by occupation: | services: 63.9% (2005) |
| Unemployment rate: | 6.4% (2014 est.) |
| Unemployment rate: | 6% (2013 est.) |
| Population below poverty line: | 15.1% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.5% |
| Household income or consumption by percentage share: | highest 10%: 42.8% (2009 est.) |
| Distribution of family income - Gini index: | 52.1 (2009) |
| Distribution of family income - Gini index: | 57.1 (2000) |
| Budget: | revenues: $50.67 billion |
| Budget: | expenditures: $56.32 billion (2014 est.) |
| Taxes and other revenues: | 19.2% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2.1% of GDP (2014 est.) |
| Public debt: | 16.5% of GDP (2014 est.) |
| Public debt: | 12.8% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 4.4% (2014 est.) |
| Inflation rate (consumer prices): | 1.9% (2013 est.) |
| Central bank discount rate: | 3.12% (31 December 2010) |
| Central bank discount rate: | 0.5% (31 December 2009) |
| Commercial bank prime lending rate: | 8.1% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 9.26% (31 December 2013 est.) |
| Stock of narrow money: | $40.1 billion (31 December 2014 est.) |
| Stock of narrow money: | $42.22 billion (31 December 2013 est.) |
| Stock of broad money: | $154.4 billion (31 December 2014 est.) |
| Stock of broad money: | $158 billion (31 December 2013 est.) |
| Stock of domestic credit: | $201.6 billion (31 December 2014 est.) |
| Stock of domestic credit: | $206.2 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $313.3 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $270.3 billion (31 December 2011) |
| Market value of publicly traded shares: | $341.6 billion (31 December 2010 est.) |
| Current account balance: | -$2.993 billion (2014 est.) |
| Current account balance: | -$9.485 billion (2013 est.) |
| Exports: | $76.98 billion (2014 est.) |
| Exports: | $76.68 billion (2013 est.) |
| Exports - commodities: | copper, fruit, fish products, paper and pulp, chemicals, wine |
| Exports - partners: | China 24.9%, US 12.8%, Japan 9.9%, Brazil 5.8%, South Korea 5.5% (2013) |
| Imports: | $70.67 billion (2014 est.) |
| Imports: | $74.57 billion (2013 est.) |
| Imports - commodities: | petroleum and petroleum products, chemicals, electrical and telecommunications equipment, industrial machinery, vehicles, natural gas |
| Imports - partners: | US 20.3%, China 19.7%, Brazil 6.5%, Argentina 5%, Germany 4% (2013) |
