| Economy | MAURITIUS |
| --- | --- |
| Economy - overview: | Since independence in 1968, Mauritius has undergone a remarkable economic transformation from a low-income, agriculturally based economy to a diversified, upper middle-income economy with growing industrial, financial, and tourist sectors. Mauritius has achieved steady growth over the last several decades, resulting in more equitable income distribution, increased life expectancy, lowered infant mortality, and a much-improved infrastructure. |
| Economy - overview: | The economy currently rests on sugar, tourism, textiles and apparel, and financial services, but is expanding into fish processing, information and communications technology, and hospitality and property development. Sugarcane is grown on about 90% of the cultivated land area and accounts for 15% of export earnings. The government's development strategy centers on creating vertical and horizontal clusters of development in these sectors. Mauritius has attracted more than 32,000 offshore entities, many aimed at commerce in India, South Africa, and China. Investment in the banking sector alone has reached over $1 billion. Mauritius’ textile sector has taken advantage of the Africa Growth and Opportunity Act, a preferential trade program that allows duty free access to the US market, with Mauritian exports to the US growing by 40% from 2000 to 2014. |
| Economy - overview: | Mauritius' sound economic policies and prudent banking practices helped to mitigate negative effects of the global financial crisis in 2008-09. GDP grew in the 3-4% per year range in 2010-14, and the country continues to expand its trade and investment outreach around the globe. Growth in the US and Europe fostered goods and services exports, including tourism, while lower oil prices kept inflation low in 2015. |
| GDP (purchasing power parity): | $24.57 billion (2015 est.) |
| GDP (purchasing power parity): | $23.76 billion (2014 est.) |
| GDP (purchasing power parity): | $22.93 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $11.61 billion (2015 est.) |
| GDP - real growth rate: | 3.4% (2015 est.) |
| GDP - real growth rate: | 3.6% (2014 est.) |
| GDP - real growth rate: | 3.2% (2013 est.) |
| GDP - per capita (PPP): | $19,500 (2015 est.) |
| GDP - per capita (PPP): | $18,900 (2014 est.) |
| GDP - per capita (PPP): | $18,200 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 14.8% of GDP (2015 est.) |
| Gross national saving: | 15.1% of GDP (2014 est.) |
| Gross national saving: | 15.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 74.2% |
| GDP - composition, by end use: | government consumption: 14.4% |
| GDP - composition, by end use: | investment in fixed capital: 17.7% |
| GDP - composition, by end use: | investment in inventories: 3.5% |
| GDP - composition, by end use: | exports of goods and services: 49.8% |
| GDP - composition, by end use: | imports of goods and services: -59.6% (2015 est.) |
