| Economy | SLOVAKIA |
| --- | --- |
| Economy - overview: | Slovakia has made significant economic reforms since its separation from the Czech Republic in 1993. With a population of 5.4 million, the Slovak Republic has a small, open economy, with exports, at about 92% of GDP, serving as the main driver of GDP growth. Slovakia joined the European Union (EU) in 2004 and the Eurozone in 2009.  The country&rsquo;s banking sector is sound. Slovakia has led the region garnering FDI, because of its relatively low-cost, highly-skilled labor force, reasonable tax rates, and favorable geographic location in the heart of Central Europe.  However, recent increases in corporate taxes, as well as changes to the Labor Code, slow dispute resolution, and ongoing corruption potentially threaten the attractiveness of the Slovak market. Moreover, the energy sector is characterized by high costs, unpredictable regulatory oversight, and growing government interference. |
| GDP (purchasing power parity): | $152.6 billion (2014 est.) |
| GDP (purchasing power parity): | $149 billion (2013 est.) |
| GDP (purchasing power parity): | $146.9 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $99.97 billion (2014 est.) |
| GDP - real growth rate: | 2.4% (2014 est.) |
| GDP - real growth rate: | 1.4% (2013 est.) |
| GDP - real growth rate: | 1.6% (2012 est.) |
| GDP - per capita (PPP): | $28,200 (2014 est.) |
| GDP - per capita (PPP): | $27,500 (2013 est.) |
| GDP - per capita (PPP): | $27,100 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 21.2% of GDP (2014 est.) |
| Gross national saving: | 22.2% of GDP (2013 est.) |
| Gross national saving: | 22% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 56.7% |
| GDP - composition, by end use: | government consumption: 18.5% |
| GDP - composition, by end use: | investment in fixed capital: 21.1% |
| GDP - composition, by end use: | investment in inventories: -0.4% |
| GDP - composition, by end use: | exports of goods and services: 91.9% |
| GDP - composition, by end use: | imports of goods and services: -87.8% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.4% |
| GDP - composition, by sector of origin: | industry: 22.5% |
| GDP - composition, by sector of origin: | services: 74.1% (2014 est.) |
| Agriculture - products: | grains, potatoes, sugar beets, hops, fruit; pigs, cattle, poultry; forest products |
| Industries: | automobiles; metal and metal products; electricity, gas, coke, oil, nuclear fuel; chemicals, synthetic fibers, wood and paper products; machinery; earthenware and ceramics; textiles; electrical and optical apparatus; rubber products; food and beverages; pharmaceutical |
| Industrial production growth rate: | 3.2% (2014 est.) |
| Labor force: | 2.363 million (2014 est.) |
| Labor force - by occupation: | agriculture: 3.5% |
| Labor force - by occupation: | industry: 25.9% |
| Labor force - by occupation: | services: 70.6% (2014) |
| Unemployment rate: | 13.2% (2014 est.) |
| Unemployment rate: | 14.2% (2013 est.) |
| Population below poverty line: | 20.5% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 4.4% |
| Household income or consumption by percentage share: | highest 10%: 26% (2013 est.) |
| Distribution of family income - Gini index: | 25.3 (2012) |
| Distribution of family income - Gini index: | 25.7 (2011) |
| Budget: | revenues: $36.45 billion |
| Budget: | expenditures: $39.36 billion (2014 est.) |
| Taxes and other revenues: | 36.5% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2.9% of GDP (2014 est.) |
| Public debt: | 54.1% of GDP (2014 est.) |
| Public debt: | 54.6% of GDP (2013 est.) |
| Public debt: | note: data cover general Government Gross Debt, and includes debt instruments issued (or owned) by Government entities, including sub-sectors of central government, state government, local government, and social security funds. |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.1% (2014 est.) |
| Inflation rate (consumer prices): | 1.5% (2013 est.) |
| Central bank discount rate: | 0.3% (10 September 2014) |
| Central bank discount rate: | 0.75% (13 November 2013) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks from the euro area; Slovakia became a member of the Economic and Monetary Union (EMU) on 1 January 2009 |
