| Economy | SLOVAKIA |
| --- | --- |
| Economy - overview: | Slovakia’s economy suffered from a slow start in the first years after its separation from the Czech Republic in 1993, due to the country’s authoritarian leadership and high levels of corruption, but economic reforms implemented after 1998 have placed Slovakia on a path of strong growth. With a population of 5.4 million, the Slovak Republic has a small, open economy driven mainly by automobile and electronics exports, which account for more than 80% of GDP. Slovakia joined the EU in 2004 and the euro zone in 2009. The country’s banking sector is sound and predominantly foreign owned. |
| Economy - overview: | Slovakia has been a regional FDI champion for several years, attractive due to a relatively low-cost yet skilled labor force, and a favorable geographic location in the heart of Central Europe. Among the most pressing domestic issues potentially threatening the attractiveness of the Slovak market are shortages in qualified labor force, persistent corruption issues, and an inadequate judiciary, as well as a lack of innovation. The energy sector in particular is characterized by unpredictable regulatory oversight and high costs, in part driven by government interference in regulated tariffs. |
| GDP (purchasing power parity): | $170 billion (2016 est.) |
| GDP (purchasing power parity): | $162.5 billion (2015 est.) |
| GDP (purchasing power parity): | $154.9 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $89.53 billion (2016 est.) |
| GDP - real growth rate: | 3.3% (2016 est.) |
| GDP - real growth rate: | 3.8% (2015 est.) |
| GDP - real growth rate: | 2.6% (2014 est.) |
| GDP - per capita (PPP): | $31,300 (2016 est.) |
| GDP - per capita (PPP): | $30,400 (2015 est.) |
| GDP - per capita (PPP): | $29,300 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 20.8% of GDP (2016 est.) |
| Gross national saving: | 23.4% of GDP (2015 est.) |
| Gross national saving: | 22.8% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 54.7% |
| GDP - composition, by end use: | government consumption: 19.5% |
| GDP - composition, by end use: | investment in fixed capital: 20.2% |
| GDP - composition, by end use: | investment in inventories: 1.9% |
| GDP - composition, by end use: | exports of goods and services: 93.8% |
| GDP - composition, by end use: | imports of goods and services: -90.1% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.8% |
| GDP - composition, by sector of origin: | industry: 34.8% |
| GDP - composition, by sector of origin: | services: 61.4% (2016 est.) |
| Agriculture - products: | grains, potatoes, sugar beets, hops, fruit; pigs, cattle, poultry; forest products |
| Industries: | automobiles; metal and metal products; electricity, gas, coke, oil, nuclear fuel; chemicals, synthetic fibers, wood and paper products; machinery; earthenware and ceramics; textiles; electrical and optical apparatus; rubber products; food and beverages; pharmaceutical |
| Industrial production growth rate: | 5.2% (2016 est.) |
