| Economy | Slovakia |
| --- | --- |
| Economic overview: | Slovakiaâ€™s economy suffered from a slow start in the first years after its separation from the Czech Republic in 1993, due to the countryâ€™s authoritarian leadership and high levels of corruption, but economic reforms implemented after 1998 have placed Slovakia on a path of strong growth. With a population of 5.4 million, the Slovak Republic has a small, open economy driven mainly by automobile and electronics exports, which account for more than 80% of GDP. Slovakia joined the EU in 2004 and the euro zone in 2009. The countryâ€™s banking sector is sound and predominantly foreign owned. |
| Economic overview: | Slovakia has been a regional FDI champion for several years, attractive due to a relatively low-cost yet skilled labor force, and a favorable geographic location in the heart of Central Europe. Exports and investment have been key drivers of Slovakiaâ€™s robust growth in recent years. The unemployment rate fell to historical lows in 2017, and rising wages fueled increased consumption, which played a more prominent role in 2017 GDP growth. A favorable outlook for the Eurozone suggests continued strong growth prospects for Slovakia during the next few years, although inflation is also expected to pick up. |
| Economic overview: | Among the most pressing domestic issues potentially threatening the attractiveness of the Slovak market are shortages in the qualified labor force, persistent corruption issues, and an inadequate judiciary, as well as a slow transition to an innovation-based economy. The energy sector in particular is characterized by unpredictable regulatory oversight and high costs, in part driven by government interference in regulated tariffs. Moreover, the governmentâ€™s attempts to maintain low household energy prices could harm the profitability of domestic energy firms while undercutting energy efficiency initiatives. |
| GDP real growth rate: | 2.4% (2019 est.) |
| GDP real growth rate: | 3.9% (2018 est.) |
| GDP real growth rate: | 3.04% (2017 est.) |
| Inflation rate (consumer prices): | 2.6% (2019 est.) |
| Inflation rate (consumer prices): | 2.5% (2018 est.) |
| Inflation rate (consumer prices): | 1.3% (2017 est.) |
| Credit ratings: | Fitch rating: A (2020) |
| Credit ratings: | Moody's rating: A2 (2012) |
| Credit ratings: | Standard & Poors rating: A+ (2015) |
| GDP (purchasing power parity) - real: | $177.968 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $173.799 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $167.281 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $105.388 billion (2019 est.) |
| GDP - per capita (PPP): | $21,066 (2019 est.) |
| GDP - per capita (PPP): | $20,587 (2018 est.) |
| GDP - per capita (PPP): | $19,834 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 20.6% of GDP (2017 est.) |
| Gross national saving: | 21.1% of GDP (2016 est.) |
| Gross national saving: | 22.5% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 35% (2017 est.) |
| GDP - composition, by sector of origin: | services: 61.2% (2017 est.) |
| GDP - composition, by end use: | household consumption: 54.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 19.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 21.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 96.3% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -92.9% (2017 est.) |
| Ease of Doing Business Index scores: | 100.0 (2020) |
| Agriculture - products: | grains, potatoes, sugar beets, hops, fruit; pigs, cattle, poultry; forest products |
