| Economy | ETHIOPIA |
| --- | --- |
| Economy - overview: | Ethiopia has grown at a rate between 8% and 11% annually for more than a decade and the country is the fifth-fastest growing economy among the 188 IMF member countries. This growth has been driven by sustained progress in the agricultural and service sectors. Ethiopia has the lowest level of income-inequality in Africa and one of the lowest in the world, with a Gini coefficient comparable to that of the Scandinavian countries. Yet despite progress toward eliminating extreme poverty, Ethiopia remains one of the poorest countries in the world, due both to rapid population growth and a low starting base. Changes in rainfall associated with world-wide weather patterns resulted in the worst drought in thirty years in 2015/2016, creating food insecurity for millions of Ethiopians. |
| Economy - overview: | Almost 80% of Ethiopia’s population is still employed in the agricultural sector, but services have surpassed agriculture as the principal source of GDP. Under Ethiopia's constitution, the state owns all land and provides long-term leases to tenants. Since 2005, the Ethiopian government has introduced a system to register traditional land use rights and provide certificates documenting these rights. Initial surveys show that land-use certificates have significantly increased the willingness of farmers to invest in improvements on their land, from terracing to irrigation. However, title rights in urban areas, particularly Addis Ababa, are poorly regulated, and subject to corruption. |
| Economy - overview: | Ethiopia’s export earnings are led by the services sector - primarily Ethiopian airlines - followed by several commodities. While coffee remains the largest foreign exchange earner, Ethiopia is diversifying exports and commodities such as gold, sesame, khat, livestock and horticulture products are becoming increasingly important. Manufacturing represents less than 8% of total exports. The banking, insurance, telecommunications, and micro-credit industries are restricted to domestic investors, but Ethiopia has attracted significant foreign investment in textiles, leather, commercial agriculture, and light manufacturing. |
| Economy - overview: | Ethiopia remains a one-party state with a planned economy. In the fall of 2015, the government finalized and published the current 2016-2020 five year plan, known as the Growth and Transformation Plan (GTP II). GTP II emphasizes developing manufactures in sectors where Ethiopia has a comparative advantage in exporting, including textiles and garments, leather goods, and processed agricultural products. New infrastructure projects are to include power production and distribution, roads, rails, airports and industrial parks. To support industrialization, Ethiopia plans to increase power generation by 8,320 MW, up from an installed capacity of 2,000 MW, by building three more major dams and expanding to other sources of renewable energy. Construction is underway on an electric railway network that will connect Ethiopia to all its neighbors, with a link to the Port of Djibouti already finished and partially functioning. A tripling of capacity at the international airport in Addis Ababa to 25 million passengers will be completed in 2017, while construction of a completely new airport is being planned by 2025. Meanwhile, the domestic airport network has expanded to nineteen airports in a country where mountains and deserts make developing and maintaining a road network challenging. Despite difficult topography, more than a hundred thousand kilometers of roads have been built, connecting previously isolated regions. |
| GDP (purchasing power parity): | $161.6 billion (2015 est.) |
| GDP (purchasing power parity): | $146.7 billion (2014 est.) |
| GDP (purchasing power parity): | $133 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $61.63 billion (2015 est.) |
