| Economy | VIETNAM |
| --- | --- |
| Economy - overview: | Vietnam is a densely populated developing country that has been transitioning from the rigidities of a centrally planned, highly agrarian economy since 1986 to a more industrial and market based economy, raising incomes substantially. In 2016, Vietnam missed its yearly growth target of 6.7% due to environmental issues – drought and salinization - impacting the agricultural sector and low oil prices affecting the extractive sector. However, annual GDP growth was 6.2%, reflecting strengthening domestic demand and strong manufacturing exports. |
| Economy - overview: | Vietnam has a young population, stable political system, commitment to sustainable growth, relatively low inflation, stable currency, strong FDI inflows, and strong manufacturing sector. In addition, the country is committed to continuing its global economic integration. Vietnam joined the WTO in January 2007 and concluded several free trade agreements in 2015-16, including the EU-Vietnam Free Trade Agreement, the Korean Free Trade Agreement, and the Eurasian Economic Union Free Trade Agreement. |
| Economy - overview: | However, to continue its trajectory of strong economic growth, the government acknowledges the need to spark a ‘second wave’ of reforms, including reforming state-owned-enterprises, reducing red tape, increasing business sector transparency, reducing the level of non-performing loans in the banking sector, and increasing financial sector transparency. Vietnam has demonstrated a commitment to sustainable growth over the last several years, but a recent slowdown in economic growth could test the government’s resolve. |
| Economy - overview: | In 2016, Vietnam cancelled its civilian nuclear energy development program, citing public concerns about safety and the high cost of the program, and is facing growing pressure on energy infrastructure. Overall, the country’s infrastructure fails to meet the needs of an expanding middle class. As the 2017 Asia-Pacific Economic Cooperation (APEC) chair, Vietnam will lead the dialogue on key APEC priorities such as inclusive growth, innovation, food security and climate change. |
| GDP (purchasing power parity): | $595.4 billion (2016 est.) |
| GDP (purchasing power parity): | $553.5 billion (2015 est.) |
| GDP (purchasing power parity): | $513.3 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $201.3 billion (2016 est.) |
| GDP - real growth rate: | 6.2% (2016 est.) |
| GDP - real growth rate: | 6.7% (2015 est.) |
| GDP - real growth rate: | 6% (2014 est.) |
| GDP - per capita (PPP): | $6,400 (2016 est.) |
| GDP - per capita (PPP): | $6,100 (2015 est.) |
| GDP - per capita (PPP): | $5,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 30.7% of GDP (2016 est.) |
| Gross national saving: | 27.5% of GDP (2015 est.) |
| Gross national saving: | 31.7% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 68.5% |
| GDP - composition, by end use: | government consumption: 6.5% |
| GDP - composition, by end use: | investment in fixed capital: 23.7% |
| GDP - composition, by end use: | investment in inventories: -1.3% |
| GDP - composition, by end use: | exports of goods and services: 93.6% |
| GDP - composition, by end use: | imports of goods and services: -91.1% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 16.3% |
| GDP - composition, by sector of origin: | industry: 32.7% |
| GDP - composition, by sector of origin: | services: 40.9% (2016 est.) |
| Agriculture - products: | rice, coffee, rubber, tea, pepper, soybeans, cashews, sugar cane, peanuts, bananas; pork; poultry; seafood |
| Industries: | food processing, garments, shoes, machine-building; mining, coal, steel; cement, chemical fertilizer, glass, tires, oil, mobile phones |
| Industrial production growth rate: | 7.6% (2016 est.) |
| Labor force: | 55.93 million (2016 est.) |
| Labor force - by occupation: | agriculture: 48% |
| Labor force - by occupation: | industry: 21% |
| Labor force - by occupation: | services: 31% (2012) |
| Unemployment rate: | 2.3% (2016 est.) |
| Unemployment rate: | 3.4% (2015 est.) |
| Population below poverty line: | 11.3% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.2% |
| Household income or consumption by percentage share: | highest 10%: 30.2% (2008) |
| Distribution of family income - Gini index: | 37.6 (2008) |
| Distribution of family income - Gini index: | 36.1 (1998) |
| Budget: | revenues: $49.48 billion |
| Budget: | expenditures: $60.84 billion (2016 est.) |
| Taxes and other revenues: | 24.6% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -5.6% of GDP (2016 est.) |
| Public debt: | 61.6% of GDP (2016 est.) |
| Public debt: | 60.1% of GDP (2015 est.) |
| Public debt: | note: official data; data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.7% (2016 est.) |
| Inflation rate (consumer prices): | 0.6% (2015 est.) |
| Central bank discount rate: | 9% (31 December 2012) |
| Central bank discount rate: | 15% (31 December 2011) |
| Commercial bank prime lending rate: | 6.96% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 7.12% (31 December 2015 est.) |
| Stock of narrow money: | $73.48 billion (31 December 2016 est.) |
| Stock of narrow money: | $62.92 billion (31 December 2015 est.) |
| Stock of broad money: | $299.2 billion (31 December 2016 est.) |
| Stock of broad money: | $256.7 billion (31 December 2015 est.) |
| Stock of domestic credit: | $277.3 billion (31 December 2016 est.) |
| Stock of domestic credit: | $239.3 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $51.88 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $46.07 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $40.06 billion (31 December 2013 est.) |
| Current account balance: | $8.235 billion (2016 est.) |
| Current account balance: | $906 million (2015 est.) |
| Exports: | $176.6 billion (2016 est.) |
| Exports: | $162.1 billion (2015 est.) |
| Exports - commodities: | clothes, shoes, electronics, seafood, crude oil, rice, coffee, wooden products, machinery |
| Exports - partners: | US 20.2%, China 14.2%, Japan 8.2%, South Korea 6.2% (2016) |
| Imports: | $162.6 billion (2016 est.) |
| Imports: | $154.7 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, petroleum products, steel products, raw materials for the clothing and shoe industries, electronics, plastics, automobiles |
| Imports - partners: | China 25.1%, South Korea 17.5%, Japan 7.9%, US 6%, Thailand 4.7% (2016) |
| Reserves of foreign exchange and gold: | $36.91 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $28.62 billion (31 December 2015 est.) |
| Debt - external: | $84.34 billion (31 December 2016 est.) |
| Debt - external: | $77.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $115.4 billion (31 December 2016 est.) |
