| Economy | France |
| --- | --- |
| Economy - overview: | The French economy is diversified across all sectors. The government has partially or fully privatized many large companies, including Air France, France Telecom, Renault, and Thales. However, the government maintains a strong presence in some sectors, particularly power, public transport, and defense industries. With at least 82 million foreign tourists per year, France is the most visited country in the world and maintains the third largest income in the world from tourism. France's leaders remain committed to a capitalism in which they maintain social equity by means of laws, tax policies, and social spending that mitigate economic inequality. France's real GDP stagnated in 2012 and 2013. The unemployment rate (including overseas territories) increased from 7.8% in 2008 to 10.2% in 2013. Youth unemployment in metropolitan France decreased from a high of 25.4% in the fourth quarter of 2012 to 22.8% in the fourth quarter of 2013. Lower-than-expected growth and high spending have strained France's public finances. The budget deficit rose sharply from 3.3% of GDP in 2008 to 7.5% of GDP in 2009 before improving to 4.1% of GDP in 2013, while France's public debt rose from 68% of GDP to nearly 94% over the same period. In accordance with its EU obligations, France is targeting a deficit of 3.6% of GDP in 2014 and 2.8% in 2015. The administration of President Francois HOLLANDE has implemented greater state support for employment, the separation of banks' traditional deposit taking and lending activities from more speculative businesses, increasing the top corporate and personal tax rates, including a temporary 75% tax on wages over one million euros, and hiring an additional 60,000 teachers during his five-year term. In January 2014 HOLLANDE proposed a “Responsibility Pact” aimed primarily at lowering labor costs in return for businesses’ commitment to create jobs. Despite stagnant growth and fiscal challenges, France's borrowing costs have declined in recent years because investors remain attracted to the liquidity of France’s bonds. |
| GDP (purchasing power parity): | $2.276 trillion (2013 est.) |
| GDP (purchasing power parity): | $2.269 trillion (2012 est.) |
| GDP (purchasing power parity): | $2.268 trillion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $2.739 trillion (2013 est.) |
| GDP - real growth rate: | 0.3% (2013 est.) |
| GDP - real growth rate: | 0% (2012 est.) |
| GDP - real growth rate: | 2% (2011 est.) |
| GDP - per capita (PPP): | $35,700 (2013 est.) |
| GDP - per capita (PPP): | $35,800 (2012 est.) |
| GDP - per capita (PPP): | $36,000 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 18.2% of GDP (2013 est.) |
| Gross national saving: | 17.6% of GDP (2012 est.) |
| Gross national saving: | 19% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 57.6% |
| GDP - composition, by end use: | government consumption: 25.1% |
