| Economy | Croatia |
| --- | --- |
| Economy - overview: | Though still one of the wealthiest of the former Yugoslav republics, Croatia's economy suffered badly during the 1991-95 war. The country's output during that time collapsed and Croatia missed the early waves of investment in Central and Eastern Europe that followed the fall of the Berlin Wall. Between 2000 and 2007, however, Croatia's economic fortunes began to improve with moderate but steady GDP growth between 4% and 6% led by a rebound in tourism and credit-driven consumer spending. Inflation over the same period remained tame and the currency, the kuna, stable. Croatia experienced an abrupt slowdown in the economy in 2008 and has yet to recover; economic growth was stagnant or negative in each year since 2009. Difficult problems still remain, including a stubbornly high unemployment rate, uneven regional development, and a challenging investment climate. Croatia continues to face reduced foreign investment. On 1 July 2013 Croatia joined the EU, following a decade-long application process. Croatia will be a member of the European Exchange Rate Mechanism until it meets the criteria for joining the Economic and Monetary Union and adopts the euro as its currency. EU accession has increased pressure on the government to reduce Croatia’s relatively high public debt, which triggered the EU’s excessive deficit procedure for fiscal consolidation. Zagreb has cut spending since 2012, and the government also raised additional revenues through more stringent tax collection and by raising the Value Added Tax. The government has also sought to accelerate privatization of non-strategic assets, with mixed success. |
| GDP (purchasing power parity): | $78.9 billion (2013 est.) |
| GDP (purchasing power parity): | $79.7 billion (2012 est.) |
| GDP (purchasing power parity): | $81.3 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $59.14 billion (2013 est.) |
| GDP - real growth rate: | -1% (2013 est.) |
| GDP - real growth rate: | -1.9% (2012 est.) |
| GDP - real growth rate: | -0.2% (2011 est.) |
| GDP - per capita (PPP): | $17,800 (2013 est.) |
| GDP - per capita (PPP): | $17,900 (2012 est.) |
| GDP - per capita (PPP): | $18,200 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 19.9% of GDP (2013 est.) |
| Gross national saving: | 19.3% of GDP (2012 est.) |
| Gross national saving: | 19.5% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 59.2% |
| GDP - composition, by end use: | government consumption: 20% |
| GDP - composition, by end use: | investment in fixed capital: 18.5% |
| GDP - composition, by end use: | investment in inventories: 1.7% |
| GDP - composition, by end use: | exports of goods and services: 44.4% |
| GDP - composition, by end use: | imports of goods and services: -43.8% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 5% |
| GDP - composition, by sector of origin: | industry: 25.8% |
| GDP - composition, by sector of origin: | services: 69.2% (2013 est.) |
| Agriculture - products: | arable crops (wheat, corn, barley, sugar beet, sunflower, rapeseed, alfalfa, clover); vegetables (potatoes, cabbage, onion, tomato, pepper); fruits (apples, plum, mandarins, olives), grapes for wine; livestock (cattle, cows, pigs); dairy products |
| Industries: | chemicals and plastics, machine tools, fabricated metal, electronics, pig iron and rolled steel products, aluminum, paper, wood products, construction materials, textiles, shipbuilding, petroleum and petroleum refining, food and beverages, tourism |
| Industrial production growth rate: | -1.8% (2013 est.) |
| Labor force: | 1.715 million (2013 est.) |
| Labor force - by occupation: | agriculture: 2.1% |
| Labor force - by occupation: | industry: 29% |
| Labor force - by occupation: | services: 69% (2012) |
| Unemployment rate: | 21.6% (2013 est.) |
| Unemployment rate: | 19.1% (2012 est.) |
