| Economy | Senegal |
| --- | --- |
| Economy - overview: | Senegalâ€™s economy is driven by mining, construction, tourism, fisheries and agriculture, which are the primary sources of employment in rural areas. The country's key export industries include phosphate mining, fertilizer production, agricultural products and commercial fishing and Senegal is also working on oil exploration projects. It relies heavily on donor assistance, remittances and foreign direct investment. Senegal reached a growth rate of 7% in 2017, due in part to strong performance in agriculture despite erratic rainfall. |
| Economy - overview: | President Macky SALL, who was elected in March 2012 under a reformist policy agenda, inherited an economy with high energy costs, a challenging business environment, and a culture of overspending. President SALL unveiled an ambitious economic plan, the Emerging Senegal Plan (ESP), which aims to implement priority economic reforms and investment projects to increase economic growth while preserving macroeconomic stability and debt sustainability. Bureaucratic bottlenecks and a challenging business climate are among the perennial challenges that may slow the implementation of this plan. |
| Economy - overview: | Senegal receives technical support from the IMF under a Policy Support Instrument (PSI) to assist with implementation of the ESP. The PSI implementation continues to be satisfactory as concluded by the IMFâ€™s fifth review in December 2017. Financial markets have signaled confidence in Senegal through successful Eurobond issuances in 2014, 2017, and 2018. |
| Economy - overview: | The government is focusing on 19 projects under the ESP to continue The governmentâ€™s goal under the ESP is structural transformation of the economy. Key projects include the ThiÃ¨s-Touba Highway, the new international airport opened in December 2017, and upgrades to energy infrastructure. The cost of electricity is a chief constraint for Senegalâ€™s development. Electricity prices in Senegal are among the highest in the world. Power Africa, a US presidential initiative led by USAID, supports Senegalâ€™s plans to improve reliability and increase generating capacity. |
| GDP (purchasing power parity): | $54.8 billion (2017 est.) |
| GDP (purchasing power parity): | $51.15 billion (2016 est.) |
| GDP (purchasing power parity): | $48.15 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $21.11 billion (2017 est.) |
| GDP - real growth rate: | 7.2% (2017 est.) |
| GDP - real growth rate: | 6.2% (2016 est.) |
| GDP - real growth rate: | 6.4% (2015 est.) |
| GDP - per capita (PPP): | $3,500 (2017 est.) |
| GDP - per capita (PPP): | $3,300 (2016 est.) |
| GDP - per capita (PPP): | $3,200 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 21.2% of GDP (2017 est.) |
| Gross national saving: | 21.3% of GDP (2016 est.) |
| Gross national saving: | 20.4% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 71.9% (2017 est.) |
| GDP - composition, by end use: | government consumption: 15.2% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 25.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 3.4% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 27% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -42.8% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 16.9% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 24.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 58.8% (2017 est.) |
| Agriculture - products: | peanuts, millet, corn, sorghum, rice, cotton, tomatoes, green vegetables; cattle, poultry, pigs; fish |
| Industries: | agricultural and fish processing, phosphate mining, fertilizer production, petroleum refining, zircon, and gold mining, construction materials, ship construction and repair |
| Industrial production growth rate: | 7.7% (2017 est.) |
| Labor force: | 6.966 million (2017 est.) |
| Labor force - by occupation: | agriculture: 77.5% |
| Labor force - by occupation: | industry: 22.5% |
| Labor force - by occupation: | industry and services: 22.5% (2007 est.) |
| Unemployment rate: | 48% (2007 est.) |
| Population below poverty line: | 46.7% (2011 est.) |
