| Economy | Brazil |
| --- | --- |
| Economic overview: | Brazil is the eighth-largest economy in the world, but is recovering from a recession in 2015 and 2016 that ranks as the worst in the countryâ€™s history. In 2017, Brazil`s GDP grew 1%, inflation fell to historic lows of 2.9%, and the Central Bank lowered benchmark interest rates from 13.75% in 2016 to 7%. |
| Economic overview: | The economy has been negatively affected by multiple corruption scandals involving private companies and government officials, including the impeachment and conviction of Former President Dilma ROUSSEFF in August 2016. Sanctions against the firms involved â€” some of the largest in Brazil â€” have limited their business opportunities, producing a ripple effect on associated businesses and contractors but creating opportunities for foreign companies to step into what had been a closed market. |
| Economic overview: | The succeeding TEMER administration has implemented a series of fiscal and structural reforms to restore credibility to government finances. Congress approved legislation in December 2016 to cap public spending. Government spending growth had pushed public debt to 73.7% of GDP at the end of 2017, up from over 50% in 2012. The government also boosted infrastructure projects, such as oil and natural gas auctions, in part to raise revenues. Other economic reforms, proposed in 2016, aim to reduce barriers to foreign investment, and to improve labor conditions. Policies to strengthen Brazilâ€™s workforce and industrial sector, such as local content requirements, have boosted employment, but at the expense of investment. |
| Economic overview: | Brazil is a member of the Common Market of the South (Mercosur), a trade bloc that includes Argentina, Paraguay and Uruguay - Venezuelaâ€™s membership in the organization was suspended In August 2017. After the Asian and Russian financial crises, Mercosur adopted a protectionist stance to guard against exposure to volatile foreign markets and it currently is negotiating Free Trade Agreements with the European Union and Canada. |
| GDP real growth rate: | 1.13% (2019 est.) |
| GDP real growth rate: | 1.2% (2018 est.) |
| GDP real growth rate: | 1.62% (2017 est.) |
| Inflation rate (consumer prices): | 3.7% (2019 est.) |
| Inflation rate (consumer prices): | 3.6% (2018 est.) |
| Inflation rate (consumer prices): | 3.4% (2017 est.) |
| Credit ratings: | Fitch rating: BB- (2018) |
| Credit ratings: | Moody's rating: Ba2 (2016) |
| Credit ratings: | Standard & Poors rating: BB- (2018) |
| GDP (purchasing power parity) - real: | $2,973,364,000,000 (2019 est.) |
| GDP (purchasing power parity) - real: | $2,940,085,000,000 (2018 est.) |
| GDP (purchasing power parity) - real: | $2,905,196,000,000 (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $1,877,942,000,000 (2019 est.) |
| GDP - per capita (PPP): | $11,117 (2019 est.) |
| GDP - per capita (PPP): | $11,075 (2018 est.) |
| GDP - per capita (PPP): | $11,030 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 15% of GDP (2017 est.) |
| Gross national saving: | 14.1% of GDP (2016 est.) |
| Gross national saving: | 14.1% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 20.7% (2017 est.) |
| GDP - composition, by sector of origin: | services: 72.7% (2017 est.) |
| GDP - composition, by end use: | household consumption: 63.4% (2017 est.) |
| GDP - composition, by end use: | government consumption: 20% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 15.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 12.6% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -11.6% (2017 est.) |
| Ease of Doing Business Index scores: | 59.1 (2020) |
| Agriculture - products: | coffee, soybeans, wheat, rice, corn, sugarcane, cocoa, citrus; beef |
| Industries: | textiles, shoes, chemicals, cement, lumber, iron ore, tin, steel, aircraft, motor vehicles and parts, other machinery and equipment |
| Industrial production growth rate: | 0% (2017 est.) |
| Labor force: | 86.621 million (2020 est.) |
| Labor force - by occupation: | agriculture: 9.4% |
| Labor force - by occupation: | industry: 32.1% |
| Labor force - by occupation: | services: 58.5% (2017 est.) |
| Unemployment rate: | 11.93% (2019 est.) |
| Unemployment rate: | 12.26% (2018 est.) |
| Population below poverty line: | 4.2% (2016 est.) |
| Population below poverty line: | note: approximately 4% of the population are below the "extreme" poverty line |
| Household income or consumption by percentage share: | lowest 10%: 0.8% |
| Household income or consumption by percentage share: | highest 10%: 43.4% (2016 est.) |
| Budget: | revenues: 733.7 billion (2017 est.) |
| Budget: | expenditures: 756.3 billion (2017 est.) |
| Taxes and other revenues: | 35.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1.1% (of GDP) (2017 est.) |
