| Economy | Brazil |
| --- | --- |
| Economy - overview: | Brazil is the eighth-largest economy in the world, but is recovering from a recession in 2015 and 2016 that ranks as the worst in the countryâ€™s history. In 2017, Brazil`s GDP grew 1%, inflation fell to historic lows of 2.9%, and the Central Bank lowered benchmark interest rates from 13.75% in 2016 to 7%. |
| Economy - overview: | The economy has been negatively affected by multiple corruption scandals involving private companies and government officials, including the impeachment and conviction of Former President Dilma ROUSSEFF in August 2016. Sanctions against the firms involved â€” some of the largest in Brazil â€” have limited their business opportunities, producing a ripple effect on associated businesses and contractors but creating opportunities for foreign companies to step into what had been a closed market. |
| Economy - overview: | The succeeding TEMER administration has implemented a series of fiscal and structural reforms to restore credibility to government finances. Congress approved legislation in December 2016 to cap public spending. Government spending growth had pushed public debt to 73.7% of GDP at the end of 2017, up from over 50% in 2012. The government also boosted infrastructure projects, such as oil and natural gas auctions, in part to raise revenues. Other economic reforms, proposed in 2016, aim to reduce barriers to foreign investment, and to improve labor conditions. Policies to strengthen Brazilâ€™s workforce and industrial sector, such as local content requirements, have boosted employment, but at the expense of investment. |
| Economy - overview: | Brazil is a member of the Common Market of the South (Mercosur), a trade bloc that includes Argentina, Paraguay and Uruguay - Venezuelaâ€™s membership in the organization was suspended In August 2017. After the Asian and Russian financial crises, Mercosur adopted a protectionist stance to guard against exposure to volatile foreign markets and it currently is negotiating Free Trade Agreements with the European Union and Canada. |
| GDP (purchasing power parity): | $3.248 trillion (2017 est.) |
| GDP (purchasing power parity): | $3.216 trillion (2016 est.) |
| GDP (purchasing power parity): | $3.332 trillion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $2.055 trillion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 1% (2017 est.) |
| GDP - real growth rate: | -3.5% (2016 est.) |
| GDP - real growth rate: | -3.5% (2015 est.) |
| GDP - per capita (PPP): | $15,600 (2017 est.) |
| GDP - per capita (PPP): | $15,600 (2016 est.) |
| GDP - per capita (PPP): | $16,300 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 15% of GDP (2017 est.) |
| Gross national saving: | 14.1% of GDP (2016 est.) |
| Gross national saving: | 14.1% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 63.4% (2017 est.) |
| GDP - composition, by end use: | government consumption: 20% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 15.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -0.1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 12.6% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -11.6% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.6% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 20.7% (2017 est.) |
| GDP - composition, by sector of origin: | services: 72.7% (2017 est.) |
| Agriculture - products: | coffee, soybeans, wheat, rice, corn, sugarcane, cocoa, citrus; beef |
| Industries: | textiles, shoes, chemicals, cement, lumber, iron ore, tin, steel, aircraft, motor vehicles and parts, other machinery and equipment |
| Industrial production growth rate: | 0% (2017 est.) |
| Labor force: | 104.2 million (2017) |
| Labor force - by occupation: | agriculture: 9.4% |
| Labor force - by occupation: | industry: 32.1% |
| Labor force - by occupation: | services: 58.5% (2017 est.) |
| Unemployment rate: | 12.8% (2017 est.) |
| Unemployment rate: | 11.3% (2016 est.) |
| Population below poverty line: | 4.2% (2016 est.) |
| Population below poverty line: | note: approximately 4% of the population are below the "extreme" poverty line |
| Household income or consumption by percentage share: | lowest 10%: 43.4% (2016 est.) |
| Household income or consumption by percentage share: | highest 10%: 43.4% (2016 est.) |
| Distribution of family income - Gini index: | 49 (2014) |
| Distribution of family income - Gini index: | 54 (2004) |
| Budget: | revenues: 733.7 billion (2017 est.) |
| Budget: | expenditures: 756.3 billion (2017 est.) |
| Taxes and other revenues: | 35.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1.1% (of GDP) (2017 est.) |
| Public debt: | 84% of GDP (2017 est.) |
| Public debt: | 78.4% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 3.4% (2017 est.) |
