| Economy | RWANDA |
| Gross national saving: | 7.6% of GDP (2016 est.) |
| Gross national saving: | 8.7% of GDP (2015 est.) |
| Gross national saving: | 8.6% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 76.8% |
| GDP - composition, by end use: | government consumption: 15.2% |
| GDP - composition, by end use: | investment in fixed capital: 25.6% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 15.1% |
| GDP - composition, by end use: | imports of goods and services: -33.2% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 31.5% |
| GDP - composition, by sector of origin: | industry: 17.6% |
| GDP - composition, by sector of origin: | services: 50.8% (2016 est.) |
| Agriculture - products: | coffee, tea, pyrethrum (insecticide made from chrysanthemums), bananas, beans, sorghum, potatoes; livestock |
| Industries: | cement, agricultural products, small-scale beverages, soap, furniture, shoes, plastic goods, textiles, cigarettes |
| Industrial production growth rate: | 6.8% (2016 est.) |
| Labor force: | 6.011 million (2016 est.) |
| Labor force - by occupation: | agriculture: 75.3% |
| Labor force - by occupation: | industry: 6.7% |
| Labor force - by occupation: | services: 18% (2012 est.) |
| Unemployment rate: | 2.7% (2014 est.) |
| Population below poverty line: | 39.1% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 43.2% (2011 est.) |
| Distribution of family income - Gini index: | 46.8 (2000) |
| Distribution of family income - Gini index: | 28.9 (1985) |
| Budget: | revenues: $1.958 billion |
| Budget: | expenditures: $2.268 billion (2016 est.) |
| Taxes and other revenues: | 23.3% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -3.7% of GDP (2016 est.) |
| Public debt: | 43.4% of GDP (2016 est.) |
| Public debt: | 36.2% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.7% (2016 est.) |
| Inflation rate (consumer prices): | 2.5% (2015 est.) |
| Central bank discount rate: | 7.75% (31 December 2010) |
| Central bank discount rate: | 11.25% (31 December 2008) |
| Commercial bank prime lending rate: | 17.3% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 17.33% (31 December 2015 est.) |
| Stock of narrow money: | $940.6 million (31 December 2016 est.) |
| Stock of narrow money: | $1.013 billion (31 December 2015 est.) |
| Stock of broad money: | $1.903 billion (31 December 2016 est.) |
| Stock of broad money: | $1.64 billion (31 December 2015 est.) |
| Stock of domestic credit: | $1.959 billion (31 December 2016 est.) |
| Stock of domestic credit: | $1.337 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-1.211 billion (2016 est.) |
| Current account balance: | $-1.106 billion (2015 est.) |
| Exports: | $745 million (2016 est.) |
| Exports: | $683.7 million (2015 est.) |
| Exports - commodities: | coffee, tea, hides, tin ore |
| Exports - partners: | Democratic Republic of the Congo 31.3%, Kenya 15.7%, UAE 13.8%, Switzerland 8.7%, Burundi 5.7% (2016) |
| Imports: | $2.045 billion (2016 est.) |
| Imports: | $1.919 billion (2015 est.) |
| Imports - commodities: | foodstuffs, machinery and equipment, steel, petroleum products, cement and construction material |
| Imports - partners: | China 21.2%, Uganda 11.2%, Kenya 7.8%, India 7.4%, UAE 5.8%, Tanzania 5.3% (2016) |
| Reserves of foreign exchange and gold: | $1.104 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $1.03 billion (31 December 2015 est.) |
| Debt - external: | $2.611 billion (31 December 2016 est.) |
| Debt - external: | $2.244 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $2.072 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $1.813 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $26.8 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $20.2 million (31 December 2015 est.) |
| Exchange rates: | Rwandan francs (RWF) per US dollar - |
| Exchange rates: | 787.25 (2016 est.) |
| Exchange rates: | 787.25 (2015 est.) |
| Exchange rates: | 720.54 (2014 est.) |
| Exchange rates: | 680.95 (2013 est.) |
| Exchange rates: | 616.6 (2012 est.) |
