| Economy | Rwanda |
| --- | --- |
| Economy - overview: | Rwanda is a poor rural country with about 90% of the population engaged in (mainly subsistence) agriculture and some mineral and agro-processing. Tourism, minerals, coffee and tea are Rwanda's main sources of foreign exchange. Minerals exports declined 40% in 2009-10 due to the global economic downturn. The 1994 genocide decimated Rwanda's fragile economic base, severely impoverished the population, particularly women, and temporarily stalled the country's ability to attract private and external investment. However, Rwanda has made substantial progress in stabilizing and rehabilitating its economy to pre-1994 levels. GDP has rebounded with an average annual growth of 7%-8% since 2003 and inflation has been reduced to single digits. Nonetheless, a significant percent of the population still live below the official poverty line. Despite Rwanda's fertile ecosystem, food production often does not keep pace with demand, requiring food imports. Rwanda continues to receive substantial aid money and obtained IMF-World Bank Heavily Indebted Poor Country (HIPC) initiative debt relief in 2005-06. In recognition of Rwanda's successful management of its macro economy, in 2010, the IMF graduated Rwanda to a Policy Support Instrument (PSI). Rwanda also received a Millennium Challenge Threshold Program in 2008. Africa's most densely populated country is trying to overcome the limitations of its small, landlocked economy by leveraging regional trade. Rwanda joined the East African Community and is aligning its budget, trade, and immigration policies with its regional partners. The government has embraced an expansionary fiscal policy to reduce poverty by improving education, infrastructure, and foreign and domestic investment and pursuing market-oriented reforms. Energy shortages, instability in neighboring states, and lack of adequate transportation linkages to other countries continue to handicap private sector growth. The Rwandan Government is seeking to become regional leader in information and communication technologies. In 2010, Rwanda neared completion of the first modern Special Economic Zone (SEZ) in Kigali. The SEZ seeks to attract investment in all sectors, but specifically in agribusiness, information and communications technologies, trade and logistics, mining, and construction. The global downturn hurt export demand and tourism, but economic growth has recovered, driven in large part by the services sector, but inflation has grown. On the back of this growth, government is gradually ending its fiscal stimulus policy while protecting aid to the poor. |
| GDP (purchasing power parity): | $15.02 billion (2012 est.) |
| GDP (purchasing power parity): | $13.91 billion (2011 est.) |
| GDP (purchasing power parity): | $12.85 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $7.007 billion (2012 est.) |
| GDP - real growth rate: | 8% (2012 est.) |
| GDP - real growth rate: | 8.2% (2011 est.) |
| GDP - real growth rate: | 7.2% (2010 est.) |
| GDP - per capita (PPP): | $1,400 (2012 est.) |
| GDP - per capita (PPP): | $1,400 (2011 est.) |
| GDP - per capita (PPP): | $1,300 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 14.8% of GDP (2012 est.) |
| Gross national saving: | 14.1% of GDP (2011 est.) |
