| Economy | El Salvador |
| --- | --- |
| Economy - overview: | The smallest country in Central America geographically, El Salvador has the third largest economy in the region. With the global recession in 2009, real GDP contracted by 3.1%. The economy slowed even further during 2010-12. Remittances accounted for 17% of GDP in 2011 and were received by about a third of all households. In 2006, El Salvador was the first country to ratify the Dominican Republic-Central American Free Trade Agreement (CAFTA-DR), which has bolstered the export of processed foods, sugar, and ethanol, and supported investment in the apparel sector amid increased Asian competition. El Salvador has promoted an open trade and investment environment and has completed a wave of privatizations extending to telecom, electricity distribution, banking, and pension funds. The Salvadoran Government maintained fiscal discipline during post-war reconstruction and reconstruction following earthquakes in 2001 and hurricanes in 1998 and 2005, but El Salvador's external debt has been mounting over the last several years. Taxes levied by the government include a value added tax (VAT) of 13%, income tax of 30%, excise taxes on alcohol and cigarettes, and import duties. The VAT accounted for about 51.7% of total tax revenues in 2011. El Salvador's external debt amounts to about one-fourth of GDP. In 2012, El Salvador successfully completed a $461 million compact with the Millennium Challenge Corporation (MCC) - a United States Government agency aimed at stimulating economic growth and reducing poverty - in the country's northern region, the primary conflict zone during the civil war, through investments in education, public services, enterprise development, and transportation infrastructure. In January 2013, the MCC approved El Salvador as eligible for a possible second MCC compact. |
| GDP (purchasing power parity): | $46.09 billion (2012 est.) |
| GDP (purchasing power parity): | $45.22 billion (2011 est.) |
| GDP (purchasing power parity): | $44.24 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $23.54 billion (2012 est.) |
| GDP - real growth rate: | 1.9% (2012 est.) |
| GDP - real growth rate: | 2.2% (2011 est.) |
| GDP - real growth rate: | 1.4% (2010 est.) |
| GDP - per capita (PPP): | $7,300 (2012 est.) |
| GDP - per capita (PPP): | $7,200 (2011 est.) |
| GDP - per capita (PPP): | $7,100 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 8.9% of GDP (2012 est.) |
| Gross national saving: | 9.3% of GDP (2011 est.) |
| Gross national saving: | 10.7% of GDP (2010 est.) |
