| Economy | Armenia |
| --- | --- |
| Economy - overview: | Under the old Soviet central planning system, Armenia developed a modern industrial sector, supplying machine tools, textiles, and other manufactured goods to sister republics, in exchange for raw materials and energy. Armenia has since switched to small-scale agriculture and away from the large agro industrial complexes of the Soviet era. Armenia has only two open trade borders - Iran and Georgia - because its borders with Azerbaijan and Turkey have been closed since 1991 and 1993, respectively, as a result of Armenia's ongoing conflict with Azerbaijan over the separatist Nagorno-Karabakh region. |
| Economy - overview: | Armenia joined the World Trade Organization in January 2003. The government has made some improvements in tax and customs administration in recent years, but anti-corruption measures have been largely ineffective. Armenia will need to pursue additional economic reforms and strengthen the rule of law in order to raise its economic growth and improve economic competitiveness and employment opportunities, especially given its economic isolation from Turkey and Azerbaijan. |
| Economy - overview: | Armenia's geographic isolation, a narrow export base, and pervasive monopolies in important business sectors have made it particularly vulnerable to volatility in the global commodity markets and the economic challenges in Russia. Armenia is particularly dependent on Russian commercial and governmental support, as most key Armenian infrastructure is Russian-owned and/or managed, especially in the energy sector. Remittances from expatriates working in Russia are equivalent to about 12-14% of GDP. Armenia joined the Russia-led Eurasian Economic Union in January 2015, but has remained interested in pursuing closer ties with the EU as well, signing a Comprehensive and Enhanced Partnership Agreement with the EU in November 2017. Armeniaâ€™s rising government debt is leading Yerevan to tighten its fiscal policies â€“ the amount is approaching the debt to GDP ratio threshold set by national legislation. |
| GDP (purchasing power parity): | $28.34 billion (2017 est.) |
| GDP (purchasing power parity): | $26.37 billion (2016 est.) |
| GDP (purchasing power parity): | $26.3 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $11.54 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 7.5% (2017 est.) |
| GDP - real growth rate: | 0.3% (2016 est.) |
| GDP - real growth rate: | 3.3% (2015 est.) |
| GDP - per capita (PPP): | $9,500 (2017 est.) |
| GDP - per capita (PPP): | $8,800 (2016 est.) |
| GDP - per capita (PPP): | $8,800 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 17.8% of GDP (2017 est.) |
| Gross national saving: | 16.6% of GDP (2016 est.) |
| Gross national saving: | 18.4% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 76.7% (2017 est.) |
