| Economy | Ecuador |
| --- | --- |
| Economy - overview: | Ecuador is substantially dependent on its petroleum resources, which accounted for about a third of the country's export earnings in 2017. Remittances from overseas Ecuadorian are also important. |
| Economy - overview: | In 1999/2000, Ecuador's economy suffered from a banking crisis that lead to some reforms, including adoption of the US dollar as legal tender. Dollarization stabilized the economy, and positive growth returned in most of the years that followed. China has become Ecuador's largest foreign lender since 2008 and now accounts for 77.7% of the Ecuadorâ€™s bilateral debt. Various economic policies under the CORREA administration, such as an announcement in 2017 that Ecuador would terminate 13 bilateral investment treaties - including one with the US, generated economic uncertainty and discouraged private investment. |
| Economy - overview: | Faced with a 2013 trade deficit of $1.1 billion, Ecuador imposed tariff surcharges from 5% to 45% on an estimated 32% of imports. Ecuadorâ€™s economy fell into recession in 2015 and remained in recession in 2016. Declining oil prices and exports forced the CORREA administration to cut government oulays. Foreign investment in Ecuador is low as a result of the unstable regulatory environment and weak rule of law. |
| Economy - overview: | n April of 2017, Lenin MORENO was elected President of Ecuador by popular vote. His immediate challenge was to reengage the private sector to improve cash flow in the country. Ecuadorâ€™s economy returned to positive, but sluggish, growth. In early 2018, the MORENO administration held a public referendum on seven economic and political issues in a move counter to CORREA-administration policies, reduce corruption, strengthen democracy, and revive employment and the economy. The referendum resulted in repeal of taxes associated with recovery from the earthquake of 2016, reduced restrictions on metal mining in the Yasuni Intangible Zone - a protected area, and several political reforms. |
| GDP (purchasing power parity): | $193 billion (2017 est.) |
| GDP (purchasing power parity): | $188.6 billion (2016 est.) |
| GDP (purchasing power parity): | $190.9 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $104.3 billion (2017 est.) (2017 est.) |
| GDP - real growth rate: | 2.4% (2017 est.) |
| GDP - real growth rate: | -1.2% (2016 est.) |
| GDP - real growth rate: | 0.1% (2015 est.) |
| GDP - per capita (PPP): | $11,500 (2017 est.) |
| GDP - per capita (PPP): | $11,400 (2016 est.) |
| GDP - per capita (PPP): | $11,700 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 25.9% of GDP (2017 est.) |
| Gross national saving: | 26.4% of GDP (2016 est.) |
| Gross national saving: | 24.7% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 60.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 14.4% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 24.3% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 20.8% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -21.3% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 6.7% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 32.9% (2017 est.) |
| GDP - composition, by sector of origin: | services: 60.4% (2017 est.) |
| Agriculture - products: | bananas, coffee, cocoa, rice, potatoes, cassava (manioc, tapioca), plantains, sugarcane; cattle, sheep, pigs, beef, pork, dairy products; fish, shrimp; balsa wood |
| Industries: | petroleum, food processing, textiles, wood products, chemicals |
| Industrial production growth rate: | -0.6% (2017 est.) |
| Industrial production growth rate: | note: excludes oil refining |
| Labor force: | 8.086 million (2017 est.) |
| Labor force - by occupation: | agriculture: 26.1% |
| Labor force - by occupation: | industry: 18.4% |
| Labor force - by occupation: | services: 55.5% (2017 est.) |
| Unemployment rate: | 4.6% (2017 est.) |
| Unemployment rate: | 5.2% (2016 est.) |
| Population below poverty line: | 21.5% (December 2017 est.) |
| Household income or consumption by percentage share: | lowest 10%: 35.4% (2012 est.) |
