| Economy | Ecuador |
| --- | --- |
| Economy - overview: | Ecuador is substantially dependent on its petroleum resources, which have accounted for more than half of the country's export earnings and approximately two-fifths of public sector revenues in recent years. In 1999/2000, Ecuador's economy suffered from a banking crisis, with GDP contracting by 5.3% and poverty increasing significantly. In March 2000, the Congress approved a series of structural reforms that also provided for the adoption of the US dollar as legal tender. Dollarization stabilized the economy, and positive growth returned in the years that followed, helped by high oil prices, remittances, and increased non-traditional exports. From 2002-06 the economy grew an average of 4.3% per year, the highest five-year average in 25 years. After moderate growth in 2007, the economy reached a growth rate of 6.4% in 2008, buoyed by high global petroleum prices and increased public sector investment. President Rafael CORREA, who took office in January 2007, defaulted in December 2008 on Ecuador's sovereign debt, which, with a total face value of approximately US$3.2 billion, represented about 30% of Ecuador's public external debt. In May 2009, Ecuador bought back 91% of its "defaulted" bonds via an international reverse auction. Economic policies under the CORREA administration - for example, an announcement in late 2009 of its intention to terminate 13 bilateral investment treaties, including one with the United States - have generated economic uncertainty and discouraged private investment. The Ecuadorian economy slowed to 1% growth in 2009 due to the global financial crisis and to the sharp decline in world oil prices and remittance flows. Growth picked up to a 3.3% rate in 2010 and nearly 8% in 2011, before falling to 5% in 2012. China has become Ecuador's largest foreign lender since Quito defaulted in 2008, allowing the government to maintain a high rate of social spending; Ecuador contracted with the Chinese government for more than $9 billion in oil for cash and project loans as of December 2012. |
| GDP (purchasing power parity): | $149.5 billion (2012 est.) |
| GDP (purchasing power parity): | $142.2 billion (2011 est.) |
| GDP (purchasing power parity): | $131.9 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $82.9 billion (2012 est.) |
| GDP - real growth rate: | 5.1% (2012 est.) |
| GDP - real growth rate: | 7.8% (2011 est.) |
| GDP - real growth rate: | 3% (2010 est.) |
| GDP - per capita (PPP): | $10,200 (2012 est.) |
| GDP - per capita (PPP): | $9,900 (2011 est.) |
| GDP - per capita (PPP): | $9,300 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 27.3% of GDP (2012 est.) |
| Gross national saving: | 27% of GDP (2011 est.) |
| Gross national saving: | 25% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 61.1% |
| GDP - composition, by end use: | government consumption: 13.5% |
| GDP - composition, by end use: | investment in fixed capital: 26.6% |
